Gene	MobiDBLite	Coils	interpro	GO	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	ProSitePatterns	PATHWAY	TIGRFAM	PRINTS	Hamap	PIRSF	SFLD
PNP49499.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49702.1	mobidb-lite	Coil	IPR011501	NA	NA	NA	SSF48371	NA	PF07540;PF03914	NA	NA	NA	NA	NA	NA	PIRSF028977	NA
PNP57963.1	mobidb-lite	NA	IPR011990	GO:0005515	NA	G3DSA:1.25.40.10	SSF81901	NA	PF08238	SM00671	NA	NA	NA	NA	NA	NA	NA
PNP59458.1	mobidb-lite	NA	IPR036638	GO:0046983	cd00083	G3DSA:4.10.280.10	SSF47459	PS50888	PF00010	SM00353	NA	NA	NA	NA	NA	NA	NA
PNP57447.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52582.1	NA	Coil	IPR009038	NA	NA	NA	NA	PS50866	PF01105	SM01190	NA	NA	NA	NA	NA	NA	NA
PNP59416.1	mobidb-lite	NA	IPR004181	GO:0008270	NA	G3DSA:3.30.40.10	NA	PS51044	PF02891	NA	NA	NA	NA	NA	NA	NA	NA
PNP53110.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50368.1	NA	NA	IPR029068	NA	cd07267	G3DSA:3.10.180.10	SSF54593	PS51819	PF00903	NA	NA	NA	NA	NA	NA	NA	NA
PNP56739.1	NA	NA	IPR003737		NA	G3DSA:3.40.50.10320	SSF102588	NA	PF02585	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA
PNP46008.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP54113.1	mobidb-lite	Coil	IPR000629	GO:0003676;GO:0005524	cd17945;cd18787	G3DSA:3.40.50.300	SSF52540	PS51192;PS51194;PS51195	PF00270;PF00271	SM00487;SM00490	PS00039	NA	NA	NA	NA	NA	NA
PNP50982.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57068.1	NA	NA	IPR009288	NA	cd06661	G3DSA:3.10.490.10	SSF110857	NA	PF06094	NA	NA	NA	NA	NA	NA	NA	NA
PNP58309.1	NA	NA	IPR002241	GO:0004553;GO:0005975;GO:0003824	cd14792	G3DSA:3.20.20.70	SSF51445	NA	PF16499;PF17801	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA	NA
PNP60511.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP53148.1	NA	NA	IPR005599	GO:0016757	NA	NA	NA	NA	PF03901	NA	NA	NA	NA	NA	NA	NA	NA
PNP50090.1	NA	NA	IPR009939	GO:0016977	NA	NA	NA	NA	PF07335	NA	NA	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA
PNP54376.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58945.1	NA	NA	IPR038222	GO:0005737;GO:0016462	NA	G3DSA:3.10.310.20;G3DSA:3.90.1640.10	SSF64182	NA	PF02833	SM01131	NA	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807	NA	NA	NA	NA	NA
PNP58037.1	mobidb-lite	NA	IPR007185	GO:0003677;GO:0003887;GO:0006260	NA	NA	NA	NA	PF04042	NA	NA	NA	NA	NA	NA	NA	NA
PNP52869.1	NA	NA	IPR001810	GO:0005515	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP59779.1	NA	NA	IPR029069		cd03445;cd03444	G3DSA:3.10.129.90	SSF54637	NA	PF13622	NA	NA	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA
PNP51830.1	NA	NA	IPR037401	NA	NA	G3DSA:3.10.450.50	SSF54427	NA	PF13577	NA	NA	NA	NA	NA	NA	NA	NA
PNP56522.1	NA	NA	IPR027974	NA	NA	G3DSA:3.30.60.180	SSF144232	PS50865	PF14737;PF01753	NA	PS01360	NA	NA	NA	NA	NA	NA
PNP59080.1	NA	Coil	IPR006162	GO:0003824;GO:0031177	cd05918	G3DSA:1.10.1200.10;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.30.300.30	SSF56801;SSF52777;SSF47336	PS50075	PF00501;PF00668;PF00550	SM00823	PS00012;PS00455	Reactome: R-HSA-389661	TIGR01733	NA	NA	NA	NA
PNP56055.1	NA	Coil	IPR036770	GO:0005515	cd00200	G3DSA:1.25.40.20;G3DSA:2.130.10.10	SSF48403;SSF50978	PS50082;PS50294;PS50088;PS50297	PF06985;PF12796;PF00400	SM00248;SM00320	PS00678	NA	NA	PR00320	NA	NA	NA
PNP60553.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49381.1	NA	NA	IPR002190	NA	NA	G3DSA:1.10.10.1210	NA	NA	PF01454	SM01373	NA	NA	NA	NA	NA	NA	NA
PNP54722.1	mobidb-lite	Coil	IPR017986	GO:0005515	cd00200	G3DSA:2.130.10.10;G3DSA:1.20.5.340	SSF50978	PS50294;PS50082	PF08581;PF00400	SM00320	PS00678	NA	NA	PR00320	NA	NA	NA
PNP52059.1	mobidb-lite	NA	IPR024061	GO:0003677;GO:0003700;GO:0006355	NA	G3DSA:2.60.40.1390	SSF49417	PS51517	PF05224	NA	NA	NA	NA	NA	NA	NA	NA
PNP49367.1	NA	NA	IPR000727	GO:0016020;GO:0016192	cd15844	G3DSA:1.20.58.70	SSF47661	PS50192	PF05739;PF11416	SM00397	NA	Reactome: R-HSA-204005|Reactome: R-HSA-5694530|Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-9609523	NA	NA	NA	NA	NA
PNP53416.1	mobidb-lite	Coil	IPR024298	GO:0048208	cd09233	G3DSA:1.25.40.1030	NA	NA	PF12931;PF12935;PF12932	NA	NA	Reactome: R-HSA-204005	NA	NA	NA	NA	NA
PNP50161.1	NA	NA	IPR018969	GO:0005975;GO:0016832;GO:0003824	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	SSF52518;SSF52922	NA	PF09363;PF09364;PF03894	NA	PS60002;PS60003	NA	NA	NA	NA	NA	NA
PNP57944.1	mobidb-lite	NA	IPR034144	GO:0003677;GO:0003916;GO:0006265	cd03362;cd00186	G3DSA:1.10.460.10;G3DSA:1.10.290.10;G3DSA:2.70.20.10;G3DSA:3.40.50.140	SSF56712	PS50880	PF01751;PF01131	SM00436;SM00437;SM00493	NA	NA	NA	PR00417	NA	NA	NA
PNP56777.1	mobidb-lite	NA	IPR011701	GO:0055085	cd17476	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP50458.1	NA	NA	IPR008978	NA	cd06467	G3DSA:2.60.40.790	SSF49764	PS51203	PF04969	NA	NA	NA	NA	NA	NA	NA	NA
PNP52681.1	mobidb-lite	NA	IPR017981	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	cd15040	G3DSA:1.20.1070.10	SSF81321	PS50261	PF00002	NA	NA	NA	NA	NA	NA	NA	NA
PNP53109.1	mobidb-lite	Coil	IPR036128	GO:0003677	NA	G3DSA:2.170.260.30	SSF159042	PS51360	PF03126	SM00719	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA
PNP54390.1	NA	NA	IPR000850	GO:0005524;GO:0006139;GO:0019205;GO:0004127;GO:0006207;GO:0006221;GO:0009041	cd01428	G3DSA:3.40.50.300	SSF52540	NA	PF00406	NA	PS00113	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	TIGR01359	PR00094	MF_03172;MF_00235	NA	NA
PNP58934.1	mobidb-lite	NA	IPR007308		NA	G3DSA:1.25.40.820	NA	PS51479	PF04181	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16|Reactome: R-HSA-6807505	NA	NA	NA	NA	NA
PNP53279.1	mobidb-lite	NA	IPR007148		NA	NA	NA	NA	PF04003	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
PNP55236.1	mobidb-lite	Coil	IPR003903	GO:0005975;GO:0016758;GO:0030259	cd03784	G3DSA:3.40.50.2000	SSF53756	PS50330	PF03033;PF00201	SM00726	NA	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	NA	NA	NA	NA	NA
PNP59547.1	mobidb-lite	Coil	IPR008427	NA	NA	NA	NA	NA	PF05730	SM00747	NA	NA	NA	NA	NA	NA	NA
PNP51864.1	NA	NA	IPR001680	GO:0005515	cd00200	G3DSA:2.130.10.10	SSF50978	PS50082;PS50294	PF12894;PF00400	SM00320	NA	NA	NA	NA	NA	NA	NA
PNP50310.1	NA	NA	IPR036388	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0008171;GO:0008168	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150;G3DSA:1.10.630.10	SSF48264;SSF53335;SSF46785	PS51683	PF00891;PF00067	NA	PS00086	NA	NA	PR00463	NA	NA	NA
PNP50101.1	NA	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA
PNP55715.1	NA	NA	IPR036908	NA	NA	G3DSA:2.40.40.10	SSF50685	NA	PF03330	NA	NA	NA	NA	NA	NA	NA	NA
PNP51506.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP54748.1	mobidb-lite	NA	IPR036770	GO:0005515	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF52540;SSF48403	PS50088;PS50297	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA
PNP57392.1	mobidb-lite	NA	IPR036513	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	cd07042	G3DSA:3.30.750.24	SSF52091	PS50801	PF00916;PF01740	NA	PS01130	Reactome: R-HSA-427601	TIGR00815	NA	NA	NA	NA
PNP57619.1	mobidb-lite	NA	IPR000008	GO:0043087;GO:0007165	cd05137	G3DSA:2.60.40.150;G3DSA:1.10.506.10	SSF49562;SSF48350	PS50018;PS50004	PF00168;PF00616	SM00323;SM00239	PS00509	NA	NA	NA	NA	NA	NA
PNP59119.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd00067;cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF04082	SM00066;SM00906	PS00463	NA	NA	NA	NA	NA	NA
PNP57909.1	mobidb-lite	NA	IPR004167	GO:0016746	cd06849	G3DSA:2.40.50.100;G3DSA:4.10.320.10	SSF47005;SSF51230	PS50968;PS51826	PF02817;PF00364	NA	PS00189	Reactome: R-HSA-389661	NA	NA	NA	NA	NA
PNP49030.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	PR00755	NA	NA	NA
PNP52888.1	NA	NA	IPR000845	GO:0003824;GO:0009116	cd09008	NA	SSF53167	NA	PF01048	NA	NA	NA	NA	NA	NA	NA	NA
PNP58347.1	NA	NA	IPR015813	GO:0003824	NA	G3DSA:3.20.20.60	SSF51621	NA	PF03328	NA	NA	NA	NA	NA	NA	NA	NA
PNP55532.1	mobidb-lite	NA	IPR001619	GO:0006904;GO:0016192	NA	G3DSA:3.40.50.2060;G3DSA:3.90.830.10;G3DSA:3.40.50.1910;G3DSA:1.25.40.60	SSF56815	NA	PF00995	NA	NA	NA	NA	NA	NA	PIRSF005715	NA
PNP46477.1	NA	Coil	IPR029058	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP55522.1	NA	NA	IPR016181	NA	NA	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57217.1	NA	NA	IPR036259	GO:0055085	cd17327	G3DSA:1.20.1250.20	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP51727.1	NA	NA	IPR006680	GO:0016787	NA	G3DSA:3.20.20.140	SSF51556	NA	PF04909	NA	NA	NA	NA	NA	NA	NA	NA
PNP58912.1	NA	NA	IPR003958	GO:0046982	NA	G3DSA:1.10.20.10	SSF47113	NA	PF00808	NA	NA	NA	NA	NA	NA	NA	NA
PNP60310.1	mobidb-lite	NA	IPR021858	NA	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA
PNP50383.1	mobidb-lite	Coil	IPR027417	GO:0005524	cd00009	G3DSA:3.40.50.300	SSF52540	NA	PF00004	SM00382	NA	NA	NA	NA	NA	NA	NA
PNP53691.1	mobidb-lite	NA	IPR011009	GO:0004672;GO:0005524;GO:0006468;GO:0004674	cd05123	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PS51285;PS50011	PF00069	SM00220;SM00133	PS00108	NA	NA	NA	NA	NA	NA
PNP59029.1	NA	NA	IPR012341	GO:0003824;GO:0004560	NA	G3DSA:1.50.10.10;G3DSA:2.70.98.50	SSF48208	NA	PF14498	NA	NA	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	NA	NA	NA	PIRSF007663	NA
PNP57839.1	mobidb-lite	NA	IPR001715	GO:0005515;GO:0005509	cd00014;cd00051	G3DSA:1.10.418.10;G3DSA:1.10.238.10;G3DSA:1.20.58.60	SSF47473;SSF46966;SSF47576	PS50222;PS50021	PF00307;PF08726	SM00033;SM01184	PS00019;PS00018;PS00020	Reactome: R-HSA-373753	NA	NA	NA	NA	NA
PNP59036.1	mobidb-lite	Coil	IPR014001	GO:0005524	cd18793;cd18008	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	SSF52540	PS51192;PS51194	PF00176;PF00271	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA
PNP50988.1	mobidb-lite	Coil	IPR013657	GO:0055085	NA	NA	SSF103481	NA	PF08449	NA	NA	NA	NA	NA	NA	NA	NA
PNP55734.1	NA	NA	IPR020683	GO:0005515;GO:0003824;GO:0009116	cd09008	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF52540;SSF53167;SSF48403	PS50088;PS50837;PS50297	PF12796;PF05729;PF01048	SM00248	NA	NA	NA	NA	NA	NA	NA
PNP58732.1	mobidb-lite	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	NA	PR00463	NA	NA	NA
PNP54216.1	NA	NA	IPR002067	GO:0005347;GO:0055085;GO:0005743;GO:0022857	NA	G3DSA:1.50.40.10	SSF103506	PS50920	PF00153	NA	NA	NA	NA	PR00926;PR00927	NA	NA	NA
PNP54437.1	NA	NA	IPR036866	NA	cd16276	G3DSA:3.60.15.10	SSF56281	NA	PF00753	SM00849	NA	NA	NA	NA	NA	NA	NA
PNP47016.1	NA	NA	IPR000164	GO:0000786;GO:0003677;GO:0046982	NA	G3DSA:1.10.20.10	SSF47113	NA	PF00125	SM00428	NA	NA	NA	PR00622	NA	NA	NA
PNP49560.1	mobidb-lite	NA	IPR002942	GO:0003723;GO:0019843;GO:0003735;GO:0006412;GO:0015935	cd00165	G3DSA:3.10.290.10	SSF55174	PS50889	PF01479	SM00363;SM01390	PS00632	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR01018	NA	NA	NA	NA
PNP49840.1	NA	NA	IPR021765	GO:0043386	NA	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA
PNP54059.1	NA	NA	IPR001171	GO:0016020;GO:0016126;GO:0016628;GO:0055114	NA	NA	NA	NA	PF01222	NA	PS01017;PS01018	NA	NA	NA	NA	NA	NA
PNP51726.1	NA	NA	IPR036188	GO:0071949	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	SSF51905	NA	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA
PNP59395.1	mobidb-lite	Coil	IPR005024	GO:0007034	NA	NA	NA	NA	PF03357	NA	NA	NA	NA	NA	NA	NA	NA
PNP58170.1	mobidb-lite	Coil	IPR029063	GO:0006479;GO:0008168	cd02440	G3DSA:2.70.160.11;G3DSA:3.40.50.150	SSF53335;SSF57667	PS51678	PF06325	NA	NA	NA	NA	NA	NA	NA	NA
PNP54117.1	mobidb-lite	NA	IPR000504	GO:0003676	cd12418	G3DSA:3.30.70.330	SSF54928	PS50102	PF00076	SM00360;SM01218	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA	NA	NA
PNP55030.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP51400.1	mobidb-lite	NA	NA	NA	cd17352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP60403.1	mobidb-lite	NA	IPR027417	NA	cd02037	G3DSA:3.40.50.300	SSF52540	NA	PF10609	NA	NA	NA	NA	NA	MF_02040	NA	NA
PNP49727.1	mobidb-lite	NA	IPR000594	GO:0008641;GO:0006464	cd01492	G3DSA:3.40.50.720	SSF69572	NA	PF00899	NA	NA	NA	NA	PR01849	NA	NA	NA
PNP51801.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP50936.1	mobidb-lite	Coil	IPR012879	NA	NA	NA	NA	NA	PF07946	NA	NA	NA	NA	NA	NA	NA	NA
PNP59622.1	mobidb-lite	NA	IPR001969	GO:0004190;GO:0006508	cd06097	G3DSA:2.40.70.10	SSF50630	PS51767	PF00026	NA	PS00141	NA	NA	PR00792	NA	NA	NA
PNP59593.1	NA	NA	IPR001932	GO:0003824	cd00143	NA	SSF81606	PS51746	PF00481	SM00332	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA	NA
PNP42390.1	NA	NA	IPR016966	GO:0004788;GO:0005524;GO:0009229;GO:0030975;GO:0006772	cd07995	G3DSA:3.40.50.10240	SSF63862;SSF63999	NA	PF04265;PF04263	SM00983	NA	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	TIGR01378	NA	NA	PIRSF031057	NA
PNP59628.1	mobidb-lite	NA	IPR009349	GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	PF06221	NA	NA	NA	NA	NA	NA	NA	NA
PNP49602.1	NA	NA	NA	NA	NA	G3DSA:1.25.40.570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50506.1	mobidb-lite	Coil	IPR010414	NA	NA	G3DSA:2.80.10.50	SSF50405	NA	PF06229	NA	NA	NA	NA	NA	NA	NA	NA
PNP50577.1	NA	NA	IPR013149	GO:0055114;GO:0008270;GO:0016491	cd05283	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	PF00107;PF08240	SM00829	PS00059	Reactome: R-HSA-71384	NA	NA	NA	NA	NA
PNP55739.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP56004.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58270.1	mobidb-lite	Coil	IPR022812	GO:0005525;GO:0003924	cd08771	G3DSA:3.40.50.300	SSF52540	PS51388;PS51718	PF00350;PF01031	SM00053	NA	NA	NA	PR00195	NA	NA	NA
PNP58649.1	mobidb-lite	NA	IPR028000	NA	NA	NA	NA	NA	PF14610	NA	NA	NA	NA	NA	NA	NA	NA
PNP51378.1	mobidb-lite	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	PF04082	NA	NA	NA	NA	NA	NA	NA	NA
PNP51082.1	NA	NA	IPR005501	GO:0003824;GO:0005975	cd11665	G3DSA:3.20.20.370	SSF88713	NA	PF03746	NA	NA	KEGG: 00480+3.5.2.9|MetaCyc: PWY-4041|MetaCyc: PWY-7942	NA	NA	NA	NA	NA
PNP49734.1	mobidb-lite	NA	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	cd03684;cd04599;cd04591	G3DSA:3.10.580.10;G3DSA:1.10.3080.10	SSF81340;SSF54631	NA	PF00654	NA	NA	Reactome: R-HSA-2672351	NA	PR00762	NA	NA	NA
PNP58998.1	NA	NA	IPR001509	GO:0003824;GO:0050662	NA	G3DSA:3.40.50.720	SSF51735	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA
PNP51865.1	mobidb-lite	NA	IPR012317	GO:0003950	NA	G3DSA:3.90.228.10	SSF56399	NA	PF00644	NA	NA	NA	NA	NA	NA	NA	NA
PNP58470.1	NA	NA	IPR014472	GO:0008654;GO:0016020;GO:0016780	NA	G3DSA:1.20.120.1760	NA	NA	PF01066	NA	PS00379	NA	NA	NA	NA	PIRSF015665	NA
PNP49995.1	NA	NA	IPR020846	GO:0055085	cd17323	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP49957.1	mobidb-lite	NA	IPR009637	GO:0016021	NA	NA	NA	NA	PF06814	NA	NA	NA	NA	NA	NA	NA	NA
PNP49802.1	mobidb-lite	NA	IPR019734	GO:0005515;GO:0006508;GO:0008233	NA	NA	SSF48452	PS50005;PS51700;PS50293	PF03568	NA	NA	Reactome: R-HSA-2467813	NA	NA	NA	NA	NA
PNP54055.1	mobidb-lite	NA	IPR019388	GO:0005789;GO:0019915	NA	NA	NA	NA	PF10261	NA	NA	Reactome: R-HSA-8964572	NA	NA	NA	NA	NA
PNP47998.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP57513.1	NA	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd12148;cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00066;SM00906	PS00463	NA	NA	NA	NA	NA	NA
PNP52659.1	mobidb-lite	NA	IPR022765		cd18041;cd18808	G3DSA:3.40.50.300	SSF52540	NA	PF01930;PF08696;PF13087;PF13086	NA	NA	Reactome: R-HSA-174437|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69166|Reactome: R-HSA-69473	NA	NA	NA	NA	NA
PNP54939.1	NA	NA	IPR013961	NA	NA	NA	NA	NA	PF08652	NA	NA	NA	NA	NA	NA	NA	NA
PNP58137.1	mobidb-lite	NA	IPR011009	GO:0004672;GO:0005524;GO:0006468	cd13981	G3DSA:1.25.40.430;G3DSA:1.10.510.10	SSF56112	PS50011;PS51489	PF08171;PF08311;PF00069	SM00777;SM00220	PS00108	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA
PNP51928.1	mobidb-lite	Coil	IPR003111	GO:0004176;GO:0005524;GO:0006508;GO:0004252;GO:0006515	cd00009	G3DSA:1.20.58.1480;G3DSA:3.30.230.10;G3DSA:2.30.130.40;G3DSA:1.10.8.60	SSF88697;SSF52540;SSF54211	PS51787;PS51786	PF00004;PF02190;PF05362	SM00464;SM00382	NA	Reactome: R-HSA-390471|Reactome: R-HSA-9033241	NA	PR00830	MF_03121	PIRSF001174	NA
PNP59481.1	NA	NA	IPR036188	GO:0071949	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	SSF54373;SSF51905	NA	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA
PNP59382.1	mobidb-lite	NA	IPR005756	GO:0003735;GO:0006412;GO:0015934;GO:0005840	cd06089	G3DSA:2.30.30.30	SSF50104	NA	PF16906;PF00467	SM00739	PS01108	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR01080	NA	NA	NA	NA
PNP51330.1	NA	NA	IPR005251	GO:0044249;GO:0044237	NA	G3DSA:1.20.120.1840;G3DSA:3.40.50.10470	SSF100950	NA	PF01008	NA	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174|Reactome: R-HSA-1237112	TIGR00512;TIGR00524	NA	MF_01678	NA	NA
PNP54385.1	NA	Coil	IPR013126		cd10229	G3DSA:3.30.420.40	SSF53067	NA	PF00012	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA
PNP60362.1	mobidb-lite	Coil	IPR001650	GO:0005524	cd18793;cd18008	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	SSF52540	PS51194;PS51192	PF00271;PF00176	SM00490;SM00487	NA	NA	NA	NA	NA	NA	NA
PNP54846.1	mobidb-lite	NA	IPR007235	GO:0016758	cd03785	G3DSA:3.40.50.2000	SSF53756	NA	PF04101	NA	NA	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471|Reactome: R-HSA-446193|Reactome: R-HSA-5633231	NA	NA	NA	NA	NA
PNP56512.1	NA	NA	IPR036770	GO:0005515	NA	G3DSA:1.25.40.20	SSF48403	PS50297;PS50088	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA
