Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON28669.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22795.1	NA	IPR037119	NA	PF10615	G3DSA:3.20.180.10	SSF50475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21724.1	NA	IPR018105	NA	PF00838	G3DSA:2.170.150.10	SSF51316	NA	NA	NA	PS51797	PS01003	NA	NA	NA	NA	NA	NA
PON30110.1	NA	IPR010730	NA	PF06985	G3DSA:3.40.50.1820	SSF53474	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22054.1	cd00067;cd12148	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	G3DSA:4.10.240.10	SSF57701	SM00906;SM00066	mobidb-lite	NA	PS50048	NA	NA	NA	NA	NA	NA	NA
PON29878.1	cd02021	IPR027417	GO:0005975;GO:0016301	PF13671	G3DSA:3.40.50.300	SSF52540	NA	NA	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	NA	NA	NA	NA	TIGR01313	NA	NA	NA
PON26674.1	cd05259	IPR036291		PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PON28338.1	NA	IPR013328	GO:0016491;GO:0055114;GO:0004455;GO:0009082	PF07991;PF01450	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	SSF51735;SSF48179	NA	NA	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111	PS51851;PS51850	NA	NA	NA	TIGR00465	PIRSF000119	NA	NA
PON30801.1	NA	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28733.1	cd17327	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON24408.1	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	mobidb-lite	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON30496.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26950.1	cd17356	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00217	PR00171	NA	NA	NA	NA	NA
PON29461.1	cd04301	IPR000182	GO:0008080	PF13508	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA
PON24937.1	NA	IPR042098	GO:0016491;GO:0055114	PF02668	G3DSA:3.60.130.10	SSF51197	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA
PON23921.1	cd13156	IPR014722	GO:0003735;GO:0005840;GO:0006412	PF01159	G3DSA:2.30.30.30	SSF50104	NA	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS01170	NA	NA	NA	NA	NA	NA
PON24996.1	NA	IPR036188	GO:0071949	PF01494	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON21190.1	NA	IPR002642	GO:0004620;GO:0009395	PF01735	G3DSA:3.40.1090.10	SSF52151	SM00022	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	PS51210	NA	NA	NA	NA	NA	NA	NA
PON21359.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON23221.1	cd07322	IPR016558	GO:0006269	PF04104	G3DSA:1.20.930.80	NA	NA	mobidb-lite	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	NA	PIRSF009449	NA	NA
PON20692.1	cd00067	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951	G3DSA:4.10.240.10	SSF57701	NA	NA	NA	PS50048	NA	NA	NA	NA	NA	NA	NA
PON26069.1	cd06465	IPR007052	NA	PF04969	G3DSA:2.60.40.790	SSF49764	NA	mobidb-lite	NA	PS51203	NA	NA	Coil	NA	NA	NA	NA
PON25543.1	cd00614	IPR015424	GO:0004121;GO:0071266;GO:0003824;GO:0019346;GO:0030170	PF01053	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	mobidb-lite	KEGG: 00270+4.4.1.13|KEGG: 00450+4.4.1.13|MetaCyc: PWY-1187|MetaCyc: PWY-2821|MetaCyc: PWY-601|MetaCyc: PWY-6842|MetaCyc: PWY-6936|MetaCyc: PWY-7901|MetaCyc: PWY-801	NA	PS00868	NA	NA	TIGR01329	PIRSF001434	NA	NA
PON21261.1	NA	IPR018870	NA	PF10521	NA	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27532.1	NA	IPR002775	GO:0003676	PF01918	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22414.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON21743.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON26453.1	NA	IPR012948	GO:0005634;GO:0042254	PF04950;PF08142	NA	NA	SM00785;SM01362	mobidb-lite	Reactome: R-HSA-6791226	PS51714	NA	NA	NA	NA	NA	NA	NA
PON28366.1	NA	IPR029058	GO:0003847;GO:0016042	PF03403	NA	SSF53474	NA	mobidb-lite	KEGG: 00565+3.1.1.47	NA	NA	NA	NA	NA	NA	NA	NA
PON30051.1	NA	IPR036188	GO:0016491;GO:0055114;GO:0050660;GO:0045454	PF07992;PF02852	G3DSA:3.50.50.60	SSF51905;SSF55424	NA	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA	NA	NA
PON26457.1	cd17327	IPR011701	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON28392.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26072.1	NA	IPR023395	NA	PF00153	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA
PON24723.1	NA	IPR002182	GO:0043531	PF00931	G3DSA:3.40.50.300	SSF52540	NA	mobidb-lite	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	NA	NA	NA	NA	NA
PON27445.1	cd17322	IPR036259	NA	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25137.1	cd00200	IPR020472	GO:0005515	PF08232;PF00400	G3DSA:1.20.5.300;G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	NA	PS50082;PS50294	NA	PR00320	Coil	NA	NA	NA	NA
PON23440.1	NA	IPR012338	NA	PF00144	G3DSA:3.40.710.30	SSF56601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25905.1	NA	IPR025574	NA	PF13634	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON30288.1	cd01301	IPR008257	GO:0006508;GO:0016805	PF01244	G3DSA:3.20.20.140	SSF51556	NA	NA	MetaCyc: PWY-7533|Reactome: R-HSA-2142691|Reactome: R-HSA-5423646	PS51365	NA	NA	NA	NA	NA	NA	NA
PON20709.1	cd15571	IPR013083		PF02375;PF02373;PF13771	G3DSA:3.30.40.10;G3DSA:2.60.120.650	SSF51197	SM00545;SM00249;SM00558	mobidb-lite	Reactome: R-HSA-3214842	PS51805;PS51183;PS51184	NA	NA	Coil	NA	NA	NA	NA
PON28200.1	cd16343	IPR036196	GO:0003993;GO:0004726;GO:0005737;GO:0006470;GO:0004725	PF01451	G3DSA:3.40.50.2300	SSF52788	SM00226	NA	KEGG: 00730+3.1.3.2|KEGG: 00740+3.1.3.2|MetaCyc: PWY-6348	NA	NA	PR00720;PR00719	NA	NA	NA	NA	NA
PON29387.1	cd12148	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082;PF00096	G3DSA:3.30.160.60	SSF57667	SM00355	mobidb-lite	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON30485.1	cd03232;cd17489;cd03233	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	PF06422;PF00005;PF14510;PF01061	G3DSA:3.40.50.300	SSF52540	SM00382	mobidb-lite	Reactome: R-HSA-1369062	PS50893	PS00211	NA	Coil	NA	NA	NA	NA
PON23371.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20955.1	NA	IPR011009	NA	NA	G3DSA:1.10.510.10	SSF56112	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30254.1	cd13970	IPR034646	NA	PF03109	NA	SSF56112	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22313.1	NA	IPR037401	NA	PF12680	G3DSA:3.10.450.50	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30581.1	cd02440	IPR029063	NA	PF13489	G3DSA:3.40.50.150	SSF53335	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24749.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20364.1	NA	IPR018820	NA	PF13515;PF10334;PF10337	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21213.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22859.1	NA	IPR008402	GO:0005680;GO:0030071;GO:0031145	PF05841	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON20864.1	cd12148;cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	G3DSA:4.10.240.10	SSF57701	SM00906;SM00066	NA	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON23999.1	NA	IPR015943	GO:0005515;GO:0042254	PF00400;PF08154	G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	Reactome: R-HSA-6791226	PS50082;PS50294	PS00678	PR00320	NA	NA	NA	MF_03029	NA
PON22310.1	NA	IPR019826	NA	PF00135	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	PS00122	NA	NA	NA	NA	NA	NA
PON24765.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26933.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30368.1	NA	IPR032675	GO:0005515	PF13516	G3DSA:3.80.10.10	SSF52047	SM00368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28465.1	cd09008	IPR000845	GO:0003824;GO:0009116	PF01048	NA	SSF53167	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23356.1	cd05276	IPR014189	GO:0055114;GO:0016491	PF08240;PF00107	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	SM00829	NA	Reactome: R-HSA-6803205	NA	NA	NA	NA	TIGR02824	NA	NA	NA
PON24892.1	cd14358	IPR002715	GO:0005854	PF01849	G3DSA:1.10.8.10;G3DSA:2.20.70.30	NA	SM01407	mobidb-lite	NA	PS51151	NA	NA	Coil	NA	PIRSF015901	NA	NA
PON30962.1	cd00200	IPR001680	GO:0005515	PF00400;PF12894	G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
PON20688.1	cd10938	IPR037950	GO:0005975;GO:0016810;GO:0003824	PF01522	G3DSA:3.20.20.370	SSF88713	NA	NA	NA	PS51677	NA	NA	NA	NA	NA	NA	NA
PON24736.1	NA	IPR029058	GO:0006629	PF04083	G3DSA:3.40.50.1820	SSF53474	NA	mobidb-lite	Reactome: R-HSA-6809371	NA	NA	NA	NA	NA	NA	NA	NA
PON26331.1	NA	IPR022190	NA	PF12511	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON27639.1	cd00817;cd07962	IPR002303	GO:0000166;GO:0004832;GO:0005524;GO:0006438;GO:0002161;GO:0006418;GO:0004812	PF08264;PF00133	G3DSA:1.10.730.10;G3DSA:3.90.740.10;G3DSA:3.40.50.620	SSF50677;SSF47323;SSF52374	NA	mobidb-lite	KEGG: 00970+6.1.1.9	NA	PS00178	PR00986	Coil	TIGR00422	NA	MF_02004	NA
PON25627.1	NA	IPR004813	GO:0055085	PF03169	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00728;TIGR00727	NA	NA	NA
PON26629.1	cd17352	IPR011701	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON26523.1	NA	IPR004839	GO:0009058;GO:0030170;GO:0003824	PF00155	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25604.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20526.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON21627.1	cd07302;cd00143;cd17214	IPR000159	GO:0007165;GO:0005515;GO:0003824;GO:0000287;GO:0004016;GO:0006171;GO:0009190;GO:0035556	PF00481;PF13855;PF08509;PF00211	G3DSA:3.80.10.10;G3DSA:3.60.40.10	SSF52058;SSF55073;SSF81606	SM00314;SM00364;SM00332;SM00369;SM00044;SM00365;SM00789	mobidb-lite	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PS51450;PS51746;PS50125;PS50200	NA	NA	NA	NA	NA	NA	NA
PON28868.1	cd14792	IPR041233	GO:0004553;GO:0005975;GO:0003824	PF17801;PF16499	G3DSA:3.20.20.70	SSF51445	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA	NA	NA	NA	NA
PON29736.1	NA	IPR016024	NA	PF10363;PF10304	NA	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28243.1	NA	IPR029063	NA	PF04672	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017393	NA	NA
PON22244.1	NA	IPR000649	GO:0044237	PF01008	G3DSA:3.40.50.10470;G3DSA:1.20.120.1070	SSF100950	NA	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA	NA	NA	NA	NA
PON29132.1	cd02440	IPR013216	GO:0008168;GO:0006694	PF08241;PF08498	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	PS51685	NA	NA	NA	NA	NA	NA	NA
PON23358.1	NA	IPR004762	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00324	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PS00218	NA	NA	TIGR00913	PIRSF006060	NA	NA
PON21717.1	NA	IPR000095	NA	NA	NA	NA	NA	mobidb-lite	NA	PS50108	NA	NA	NA	NA	NA	NA	NA
PON30247.1	NA	IPR023214	NA	PF03031	G3DSA:3.40.50.1000	SSF56784	SM00577	mobidb-lite	NA	PS50969	NA	NA	Coil	NA	NA	NA	NA
PON30032.1	cd05233	IPR002347	NA	PF13561	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA
PON22412.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21806.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22817.1	NA	IPR013087	GO:0003676	PF00096	G3DSA:3.30.160.60	SSF57667	SM00355	mobidb-lite	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON26814.1	cd00610	IPR015421	GO:0003824;GO:0003867;GO:0009448;GO:0008483;GO:0030170	PF00202	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	NA	KEGG: 00250+2.6.1.19|KEGG: 00410+2.6.1.19|KEGG: 00640+2.6.1.19|KEGG: 00650+2.6.1.19|MetaCyc: PWY-4321|MetaCyc: PWY-5022|MetaCyc: PWY-6535|MetaCyc: PWY-6536|MetaCyc: PWY-6537|Reactome: R-HSA-916853	NA	PS00600	NA	Coil	TIGR00699	PIRSF000521	NA	NA
PON28209.1	NA	IPR037171	GO:0044237	PF01008	G3DSA:3.40.50.10470	SSF100950	NA	mobidb-lite	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA	NA	NA	NA	NA
PON26672.1	NA	IPR036188	GO:0071949	PF01494	G3DSA:3.50.50.60;G3DSA:3.30.9.30	SSF54373;SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON20208.1	cd18186	IPR011333	GO:0005515	PF00651	G3DSA:3.30.710.10	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22460.1	NA	IPR002698	NA	PF01812	G3DSA:3.40.50.10420	SSF100950	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006806	NA	NA
PON27335.1	NA	IPR008949	NA	NA	G3DSA:1.10.600.10	SSF48576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20343.1	cd06464	IPR002068	NA	PF00011	G3DSA:2.60.40.790	SSF49764	NA	mobidb-lite	NA	PS01031	NA	NA	NA	NA	NA	NA	NA
PON23377.1	NA	IPR013218	GO:0000444;GO:0007059;GO:0051301	PF08202	NA	NA	NA	mobidb-lite	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-6798695|Reactome: R-HSA-68877	NA	NA	NA	Coil	NA	NA	NA	NA
PON27914.1	cd00306	IPR036852	GO:0004252;GO:0006508	PF00082	G3DSA:3.40.50.200	SSF52743	NA	NA	NA	NA	PS00138;PS00136	PR00723	NA	NA	NA	NA	NA
PON25132.1	cd04301	IPR016181	GO:0008080	PF13302	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA
PON25333.1	cd11377	IPR015366	GO:0008236;GO:0004252;GO:0006508	PF09286	G3DSA:3.40.50.200	SSF54897	SM00944	NA	Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA	NA
PON28024.1	NA	IPR002259	GO:0005337;GO:0016021;GO:1901642	PF01733	NA	SSF103473	NA	NA	Reactome: R-HSA-83936	NA	NA	PR01130	Coil	NA	PIRSF016379	NA	NA
PON27141.1	NA	IPR015943	GO:0005515	PF05729	G3DSA:2.130.10.10;G3DSA:3.40.50.300	SSF52540;SSF50978	SM00320	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
PON20221.1	cd17502	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON25241.1	NA	IPR006108	GO:0003857;GO:0006631;GO:0016491;GO:0055114	PF00725;PF02737	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	SSF48179;SSF51735	NA	NA	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	NA	PS00067	NA	NA	NA	NA	NA	NA
PON20560.1	cd17325	IPR011701	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON22498.1	cd09599	IPR014782	GO:0008237;GO:0008270;GO:0006508	PF01433;PF09127;PF17900	G3DSA:1.10.1740.60;G3DSA:1.25.40.320;G3DSA:1.10.390.10;G3DSA:2.60.40.1730	SSF48371;SSF55486;SSF63737	SM01263	NA	NA	NA	NA	PR00756	NA	NA	NA	NA	NA
PON20411.1	cd04077	IPR022398	GO:0004252;GO:0006508	PF05922;PF00082	G3DSA:3.30.70.80;G3DSA:3.40.50.200	SSF54897;SSF52743	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	PS00137;PS00136;PS00138	PR00723	NA	NA	NA	NA	NA
PON26898.1	NA	IPR023213		NA	G3DSA:3.30.559.10	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
PON26368.1	cd03445;cd03444	IPR029069	NA	PF13622	NA	SSF54637	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28090.1	NA	IPR036390	GO:0005515	PF04824;PF04825	G3DSA:1.10.10.580	SSF46785	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23574.1	NA	IPR036047	GO:0005515	PF12937	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	SSF81383;SSF50978	SM00726	mobidb-lite	NA	PS50181;PS50330	NA	NA	NA	NA	NA	NA	NA
PON28351.1	NA	IPR007144	GO:0006364;GO:0032040	PF03998	NA	NA	NA	mobidb-lite	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	Coil	NA	PIRSF015952	NA	NA
PON27005.1	NA	IPR029044	GO:0016021;GO:0016757	PF09258	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28800.1	NA	NA	NA	NA	NA	SSF144083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30719.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22434.1	NA	IPR011990	GO:0005515	PF01535	G3DSA:1.25.40.10	SSF48452	NA	mobidb-lite	NA	NA	NA	NA	Coil	TIGR00756	NA	NA	NA
PON28061.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22933.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23926.1	NA	IPR023601	GO:0000139;GO:0005801;GO:0006888;GO:0016021	PF12352	NA	SSF111384	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	NA	NA	NA	Coil	NA	PIRSF027109	NA	NA
PON26749.1	NA	IPR002347	GO:0016491	PF13561	G3DSA:3.40.50.720	SSF51735	NA	mobidb-lite	NA	NA	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA
PON25502.1	cd01629	IPR023214	GO:0000287;GO:0019509;GO:0043874	NA	G3DSA:1.10.720.60;G3DSA:3.40.50.1000	SSF56784	NA	NA	KEGG: 00270+3.1.3.77|Reactome: R-HSA-1237112	NA	NA	NA	NA	TIGR01691	NA	NA	NA
PON28786.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24009.1	cd00086	IPR001356	GO:0003677	PF00046	G3DSA:1.10.10.60	SSF46689	SM00389	mobidb-lite	NA	PS50071	NA	NA	NA	NA	NA	NA	NA
PON22254.1	NA	IPR040457	GO:0043015	PF04130;PF17681	NA	NA	NA	mobidb-lite	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA
PON21515.1	cd05392	IPR011993	GO:0043087;GO:0007165	PF00616	G3DSA:1.10.506.10;G3DSA:2.30.29.30;G3DSA:3.40.525.10	SSF48371;SSF48350	SM00323	NA	NA	PS50018	PS00509	NA	Coil	NA	NA	NA	NA
PON23782.1	cd08069	IPR040961	GO:0005515	PF18323;PF01398	G3DSA:3.40.140.10	SSF102712	SM00232	NA	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	PS50249	NA	NA	NA	NA	NA	NA	NA
PON31069.1	NA	IPR024079	GO:0008237;GO:0006508;GO:0008270	NA	G3DSA:3.40.390.10	SSF55486	SM00235	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29995.1	cd03132	IPR041399	GO:0004096;GO:0020037;GO:0055114;GO:0006979	PF18011;PF06628;PF00199	G3DSA:2.40.180.10;G3DSA:1.20.1370.20;G3DSA:3.40.50.880	SSF52317;SSF56634	SM01060	NA	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6	PS51402	PS00438;PS00437	PR00067	NA	NA	PIRSF038927	NA	NA
