Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB53506.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0008810	PS51164;PS50842	PF00734;PF03330	G3DSA:2.40.40.10	mobidb-lite	SSF50685;SSF57180	SM00236	NA	NA	NA	PS01140;PS00562	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	NA	NA	NA	NA
PTB54298.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48258.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56019.1	IPR011021	NA	NA	PF00339;PF02752	G3DSA:2.60.40.640	mobidb-lite	SSF81296	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47565.1	IPR013097	NA	PS51502	PF07876	G3DSA:3.30.70.100	NA	SSF54909	SM00886	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49944.1	IPR011050	GO:0004650;GO:0005975	NA	PF00295	G3DSA:2.160.20.10	NA	SSF51126	NA	NA	NA	NA	PS00502	NA	NA	NA	NA	NA
PTB54550.1	IPR001305	GO:0031072;GO:0051082;GO:0006457	PS50076;PS51188	PF00684;PF00226;PF01556	G3DSA:2.10.230.10;G3DSA:1.10.287.110;G3DSA:2.60.260.20	NA	SSF49493;SSF46565;SSF57938	SM00271	NA	cd10747;cd10719;cd06257	PR00625	PS00636	NA	NA	NA	NA	NA
PTB49097.1	IPR035959		NA	PF01042	G3DSA:3.30.1330.40	NA	SSF55298	NA	NA	cd00448	NA	NA	Reactome: R-HSA-8849175	NA	TIGR00004	NA	NA
PTB48847.1	IPR036852	GO:0004252;GO:0006508	NA	PF00082	G3DSA:3.40.50.200	mobidb-lite	SSF52743	NA	NA	cd00306	PR00723	NA	NA	NA	NA	NA	NA
PTB60483.1	NA	NA	PS51257	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55716.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54101.1	IPR002938	GO:0071949	NA	PF01494	G3DSA:3.50.50.60	NA	SSF51905	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
PTB47604.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55827.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00906;SM00066	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB47636.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59003.1	IPR036259	NA	NA	PF13347	G3DSA:1.20.1250.20	mobidb-lite	SSF103473	NA	NA	cd17313	NA	NA	NA	NA	NA	NA	NA
PTB47892.1	IPR000504	GO:0003676	PS50102	PF04059	NA	mobidb-lite	SSF54928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53582.1	IPR000073	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	PR00111	NA	NA	NA	NA	NA	NA
PTB59674.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PS50011	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	SSF56112	SM00220	NA	cd00180	NA	PS00109	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	NA	TIGR03724	NA	NA
PTB55610.1	IPR036322	GO:0005515	NA	NA	G3DSA:2.130.10.10	mobidb-lite	SSF50978	NA	NA	NA	NA	PS00678	NA	NA	NA	NA	NA
PTB49619.1	IPR016636	GO:0003865;GO:0008202;GO:0016020;GO:0055114;GO:0006629;GO:0016627	PS50244	PF02544	NA	NA	NA	NA	Coil	NA	NA	NA	KEGG: 00140+1.3.1.22|KEGG: 00905+1.3.1.22|MetaCyc: PWY-6032|MetaCyc: PWY-7455|Reactome: R-HSA-193048	PIRSF015596	NA	NA	NA
PTB55927.1	IPR000014	NA	PS50112	PF13426	G3DSA:3.30.450.20	NA	SSF55785	NA	NA	cd00130	NA	NA	NA	NA	NA	NA	NA
PTB61255.1	IPR035979	GO:0003676;GO:0003723;GO:0005634;GO:0006396;GO:1990904	PS50961;PS50102	PF05383;PF00076	G3DSA:1.10.10.10;G3DSA:3.30.70.330	mobidb-lite	SSF54928;SSF46785	SM00360;SM00715	NA	cd08029;cd12291	PR00302	NA	NA	NA	NA	NA	NA
PTB58917.1	IPR013215	GO:0003871;GO:0008270;GO:0008652;GO:0009086	NA	PF08267;PF01717	G3DSA:3.20.20.210	mobidb-lite	SSF51726	NA	Coil	cd03311;cd03312	NA	NA	KEGG: 00270+2.1.1.14|KEGG: 00450+2.1.1.14|MetaCyc: PWY-5041|MetaCyc: PWY-6151|MetaCyc: PWY-6936|MetaCyc: PWY-702	PIRSF000382	TIGR01371	MF_00172	NA
PTB57145.1	IPR023213	GO:0016747	NA	PF02458	G3DSA:3.30.559.10	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA
PTB58208.1	IPR020568	GO:0000105;GO:0004424	NA	PF00475	G3DSA:3.30.230.40	NA	SSF54211	NA	NA	cd07914	NA	PS00955;PS00954	KEGG: 00340+4.2.1.19	NA	NA	MF_00076	NA
PTB59410.1	IPR017975	GO:0005525;GO:0005874;GO:0007017;GO:0005200;GO:0003924	NA	PF03953;PF00091	G3DSA:3.30.1330.20;G3DSA:3.40.50.1440;G3DSA:1.10.287.600	NA	SSF55307;SSF52490	SM00865;SM00864	Coil	cd02186	PR01162;PR01161	PS00227	Reactome: R-HSA-380320	NA	NA	NA	NA
PTB53306.1	IPR036866	NA	NA	PF00753	G3DSA:3.60.15.10	NA	SSF56281	SM00849	Coil	cd07730	NA	NA	NA	NA	NA	NA	NA
PTB48824.1	IPR039461	NA	NA	PF03571	G3DSA:1.20.120.1470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54230.1	IPR022649	GO:0003677;GO:0006275;GO:0030337	NA	PF02747;PF00705	G3DSA:3.10.150.10	NA	SSF55979	NA	NA	cd00577	PR00339	PS00293;PS01251	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205|Reactome: R-HSA-8866654	NA	TIGR00590	MF_00317	NA
PTB60921.1	IPR027417	NA	NA	PF13521	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56101.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB50326.1	IPR018562	NA	NA	PF09441	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54396.1	IPR035959		NA	PF01042	G3DSA:3.30.1330.40	NA	SSF55298	NA	NA	cd06152	NA	NA	Reactome: R-HSA-8849175	NA	NA	NA	NA
PTB52493.1	IPR001680	GO:0005515	PS50156;PS50082;PS50294	PF12349	G3DSA:2.130.10.10	mobidb-lite	SSF50978;SSF82866	SM00320	NA	NA	NA	PS00678	NA	NA	NA	NA	NA
PTB59684.1	IPR005045	GO:0016020	NA	PF03381	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PIRSF015840	NA	NA	NA
PTB49067.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF11951	NA	NA	SSF57701	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
PTB59380.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50090.1	IPR002110	GO:0005515	PS50088;PS50297	PF12796	G3DSA:1.25.40.20	NA	SSF48403	SM00248	NA	NA	PR01415	NA	NA	NA	NA	NA	NA
PTB55978.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51624.1	IPR001578	GO:0004843;GO:0006511	NA	PF01088	G3DSA:3.40.532.10	NA	SSF54001	NA	NA	cd09616	PR00707	NA	Reactome: R-HSA-5689603	NA	NA	NA	NA
PTB55457.1	IPR000182	GO:0008080	PS51186	PF13302	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PTB53557.1	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52753.1	IPR024512		NA	PF11779	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1660661	NA	NA	NA	NA
PTB52945.1	IPR036259	GO:0016021;GO:0022857;GO:0055085	PS50850	PF00083	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17357	NA	PS00216;PS00217	NA	NA	NA	NA	NA
PTB58803.1	IPR001965	NA	NA	PF00628	G3DSA:3.30.40.10	mobidb-lite	SSF57903	SM00249	NA	NA	NA	PS01359	NA	NA	NA	NA	NA
PTB54873.1	IPR008775	NA	NA	PF05721	G3DSA:2.60.120.620	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58869.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066	NA	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB58300.1	IPR023753	GO:0016491;GO:0055114	NA	PF07992	G3DSA:3.50.50.100	NA	SSF51905	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA	NA	NA
PTB53609.1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA	NA	NA
PTB53443.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066;SM00906	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB56957.1	IPR036259	GO:0055085	PS50850	PF07690	G3DSA:1.20.1720.10	mobidb-lite	SSF103473	NA	Coil	cd17471;cd17502	NA	NA	NA	NA	NA	NA	NA
PTB55731.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066	NA	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB58738.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB53454.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA
PTB47781.1	IPR000504	GO:0003676	PS50102	PF00076	G3DSA:3.30.70.330	mobidb-lite	SSF54928	SM00360	NA	cd12247	NA	NA	NA	NA	NA	NA	NA
PTB48823.1	IPR011990	GO:0005515	NA	NA	G3DSA:1.25.40.10	NA	SSF48452	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB53952.1	IPR018815	NA	NA	PF10311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59864.1	IPR036322	GO:0005515;GO:0000159;GO:0019888	NA	PF00400	NA	mobidb-lite	SSF50978	SM00320	NA	NA	PR00600	PS01024;PS00678;PS01025	NA	PIRSF037309	NA	NA	NA
PTB47684.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55476.1	IPR023962	GO:0005975;GO:0016832;GO:0003824	NA	PF03894;PF09363;PF09364	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	SSF52518	NA	NA	cd02011	NA	PS60002;PS60003	NA	PIRSF017245	NA	MF_01403	NA
PTB54315.1	IPR000795	GO:0003924;GO:0005525	PS51722	PF00009;PF14492;PF00679;PF03144	G3DSA:3.30.70.870;G3DSA:3.30.230.10;G3DSA:3.30.70.240	NA	SSF52540;SSF50447;SSF54980;SSF54211	SM00838	Coil	cd16268;cd01885;cd04096;cd01681	PR00315	NA	NA	NA	TIGR00231	NA	NA
PTB56751.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	SSF56112	SM00220	NA	NA	NA	PS00108;PS00107	NA	PIRSF000615	NA	NA	NA
PTB58312.1	IPR036188	GO:0016491;GO:0055114	NA	PF07992	G3DSA:3.50.50.60	NA	SSF51905	NA	Coil	NA	PR00469;PR00368	NA	NA	NA	NA	NA	NA
PTB52280.1	IPR027815	GO:0016020	NA	PF14703;PF12621;PF13967;PF02714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54134.1	IPR027417	GO:0005524	PS51194;PS51192	PF00271;PF00176	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	mobidb-lite	SSF52540	SM00487	NA	cd18793;cd18008	NA	NA	NA	NA	NA	NA	NA
PTB47409.1	IPR029058	GO:0016787	NA	PF07859	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47410.1	IPR002938	GO:0071949	NA	PF01494;PF07976	G3DSA:3.30.9.50;G3DSA:3.40.30.20;G3DSA:3.50.50.60	mobidb-lite	SSF51905;SSF54373;SSF52833	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
PTB52537.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF11951;PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB57492.1	IPR009072	GO:0046982	NA	PF00808	NA	mobidb-lite	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58600.1	IPR007138	NA	PS51725	PF03992	G3DSA:3.30.70.100	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50464.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52414.1	IPR016181	GO:0008080	PS51186	PF00583	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PTB47703.1	IPR005103	GO:0005515	PS50853	PF03443	G3DSA:2.70.50.70	NA	NA	NA	NA	NA	NA	NA	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	NA	NA	NA	NA
PTB53663.1	IPR021858	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49239.1	IPR001179	GO:0003755	PS50059	PF00254	G3DSA:3.10.50.40	NA	SSF54534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54065.1	IPR012349	GO:0048037;GO:0016491;GO:0055114	PS51384	NA	G3DSA:2.30.110.10;G3DSA:2.40.30.10;G3DSA:3.40.50.80	NA	SSF52343;SSF63380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48567.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	NA	PF00107;PF08240	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	SSF51735;SSF50129	SM00829	NA	cd05283	NA	PS00059	Reactome: R-HSA-71384	NA	NA	NA	NA
PTB56995.1	IPR032382	NA	NA	PF16541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52729.1	IPR011990	GO:0005515;GO:0045048	NA	PF04190	G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-9609523	NA	NA	NA	NA
PTB54266.1	IPR029056	GO:0052855	PS51383	PF01256	G3DSA:3.40.1190.20	NA	SSF53613	NA	NA	cd01171	NA	PS01050	Reactome: R-HSA-197264	NA	TIGR00196	MF_01965	NA
PTB47697.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49456.1	IPR007523	NA	NA	PF04430	G3DSA:3.40.1230.10	mobidb-lite	SSF64076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60902.1	IPR001623	NA	PS50076	PF00226	G3DSA:1.10.287.110	mobidb-lite	SSF46565	SM00271	Coil	cd06257	PR00625	NA	NA	NA	NA	NA	NA
PTB55031.1	IPR001789	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	PS50112;PS50110;PS50109;PS50113	PF13426;PF00512;PF00072;PF02518	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:3.40.50.2300	mobidb-lite	SSF55785;SSF55874;SSF47384;SSF52172	SM00448;SM00387;SM00388	Coil	cd16922;cd00082;cd00130;cd00156	PR00344	NA	Reactome: R-HSA-70895	NA	TIGR00229	NA	NA
PTB55182.1	IPR019622	NA	NA	PF10680	G3DSA:3.30.160.60	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB56796.1	IPR003593	GO:0003678;GO:0005524	NA	PF17856;PF06068	G3DSA:1.10.8.60	NA	SSF52540	SM00382	NA	cd00009	NA	NA	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	NA	NA	NA	NA
PTB49087.1	IPR011022	NA	NA	PF02752	NA	mobidb-lite	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48777.1	IPR004045	GO:0005515;GO:0004364	PS50404;PS50405	PF13410;PF13409	G3DSA:1.20.1050.10;G3DSA:3.40.30.130	NA	SSF52833;SSF47616	NA	NA	cd03190	NA	NA	NA	PIRSF015753	NA	NA	NA
PTB49547.1	NA	NA	PS51257	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54148.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59771.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49750.1	IPR029033	NA	NA	PF00328	G3DSA:3.40.50.1240	NA	SSF53254	NA	NA	cd07061	NA	PS00616	NA	NA	NA	NA	NA
PTB48009.1	IPR036259	GO:0055085	PS50850	PF07690	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	mobidb-lite	SSF103473	NA	NA	cd17502	PR01036	NA	NA	NA	NA	NA	NA
PTB52116.1	IPR028163	GO:0006397	PS51025	PF14661;PF01480	G3DSA:1.20.1390.10	mobidb-lite	SSF101233	SM00311	Coil	NA	NA	NA	Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA
PTB60077.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PF00069	G3DSA:1.10.510.10	NA	SSF56112	SM00220	NA	cd00180	NA	NA	NA	NA	NA	NA	NA
PTB56193.1	IPR023299	GO:0000166;GO:0000287;GO:0005524;GO:0015914;GO:0016021;GO:0140326	NA	PF13246;PF16212;PF16209	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000	mobidb-lite	SSF81653;SSF56784;SSF81665;SSF81660	NA	Coil	cd02073	PR00119	PS00154	Reactome: R-HSA-936837	NA	TIGR01652;TIGR01494	NA	SFLDF00027;SFLDG00002
PTB54178.1	IPR006689	GO:0005525	PS51417	PF00025	G3DSA:3.40.50.300	NA	SSF52540	SM00177;SM00178;SM00175	Coil	cd04150	PR00328	NA	NA	NA	TIGR00231	NA	NA
PTB53205.1	IPR010730	GO:0005515	NA	PF06985	G3DSA:1.25.40.20;G3DSA:1.25.40.10	NA	SSF140860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53321.1	IPR008030		NA	PF05368	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	cd05251	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB47353.1	IPR018712	NA	NA	PF09994	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58341.1	IPR041447	GO:0004553;GO:0005975	NA	PF17786;PF00703;PF18368	G3DSA:3.20.20.80;G3DSA:2.60.120.260;G3DSA:2.60.40.10	NA	SSF49303;SSF51445;SSF49785	NA	NA	NA	NA	NA	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	NA	NA	NA	NA
PTB49569.1	IPR011701	GO:0055085	NA	PF07690	NA	mobidb-lite	SSF103473	NA	NA	cd17354	NA	NA	NA	NA	NA	NA	NA
PTB59441.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60052.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50358.1	IPR034686	GO:0005515;GO:0003824;GO:0009116	PS50082;PS50294	PF00400;PF12894;PF17100	G3DSA:2.130.10.10;G3DSA:1.10.600.10;G3DSA:3.40.50.300	mobidb-lite	SSF53167;SSF48576;SSF50998;SSF50978;SSF52540	SM00320	NA	cd09008;cd00200	PR00320	PS00678	NA	NA	NA	NA	SFLDG01020;SFLDS00005
PTB57185.1	IPR007568	GO:0016021	NA	PF04479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59916.1	IPR010255	GO:0004601;GO:0006979;GO:0020037;GO:0055114	PS50873	PF00141	G3DSA:1.10.520.10	NA	SSF48113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52588.1	IPR036389	GO:0004525;GO:0006396	NA	NA	G3DSA:1.10.1520.10	mobidb-lite	SSF69065	SM00535	NA	cd00593	NA	NA	Reactome: R-HSA-203927	NA	NA	NA	NA
PTB48090.1	IPR020683	GO:0005515	PS50837;PS50297;PS50088	PF12796;PF05729	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	SSF48403;SSF52540	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48700.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54280.1	IPR036291	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61152.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49828.1	IPR001613	GO:0016491;GO:0055114	NA	PF01593	G3DSA:3.90.660.10;G3DSA:3.50.50.60;G3DSA:1.10.405.10	NA	SSF51905;SSF54373	NA	NA	NA	PR00757	NA	NA	NA	NA	NA	NA
PTB58447.1	IPR011057	NA	NA	NA	G3DSA:3.90.1590.10	NA	SSF51316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58874.1	IPR009072	GO:0046982	NA	NA	G3DSA:1.10.20.10	NA	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57533.1	IPR018624	GO:0031204;GO:0031207	NA	PF09802	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51043.1	IPR036322	GO:0005515	PS50082;PS50294	PF12894;PF00400	G3DSA:2.130.10.10	mobidb-lite	SSF50978	SM00320	NA	cd00200	NA	NA	NA	NA	NA	NA	NA
PTB47829.1	IPR001789	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	PS50110;PS50109	PF00072;PF00512;PF02518	G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.30.450.40;G3DSA:3.30.565.10	mobidb-lite	SSF52172;SSF55781;SSF47384;SSF55874	SM00387;SM00448;SM00388	NA	cd00082;cd16922;cd00156	PR00344	NA	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	NA
PTB51958.1	IPR001926	GO:0008660;GO:0009310;GO:0030170	NA	PF00291	G3DSA:3.40.50.1100	NA	SSF53686	NA	NA	cd06449	NA	NA	KEGG: 00270+3.5.99.7	PIRSF006278	TIGR01274	NA	NA
PTB59751.1	IPR036812	NA	NA	NA	G3DSA:3.20.20.100	NA	SSF51430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58082.1	IPR015943	GO:0005515	PS50082;PS50294	PF00400	G3DSA:2.130.10.10	NA	SSF50978	SM00320	NA	NA	PR00320	PS00678	NA	NA	NA	NA	NA
PTB47535.1	IPR040079	GO:0005515	PS50405;PS50404	PF02798;PF00043	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
PTB60382.1	IPR012349	GO:0048037	NA	PF13883	G3DSA:2.30.110.10	NA	SSF50475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48403.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB48424.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47971.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50196.1	IPR014746	GO:0003824;GO:0004356;GO:0006542;GO:0006807	NA	PF00120	G3DSA:3.30.590.10	NA	SSF55931;SSF54368	SM01230	Coil	NA	NA	NA	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964	NA	NA	NA	NA
PTB51812.1	IPR025110	GO:0003824	NA	PF13193;PF00501	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	SSF56801	NA	NA	cd05911	NA	NA	NA	NA	NA	NA	NA
