Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK25326.1	IPR015915	GO:0005515	NA	PS50097	PF13418;PF13854;PF00651	G3DSA:2.120.10.80	mobidb-lite	cd18300;cd14733	NA	SSF117281;SSF54695	NA	NA	NA	NA	NA	NA	NA
EHK25173.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20928.1	IPR001251	NA	SM00516	PS50191	PF00650	G3DSA:3.40.525.10	NA	cd00170	NA	SSF52087	NA	NA	NA	NA	NA	NA	NA
EHK16054.1	IPR024571	GO:0008237;GO:0008270;GO:0006508	NA	NA	PF11838;PF01433;PF17900	G3DSA:2.60.40.1730;G3DSA:1.10.390.60;G3DSA:1.25.50.20;G3DSA:2.60.40.1910	NA	cd09601	Coil	SSF63737;SSF55486	NA	PR00756	NA	NA	NA	NA	NA
EHK21562.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	NA	NA	mobidb-lite	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17867.1	IPR029063	NA	NA	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
EHK16520.1	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	SM00220	PS50011	PF00069;PF08587;PF16579	G3DSA:1.10.510.10;G3DSA:3.30.310.80	mobidb-lite	cd12122;cd14079;cd14334	NA	SSF56112;SSF103243	PS00108;PS00107	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA
EHK15542.1	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	SM00702	PS51471	PF13640	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21639.1	IPR036291	GO:0003824;GO:0050662	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK15134.1	IPR038567	NA	NA	NA	PF05129	G3DSA:2.20.25.190	mobidb-lite	NA	NA	SSF57783	NA	NA	NA	NA	NA	NA	NA
EHK17101.1	IPR005925	GO:0046872;GO:0016813	NA	PS51257;PS51409	PF00491	G3DSA:3.40.800.10	NA	cd11592	NA	SSF52768	PS01053	PR00116	KEGG: 00330+3.5.3.11|MetaCyc: PWY-40|MetaCyc: PWY-6305|Reactome: R-HSA-351143	TIGR01230	PIRSF036979	NA	NA
EHK22363.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19461.1	IPR001509	GO:0003824;GO:0050662	NA	NA	PF01370	G3DSA:3.40.50.720	NA	cd05227	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK19658.1	IPR001680	GO:0005515	SM00667;SM00320	PS50082;PS50896;PS50294	PF08513;PF04494;PF00400	G3DSA:2.130.10.10;G3DSA:1.25.40.500	mobidb-lite	cd00200;cd08044	NA	SSF160897;SSF50978	PS00678	PR00320	NA	NA	NA	NA	NA
EHK23007.1	IPR009081	GO:0003824;GO:0031177;GO:0016740	SM00825;SM00822;SM00826;SM00827;SM00823	PS50075	PF00550;PF02801;PF00501;PF00668;PF00109;PF07993;PF16197;PF14765;PF00698;PF08659;PF08242	G3DSA:1.10.1200.10;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.40.47.10;G3DSA:3.30.559.30;G3DSA:3.10.129.110;G3DSA:3.40.366.10	NA	cd05930;cd00833	NA	SSF53901;SSF53335;SSF51735;SSF47336;SSF55048;SSF52777;SSF52151;SSF56801	PS00455;PS00012;PS00606	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	TIGR01733	NA	NA	NA
EHK18968.1	IPR015798	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114	NA	NA	PF01179;PF02727	G3DSA:3.10.450.40;G3DSA:2.70.98.20	NA	NA	NA	SSF54416;SSF49998	NA	NA	Reactome: R-HSA-211945	NA	NA	NA	NA
EHK15432.1	IPR017861	GO:0002949;GO:0004222	NA	NA	PF00814	G3DSA:3.30.420.40	mobidb-lite	NA	Coil	SSF53067	PS01016	PR00789	Reactome: R-HSA-6782315	NA	NA	MF_01445	NA
EHK23056.1	IPR000086	GO:0016787	NA	PS51462	PF00293	G3DSA:3.90.79.10	NA	cd04664	NA	SSF55811	NA	NA	NA	NA	NA	NA	NA
EHK20519.1	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27275.1	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	PS50929;PS50893	PF00005;PF00664	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	mobidb-lite	cd18597;cd03250;cd03244;cd18606	Coil	SSF90123;SSF52540	PS00211	NA	NA	NA	NA	NA	NA
EHK25164.1	IPR013144	GO:0005515	SM00757;SM00184;SM00668	PS51867;PS50896;PS50897	PF10607;PF13445	G3DSA:3.30.40.10	NA	cd16652	NA	SSF57850	NA	NA	NA	NA	NA	NA	NA
EHK16977.1	IPR042111	GO:0004019;GO:0005525;GO:0006164	SM00788	NA	PF00709	G3DSA:3.90.170.10;G3DSA:3.40.440.10;G3DSA:1.10.300.10	NA	cd03108	NA	SSF52540	PS00513	NA	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	TIGR00184	NA	MF_00011	NA
EHK17518.1	IPR007849	NA	NA	NA	PF05176	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16105.1	IPR022044	GO:0005737	NA	NA	PF12255;PF03534;PF12256	G3DSA:2.180.10.10	mobidb-lite	NA	NA	SSF69318	NA	PR01341	NA	TIGR03696	NA	NA	NA
EHK19387.1	IPR029062		NA	NA	PF01965	G3DSA:3.40.50.880	NA	cd03139	NA	SSF52317	NA	NA	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	NA	NA	NA	NA
EHK23020.1	IPR036291	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK19925.1	IPR020846	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	mobidb-lite	cd17476	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK18689.1	IPR014849	NA	NA	NA	PF08738	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK22631.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18938.1	IPR005645	NA	NA	NA	PF03959	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK16458.1	IPR002110	GO:0005515	SM00248	PS50088;PS50297	PF12796;PF13637	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NA	NA	SSF48403	NA	NA	NA	NA	NA	NA	NA
EHK26364.1	IPR028887	GO:0005829;GO:0006777	NA	NA	PF02597	G3DSA:3.10.20.30	NA	cd00754	NA	SSF54285	NA	NA	Reactome: R-HSA-947581	NA	NA	MF_03051	NA
EHK22219.1	IPR017441	GO:0005524;GO:0004672;GO:0006468	SM00220	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	cd14016	Coil	SSF56112	PS00107	NA	NA	NA	NA	NA	NA
EHK19164.1	IPR024991	GO:0004842;GO:0005680	SM00184	PS50089	PF12861	G3DSA:3.30.40.10	NA	cd16456	NA	SSF57850	NA	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA
EHK24016.1	IPR015131	GO:0005576;GO:0009405	NA	NA	PF09044	G3DSA:3.30.430.10	NA	NA	NA	SSF55221	NA	NA	NA	NA	NA	NA	NA
EHK24794.1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PS00086	PR00463	NA	NA	NA	NA	NA
EHK26736.1	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	SM00382	PS50929;PS50893	PF00005;PF00664	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	cd18580;cd18579;cd03250	NA	SSF90123;SSF52540	PS00211	NA	NA	NA	NA	NA	NA
EHK24970.1	IPR008928	GO:0003824;GO:0030246	NA	NA	PF07971;PF17678	G3DSA:3.30.2080.10;G3DSA:1.20.1610.10;G3DSA:1.20.1050.60;G3DSA:2.70.98.10	NA	NA	NA	SSF48208	NA	NA	NA	TIGR01180	NA	NA	NA
EHK26842.1	IPR011009	NA	NA	NA	NA	G3DSA:1.10.510.10	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA
EHK24649.1	IPR014756		NA	NA	PF16561	G3DSA:2.60.40.10	mobidb-lite	cd02859	NA	SSF81296	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9613354|Reactome: R-HSA-9619483	NA	NA	NA	NA
EHK20768.1	IPR036188	GO:0071949	NA	NA	PF01494	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PR00420	NA	NA	NA	NA	NA
EHK24097.1	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	NA	PF00724	G3DSA:3.20.20.70	NA	cd02932	NA	SSF51395	NA	NA	NA	NA	NA	NA	NA
EHK26699.1	IPR017261	GO:0006298;GO:0030983;GO:0005524	SM00534;SM00533	NA	PF05192;PF00488	G3DSA:3.40.50.300;G3DSA:1.10.1420.10	NA	cd03281	NA	SSF52540;SSF48334	NA	NA	NA	NA	PIRSF037677	NA	NA
EHK20818.1	IPR018606	GO:0031047;GO:0033167	NA	NA	PF09692	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22332.1	IPR005556	NA	NA	NA	PF03856	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17043.1	IPR033118	GO:0016021;GO:0016125;GO:0047750	NA	PS51751	PF05241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26168.1	IPR002347	GO:0016491	NA	NA	PF13561	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA
EHK16026.1	IPR024654	GO:0030904;GO:0042147	NA	NA	PF12850	G3DSA:3.60.21.10	NA	cd07394	NA	SSF56300	NA	NA	Reactome: R-HSA-3238698	TIGR00040	NA	NA	NA
EHK26780.1	IPR005123	GO:0016491;GO:0055114	NA	PS51471	PF03171;PF14226	G3DSA:2.60.120.330	NA	NA	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA
EHK18262.1	NA	NA	NA	PS51257	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18137.1	IPR003337	GO:0003824;GO:0005992	NA	NA	PF00982;PF02358	G3DSA:3.40.50.2000;G3DSA:3.40.50.1000;G3DSA:3.30.70.1020	mobidb-lite	cd03788	NA	SSF53756;SSF56784	NA	NA	Reactome: R-HSA-446205	TIGR00685;TIGR01484	NA	NA	NA
EHK25161.1	IPR023631		NA	NA	PF01425	G3DSA:3.90.1300.10	NA	NA	NA	SSF75304	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA
EHK21316.1	IPR027417	GO:0003676;GO:0005524	SM00490;SM00973;SM00382;SM00487	PS51192;PS51194	PF00271;PF00270;PF02889	G3DSA:1.10.3380.10;G3DSA:3.40.50.300;G3DSA:1.10.10.2530;G3DSA:2.60.40.150	NA	cd18795;cd18020;cd18022	NA	SSF158702;SSF52540;SSF81296;SSF46785	NA	NA	NA	NA	PIRSF039073	NA	NA
EHK19019.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15415.1	IPR013087	GO:0003676	SM00355	PS50157	PF00096	G3DSA:3.30.160.60	mobidb-lite	NA	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
EHK26663.1	IPR035994	GO:0003824;GO:0009116	NA	NA	PF01048	NA	NA	cd09008	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA
EHK17903.1	IPR002347	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK25586.1	IPR011650	GO:0016787	NA	NA	PF07687;PF01546	G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	cd05672	NA	SSF55031;SSF53187	NA	NA	NA	TIGR01891	PIRSF037226	NA	NA
EHK26844.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1720.10	NA	cd17502	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK18565.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26704.1	IPR000917	GO:0008484;GO:0003824;GO:0006506;GO:0016021;GO:0051377;GO:0005789;GO:0016740	NA	NA	PF00884;PF04987	G3DSA:3.40.720.10	NA	cd16020	Coil	SSF53649	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA
EHK26996.1	IPR036874	GO:0004089;GO:0008270;GO:0015976	SM00947	NA	PF00484	G3DSA:3.40.1050.10	NA	cd00883	Coil	SSF53056	PS00704	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA
EHK18558.1	IPR036236	GO:0003676	NA	PS50157	NA	G3DSA:3.30.160.60	mobidb-lite	NA	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
EHK18099.1	IPR010619	NA	NA	NA	PF06738;PF12821	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20131.1	IPR001680	GO:0005515	SM00320	PS50082;PS50294	PF00400	G3DSA:2.130.10.10	NA	cd00200	NA	SSF50978	PS00678	PR00320	NA	NA	NA	NA	NA
EHK25004.1	IPR000467	GO:0003676;GO:0006397	NA	PS50174	PF01585;PF07713	NA	mobidb-lite	cd18317	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA
EHK24442.1	IPR002292	GO:0016743;GO:0006520;GO:0016597	NA	NA	PF00185;PF02729	G3DSA:3.40.50.1370	NA	NA	NA	SSF53671	PS00097	PR00102;PR00100	KEGG: 00220+2.1.3.3|MetaCyc: PWY-4981|MetaCyc: PWY-4984|MetaCyc: PWY-7400|Reactome: R-HSA-1268020|Reactome: R-HSA-70635	TIGR00658	NA	NA	NA
EHK15218.1	IPR012951	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PS51387	PF08031;PF01565	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	NA	NA	SSF56176	PS00862	NA	NA	NA	NA	NA	NA
EHK15438.1	NA	NA	NA	NA	NA	NA	NA	cd17420	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16560.1	NA	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26538.1	IPR013083	GO:0046872	SM00184	PS50089	PF00097	G3DSA:3.30.40.10	mobidb-lite	cd16536	Coil	SSF57850	PS00518	NA	NA	NA	NA	NA	NA
EHK20988.1	IPR016035	GO:0004620;GO:0009395	SM00022	PS51210	PF01735	G3DSA:3.40.1090.10	NA	NA	NA	SSF52151	NA	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA	NA
EHK21241.1	IPR036291		NA	NA	PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
EHK16094.1	IPR024370	NA	NA	NA	PF12849	G3DSA:3.40.190.10	NA	NA	NA	SSF53850	NA	NA	NA	NA	NA	NA	NA
EHK19261.1	IPR021054	NA	NA	NA	PF12296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15305.1	IPR004698	GO:0005385;GO:0016021;GO:0071577;GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00820	NA	NA	NA
EHK18111.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25138.1	IPR036910	NA	SM00398	PS50118	PF00505	G3DSA:1.10.30.10	mobidb-lite	cd01390	NA	SSF47095	NA	NA	NA	NA	NA	NA	NA
EHK26981.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SSF69318	NA	NA	NA	NA	NA	NA	NA
EHK25227.1	IPR007941	NA	NA	NA	PF05277	G3DSA:3.40.50.1820	mobidb-lite	NA	Coil	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK16894.1	IPR011057	GO:0016846	NA	NA	PF04828	G3DSA:3.90.1590.10	NA	NA	NA	SSF51316	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA
EHK23350.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK25810.1	IPR036249	GO:0005515	NA	PS50404;PS50405	PF13410;PF13417	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	cd03043;cd03194	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	SFLDS00019
EHK19983.1	IPR027417	NA	NA	NA	NA	G3DSA:3.40.50.300	mobidb-lite	cd18793	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
EHK25811.1	IPR036259	GO:0055085	NA	NA	PF07690	G3DSA:1.20.1250.20	NA	cd17352	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK17076.1	IPR013024	NA	NA	NA	PF06094	G3DSA:3.10.490.10	NA	cd06661	NA	SSF110857	NA	NA	NA	NA	NA	NA	NA
EHK15908.1	IPR013234	GO:0006506	NA	NA	PF08288;PF00534	G3DSA:3.40.50.2000	mobidb-lite	cd03796	NA	SSF53756	NA	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA
EHK19136.1	IPR016024		NA	NA	PF03715	NA	mobidb-lite	NA	Coil	SSF48371	NA	NA	Reactome: R-HSA-6804756	NA	NA	NA	NA
EHK17660.1	IPR036919	GO:0000463;GO:0003735;GO:0022625	NA	NA	PF00327;PF08079	G3DSA:3.30.1390.20;G3DSA:1.10.15.30	NA	cd01657	Coil	SSF55129	NA	NA	NA	TIGR01310	NA	NA	NA
EHK23414.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	PF00172;PF11951	G3DSA:4.10.240.10	NA	cd00067	Coil	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK23388.1	IPR036047	GO:0005515	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA
EHK25605.1	IPR011059	GO:0016810;GO:0016787	NA	NA	PF01979	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	SSF51338;SSF51556	NA	NA	NA	NA	NA	NA	NA
EHK24462.1	IPR027409	GO:0005524;GO:0042026;GO:0006457	NA	NA	PF00118	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	NA	cd03344	NA	SSF52029;SSF48592;SSF54849	PS00296	PR00298	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	TIGR02348	NA	MF_00600	NA
EHK24839.1	IPR015419	NA	NA	NA	PF09341	G3DSA:3.30.310.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20327.1	IPR013785	GO:0003824;GO:0020037;GO:0016491;GO:0055114	SM01117	PS51349;PS50255	PF01070;PF00173	G3DSA:3.20.20.70;G3DSA:3.10.120.10	NA	cd02922	NA	SSF51395;SSF55856	PS00191;PS00557	PR00363	Reactome: R-HSA-9033241	NA	NA	NA	NA
EHK22142.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK17462.1	IPR000253	GO:0005515;GO:0016021	SM00602	PS50006	PF15901;PF15902	G3DSA:2.10.70.90;G3DSA:2.10.70.80;G3DSA:2.130.10.10	NA	cd15482	NA	SSF110296	NA	NA	NA	NA	NA	NA	NA
EHK27016.1	IPR015421	GO:0003824	NA	NA	PF00266	G3DSA:3.40.640.10	NA	NA	NA	SSF53383	NA	NA	NA	NA	NA	NA	NA
EHK15272.1	IPR018083	GO:0016628;GO:0055114;GO:0016020;GO:0016126	NA	NA	PF01222	G3DSA:1.20.120.1630	NA	NA	NA	NA	PS01017;PS01018	NA	NA	NA	NA	NA	NA
EHK18765.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK16732.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	cd12148;cd00067	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK17900.1	IPR011032	GO:0055114;GO:0016491	SM00829	NA	PF08240;PF00107	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK19397.1	NA	NA	NA	NA	NA	NA	mobidb-lite	cd17323	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24333.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17327	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK16515.1	IPR018531	NA	NA	NA	PF09351	G3DSA:1.20.120.450	NA	NA	NA	SSF109854	NA	NA	NA	NA	NA	NA	NA
EHK20147.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	NA	PR00385;PR00463	NA	NA	NA	NA	NA
EHK24247.1	IPR029753	GO:0016616;GO:0051287;GO:0055114	NA	NA	PF00389;PF02826	G3DSA:3.40.50.720	NA	cd12168	NA	SSF52283;SSF51735	PS00671;PS00670;PS00065	NA	NA	NA	NA	NA	NA
EHK15336.1	IPR002882	NA	NA	NA	PF01933	NA	NA	cd07187	NA	SSF142338	NA	NA	NA	NA	NA	NA	NA
EHK16787.1	IPR008949	NA	NA	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	SSF48576	NA	NA	NA	NA	NA	NA	NA
EHK25627.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	PF00172;PF11951	G3DSA:4.10.240.10	mobidb-lite	cd00067	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK26888.1	IPR039470	NA	NA	NA	PF15891	G3DSA:3.40.50.450	NA	NA	NA	SSF52309	NA	NA	NA	NA	NA	NA	NA
EHK25095.1	IPR002182	GO:0043531;GO:0005515	SM00028	NA	PF00931	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	NA	Coil	SSF52540;SSF48452	NA	NA	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	NA
EHK20449.1	IPR018823	NA	NA	NA	PF10337;PF10334;PF13515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24819.1	IPR042098	GO:0016491;GO:0055114	NA	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	SSF51197	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
EHK17562.1	IPR036691	NA	NA	NA	PF03372	G3DSA:3.60.10.10	NA	NA	NA	SSF56219	NA	NA	NA	NA	NA	NA	NA
EHK21083.1	IPR007535	GO:0005506;GO:0009712;GO:0018576;GO:0055114;GO:0016702;GO:0003824;GO:0006725;GO:0008199	NA	NA	PF04444;PF00775	G3DSA:2.60.130.10	NA	cd03461	NA	SSF49482	NA	NA	NA	NA	NA	NA	NA
EHK24808.1	IPR002347	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA
EHK24739.1	IPR010920	GO:0000398;GO:0005688;GO:0046540	SM00651	NA	PF01423	G3DSA:2.30.30.100	NA	cd01727	NA	SSF50182	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA
EHK15795.1	IPR011990	GO:0005515;GO:0006396	SM00386	NA	PF13181	G3DSA:1.25.40.10	mobidb-lite	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA
EHK23768.1	IPR036770	GO:0005515	SM00248	PS50088;PS50297	PF13637;PF12796	G3DSA:1.25.40.20	NA	NA	NA	SSF48403	NA	PR01415	NA	NA	NA	NA	NA
EHK17953.1	IPR002347	GO:0016491	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA
EHK19545.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25342.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK18619.1	IPR000771	GO:0005975;GO:0008270;GO:0016832;GO:0003824	NA	NA	PF01116	G3DSA:3.20.20.70	NA	NA	NA	SSF51569	NA	NA	NA	NA	PIRSF001359	NA	NA
EHK22845.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19079.1	IPR036259	NA	NA	NA	PF06912	NA	mobidb-lite	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK18423.1	IPR002347	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PR00081;PR00080	NA	NA	NA	NA	NA
