Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3068746.1	NA	IPR005197	GO:0016787	NA	PF03659	NA	G3DSA:3.20.20.80	NA	cd11577	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068636.1	mobidb-lite	IPR007461	NA	NA	PF04366	NA	NA	NA	cd11524	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3071797.1	NA	IPR005493	NA	NA	PF03737	SSF89562	G3DSA:3.50.30.100	NA	cd16841	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075447.1	mobidb-lite	NA	NA	NA	PF14608	NA	G3DSA:1.20.58.1670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3059070.1	NA	IPR036736	GO:0003824	Reactome: R-HSA-389661	PF00501;PF00550;PF00668	SSF52777;SSF47336;SSF56801	G3DSA:1.10.1200.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:3.30.559.30	NA	cd05918	NA	PS50075	PS00012	TIGR01733	NA	NA	NA	NA
KAF3054703.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	G3DSA:4.10.240.10	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075419.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd12148;cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3076689.1	NA	IPR036026	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	PF01532	SSF48225	G3DSA:1.50.10.10	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA
KAF3059075.1	NA	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PF01565;PF08031	SSF56176	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA
KAF3076276.1	NA	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17356	PR00171	PS50850	PS00216;PS00217	TIGR00879	NA	NA	NA	NA
KAF3063304.1	mobidb-lite	IPR039553	NA	NA	PF13758;PF12927	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3070050.1	mobidb-lite	IPR013083	GO:0006351	NA	PF00628;PF07500;PF07744	SSF46942;SSF57903	G3DSA:3.30.40.10;G3DSA:1.10.472.30	SM00510;SM00249	NA	NA	PS51321	PS01359	NA	NA	Coil	NA	NA
KAF3069224.1	NA	IPR042487	GO:0003678;GO:0005524	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	PF17856;PF06068	SSF52540	G3DSA:1.10.8.60;G3DSA:2.40.50.360;G3DSA:3.40.50.300	SM00382	cd17930	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075078.1	NA	IPR000652	GO:0004807;GO:0006096;GO:0003824	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263	PF00121	SSF51351	G3DSA:3.20.20.70	NA	cd00311	NA	PS51440	PS00171	TIGR00419	MF_00147_B	NA	NA	NA
KAF3060146.1	NA	IPR007248	GO:0016021	NA	PF04117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056105.1	NA	IPR029064	GO:0042254;GO:1990904;GO:0003723;GO:0005730	Reactome: R-HSA-6791226	PF01248	SSF55315	G3DSA:3.30.1330.30	NA	NA	PR00881;PR00883	NA	PS01082	NA	NA	Coil	NA	NA
KAF3072934.1	NA	IPR036291	NA	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070106.1	NA	IPR015943	GO:0005515	NA	PF00400	SSF50978;SSF50998;SSF52540	G3DSA:2.130.10.10;G3DSA:3.40.50.300	SM00320	cd00200	PR00320	PS50082;PS50294	PS00678	NA	NA	Coil	NA	NA
KAF3060274.1	NA	IPR008253	GO:0016020	NA	PF01284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066840.1	NA	IPR011042	NA	NA	NA	SSF63829	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075127.1	mobidb-lite	IPR001289	GO:0003700;GO:0006355	Reactome: R-HSA-1989781|Reactome: R-HSA-2426168|Reactome: R-HSA-380994|Reactome: R-HSA-381183|Reactome: R-HSA-9614657	PF02045	NA	NA	SM00521	NA	PR00616	PS51152	NA	NA	NA	NA	NA	NA
KAF3076365.1	mobidb-lite	IPR018865		KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF10494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3054728.1	NA	IPR011042	NA	NA	NA	SSF63829	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057829.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3062569.1	mobidb-lite	IPR001810	GO:0005515	NA	PF12937	SSF52047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077426.1	mobidb-lite	IPR006569	NA	NA	PF04818;PF15932	NA	G3DSA:1.25.40.90	SM00582	cd17003	NA	PS51391	NA	NA	NA	NA	NA	NA
KAF3060600.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069591.1	mobidb-lite	IPR000569	GO:0004842	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00632	SSF56204	G3DSA:3.30.2410.10;G3DSA:3.90.1750.10;G3DSA:3.30.2160.10	SM00119	cd00078	NA	PS50237	NA	NA	NA	NA	NA	NA
KAF3075431.1	NA	IPR006186	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PF16891;PF00149	SSF56300	G3DSA:3.60.21.10	SM00156	cd07414	PR00114	NA	PS00125	NA	NA	NA	NA	NA
KAF3068096.1	mobidb-lite	IPR006133	GO:0003887;GO:0005634;GO:0006260;GO:0008270;GO:0003676;GO:0000166;GO:0003677	Reactome: R-HSA-110314|Reactome: R-HSA-174430|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-68952|Reactome: R-HSA-68962	PF03104;PF08490;PF00136	SSF56672;SSF53098	G3DSA:3.30.420.10;G3DSA:1.10.132.60	SM01159;SM00486	cd05779;cd05535	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075951.1	mobidb-lite	IPR019357		Reactome: R-HSA-6811440	PF10224	NA	G3DSA:1.20.5.170	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3059091.1	NA	IPR018108	NA	NA	PF00153	SSF103506	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA
KAF3067963.1	mobidb-lite	IPR029063	NA	NA	PF13489	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072707.1	NA	IPR001734	GO:0016020;GO:0022857;GO:0055085	NA	PF00474	NA	G3DSA:1.20.1730.10	NA	cd11476	NA	PS50283	NA	TIGR00813	NA	NA	NA	NA
KAF3076671.1	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17356	PR00171	PS50850	PS00217	NA	NA	NA	NA	NA
KAF3071384.1	NA	IPR014480	GO:0008496;GO:0016052;GO:0003824	NA	PF03663	SSF48208	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016302	NA
KAF3068516.1	NA	IPR017853	NA	NA	PF11790	SSF51445	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073813.1	mobidb-lite	IPR001650	GO:0003676;GO:0005524	NA	PF00271;PF00270	SSF52540	G3DSA:3.40.50.300	SM00487;SM00490	cd18787;cd17963	NA	PS51192;PS51195;PS51194	PS00039	NA	NA	NA	NA	NA
KAF3059053.1	NA	IPR011042	NA	NA	NA	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069548.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3072190.1	NA	IPR006689	GO:0005525	NA	PF00025	SSF52540	G3DSA:3.40.50.300	SM00178;SM00177;SM00175	cd04151	PR00328	PS51417	NA	TIGR00231	NA	Coil	NA	NA
KAF3075344.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075572.1	mobidb-lite	IPR007502	GO:0004386;GO:0003676;GO:0005524	NA	PF04408;PF00270;PF07717;PF00271	SSF52540	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	SM00487;SM00490;SM00847	cd17917;cd18791	NA	PS51194;PS51192	PS00690	NA	NA	Coil	NA	NA
KAF3074547.1	NA	IPR036282	GO:0004364;GO:0005515	NA	PF13410;PF13409	SSF47616;SSF52833	G3DSA:3.40.30.130;G3DSA:1.20.1050.10	NA	cd03190	NA	NA	NA	NA	NA	NA	PIRSF015753	SFLDG01148;SFLDG01206
KAF3075769.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077529.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3063122.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	PR00385;PR00463	NA	PS00086	NA	NA	NA	NA	NA
KAF3076315.1	mobidb-lite	IPR004827	GO:0003700;GO:0006355	NA	NA	SSF57959	NA	NA	NA	NA	NA	PS00036	NA	NA	Coil	NA	NA
KAF3060474.1	NA	IPR001214	GO:0005515	NA	PF00856	SSF82199	G3DSA:2.170.270.10	SM00317	NA	NA	PS50280	NA	NA	NA	NA	NA	NA
KAF3077002.1	mobidb-lite	IPR036249	GO:0045454;GO:0003756;GO:0016853	NA	PF00085;PF13848	SSF52833	G3DSA:3.40.30.10	NA	cd02982;cd02961;cd02995;cd02981	PR00421	PS51352	PS00194	TIGR01130;TIGR01126	NA	NA	NA	NA
KAF3072058.1	NA	IPR029057	GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249;GO:0009116	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	PF14572;PF13793	SSF53271	G3DSA:3.40.50.2020	SM01400	cd06223	NA	NA	PS00114	TIGR01251	NA	NA	NA	NA
KAF3068709.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3069192.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063371.1	NA	IPR008221	GO:0006807;GO:0009039;GO:0016151;GO:0043419;GO:0016810;GO:0016787	KEGG: 00220+3.5.1.5|KEGG: 00230+3.5.1.5|KEGG: 00791+3.5.1.5|MetaCyc: PWY-5704	PF00449;PF00699;PF01979;PF00547	SSF54111;SSF51338;SSF51278;SSF51556	G3DSA:3.30.280.10;G3DSA:2.10.150.10;G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	cd00407;cd00375;cd00390	PR01752	PS51368	PS01120;PS00145	TIGR01792;TIGR00193;TIGR00192	MF_01953	NA	PIRSF001222	NA
KAF3066857.1	NA	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	PF01532	SSF48225	G3DSA:1.50.10.10	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA
KAF3076126.1	mobidb-lite	IPR005062	NA	NA	PF03399	NA	G3DSA:1.25.40.990	NA	NA	NA	PS50250	NA	NA	NA	Coil	NA	NA
KAF3073928.1	NA	IPR000086	GO:0016787	NA	PF00293	SSF55811	G3DSA:3.90.79.10	NA	NA	NA	PS51462	NA	NA	NA	NA	NA	NA
KAF3066711.1	mobidb-lite	IPR021261	NA	NA	PF10998	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3062635.1	NA	IPR000845	GO:0003824;GO:0009116;GO:0005515	NA	PF01048;PF05729;PF13606;PF12796	SSF52540;SSF48403;SSF53167	G3DSA:1.25.40.20;G3DSA:3.40.50.300;G3DSA:3.40.50.1580	SM00248	cd09008	PR01415	PS50088;PS50297	NA	NA	NA	Coil	NA	NA
KAF3067794.1	mobidb-lite	IPR009081	GO:0003824;GO:0031177;GO:0016740	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PF00698;PF16073;PF16197;PF14765;PF02801;PF00109;PF00550	SSF53901;SSF52151;SSF55048;SSF47336	G3DSA:1.10.1200.10;G3DSA:3.40.47.10;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.10.129.110	SM00825;SM00823;SM01294;SM00827	cd00833	NA	PS50075	PS00606	TIGR04532	NA	NA	NA	NA
KAF3063459.1	NA	IPR011032	GO:0016491	NA	PF13602	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd08267	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072216.1	mobidb-lite	IPR000340	GO:0008138;GO:0016311;GO:0016791;GO:0004725;GO:0006470	NA	PF00782;PF14671	SSF52799	G3DSA:3.90.190.10	SM00404;SM00195	cd17657;cd14499	NA	PS50056	PS00383	NA	NA	NA	NA	NA
KAF3055297.1	NA	IPR021765	GO:0043386	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063078.1	NA	IPR006710	GO:0004553;GO:0005975	NA	PF04616;PF17851	SSF49899;SSF75005	G3DSA:2.60.120.200;G3DSA:2.115.10.20	NA	cd18617	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074066.1	NA	IPR036514	NA	NA	PF13472	SSF52266	G3DSA:3.40.50.1110	NA	cd01838	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076908.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
KAF3066765.1	NA	IPR007238	GO:0006269	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	PF04104	NA	G3DSA:1.20.930.80	NA	cd07322	NA	NA	NA	NA	NA	NA	PIRSF009449	NA
KAF3067592.1	mobidb-lite	IPR005185	GO:0016021;GO:0055085	Reactome: R-HSA-425561	PF03733;PF01699	NA	G3DSA:1.20.58.1130;G3DSA:1.20.1420.30	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3075133.1	mobidb-lite	IPR029033	NA	NA	PF00300	SSF53254	G3DSA:3.40.50.1240	SM00855	cd07067	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074018.1	mobidb-lite	IPR001351	GO:0003735;GO:0006412;GO:0003723;GO:0015935	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00189;PF07650	SSF54821;SSF54814	G3DSA:3.30.1140.32;G3DSA:3.30.300.20	NA	cd02413	NA	PS50823	PS00548	TIGR01008	NA	NA	NA	NA
KAF3074675.1	mobidb-lite	IPR001683	GO:0035091	NA	PF00787;PF12828;PF12825	SSF64268	NA	SM00312	cd06869	NA	PS50195	NA	NA	NA	Coil	NA	NA
KAF3071580.1	NA	IPR020556		KEGG: 00970+6.3.5.7|Reactome: R-HSA-2142753	PF01425	SSF75304	G3DSA:3.90.1300.10	NA	NA	NA	NA	PS00571	NA	NA	NA	PIRSF001221	NA
KAF3056861.1	NA	IPR029058	NA	NA	PF12146	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3059152.1	NA	IPR018969	GO:0005975;GO:0016832;GO:0003824	NA	PF09363;PF03894;PF09364	SSF52518	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	cd02011	NA	NA	PS60002;PS60003	NA	MF_01403	NA	PIRSF017245	NA
KAF3069276.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071535.1	NA	IPR013154	GO:0055114;GO:0016491	NA	PF08240;PF00107	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067975.1	NA	IPR001841	NA	NA	PF01485	SSF57850	G3DSA:3.30.40.10	NA	NA	NA	PS50089	PS00518	NA	NA	NA	NA	NA
KAF3068535.1	NA	IPR022137		Reactome: R-HSA-212436	PF12417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073778.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065988.1	NA	IPR014186	GO:0018738;GO:0046294	KEGG: 00680+3.1.2.12|MetaCyc: PWY-1801|Reactome: R-HSA-156590	PF00756	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	TIGR02821	NA	NA	NA	NA
KAF3067582.1	NA	IPR009939	GO:0016977	KEGG: 00520+3.2.1.132	PF07335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057730.1	mobidb-lite	IPR015802	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114;GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0016491;GO:0016620	KEGG: 00260+1.4.3.21|KEGG: 00350+1.4.3.21|KEGG: 00360+1.4.3.21|KEGG: 00410+1.4.3.21|KEGG: 00950+1.4.3.21|KEGG: 00960+1.4.3.21|MetaCyc: PWY-5751|Reactome: R-HSA-211945	PF02728;PF00171;PF11951;PF01179	SSF54416;SSF49998;SSF53720	G3DSA:3.10.450.40;G3DSA:2.70.98.20;G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	cd07103;cd00067	NA	NA	PS01164;PS00687;PS00070	NA	NA	NA	NA	NA
KAF3074443.1	mobidb-lite	IPR021369	NA	NA	PF11204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073298.1	mobidb-lite	IPR019240	NA	NA	PF09962	NA	NA	NA	NA	NA	NA	NA	TIGR03833	NA	NA	NA	NA
KAF3068150.1	mobidb-lite	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	PF01532	SSF48225	G3DSA:1.50.10.10	NA	NA	PR00747	NA	NA	NA	NA	Coil	NA	NA
KAF3073371.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	SM00906	cd12148	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3077532.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074978.1	NA	IPR029058	GO:0006508;GO:0008233	KEGG: 00330+3.4.11.5	PF00561	SSF53474	G3DSA:3.40.50.1820	NA	NA	PR00793	NA	NA	NA	NA	NA	NA	NA
KAF3076541.1	NA	IPR036345		Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	PF01138	SSF55666;SSF54211	G3DSA:3.30.230.70	NA	cd11372	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069900.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060665.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
KAF3057821.1	NA	IPR003593	GO:0005524;GO:0016887	NA	PF00005	SSF52540	G3DSA:3.40.50.300	SM00382	NA	NA	PS50893	NA	NA	NA	NA	NA	NA
KAF3060241.1	mobidb-lite	IPR011990	GO:0005515;GO:0006396	NA	PF13181	SSF48452	G3DSA:1.25.40.10	SM00386	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060420.1	mobidb-lite	IPR000595	GO:0005515	NA	PF16643;PF00027;PF12937;PF13516	SSF51206;SSF81383;SSF52047	G3DSA:2.60.120.10;G3DSA:3.80.10.10	SM00100;SM00367	cd00038	NA	PS50042;PS50181	PS00889;PS00888	NA	NA	NA	NA	NA
KAF3072322.1	mobidb-lite	IPR006073	GO:0005525	NA	PF01018;PF01926	SSF82051;SSF52540	G3DSA:2.70.210.12	NA	cd01898	PR00326	PS51710	NA	NA	NA	Coil	NA	NA
KAF3060596.1	NA	IPR041653	GO:0006886;GO:0008536	NA	PF18808;PF18816;PF18829;PF13513	SSF48371	G3DSA:1.25.10.10	SM01349	NA	NA	PS50166	NA	NA	NA	NA	NA	NA
KAF3069176.1	mobidb-lite	IPR032629	GO:0005086;GO:0032012	NA	PF16213;PF01369;PF12783;PF09324	SSF48425;SSF48371	G3DSA:1.10.1000.11;G3DSA:1.10.220.20	SM00222	cd00171	NA	PS50190	NA	NA	NA	NA	NA	NA
KAF3072909.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	G3DSA:4.10.240.10	NA	cd00067	NA	NA	PS00463	NA	NA	Coil	NA	NA
KAF3056033.1	NA	IPR001680	GO:0005515	NA	PF00400	SSF50978	G3DSA:2.130.10.10	SM00320	cd00200	PR00320	PS50082;PS50294	PS00678	NA	NA	NA	NA	NA
KAF3076721.1	NA	IPR000028	GO:0004601	NA	PF01328	SSF47571	G3DSA:1.10.489.10	NA	NA	NA	PS51405	NA	NA	NA	NA	NA	NA
KAF3071537.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	G3DSA:1.10.510.10	NA	cd00180	NA	PS50011	NA	NA	NA	NA	NA	NA
KAF3059127.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3056987.1	NA	IPR011059	GO:0016810;GO:0016787	NA	PF01979	SSF51338;SSF51556	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073792.1	NA	IPR007704	GO:0006506;GO:0016021;GO:0016758	Reactome: R-HSA-162710	PF05007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069498.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069332.1	NA	IPR000253	GO:0005515;GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	G3DSA:1.10.510.10	SM00220	cd00060;cd00180	NA	PS50006;PS50011	NA	NA	NA	NA	NA	NA
KAF3072741.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
KAF3056782.1	NA	IPR036736	GO:0006633	Reactome: R-HSA-389661|Reactome: R-HSA-611105|Reactome: R-HSA-6799198|Reactome: R-HSA-77289	PF00550	SSF47336	G3DSA:1.10.1200.10	NA	NA	NA	PS50075	PS00012	NA	MF_01217	NA	NA	NA
KAF3076629.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3062743.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3063074.1	NA	IPR000209	GO:0004252;GO:0006508	NA	PF00082	SSF52743	G3DSA:3.40.50.200	NA	cd00306	PR00723	NA	NA	NA	NA	Coil	NA	NA
KAF3068614.1	mobidb-lite	IPR006887	NA	NA	PF04802	SSF50729;SSF48371	G3DSA:2.30.29.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073014.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PF00067	SSF48264	NA	NA	NA	PR00385;PR00465	NA	PS00086	NA	NA	NA	NA	NA
KAF3074722.1	NA	IPR036663	GO:0003824	NA	PF01557	SSF56529	G3DSA:3.90.850.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066722.1	mobidb-lite	IPR001609	GO:0003774;GO:0005524;GO:0016459;GO:0005515;GO:0051015;GO:0004017	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PF00612;PF01843;PF02736;PF00063;PF13238	SSF50084;SSF52540	G3DSA:3.40.850.10;G3DSA:1.20.58.530;G3DSA:1.10.10.820;G3DSA:1.20.5.190;G3DSA:3.30.70.3240;G3DSA:1.20.120.720;G3DSA:3.40.50.300	SM00242;SM01132;SM00015	cd01380;cd15480	PR00193	PS51844;PS50096;PS51126;PS51456	NA	NA	MF_00039	Coil	NA	NA
KAF3073504.1	NA	IPR000262	GO:0016491;GO:0003824	Reactome: R-HSA-9033241	PF01070;PF00173	SSF51395;SSF55856	G3DSA:3.20.20.70;G3DSA:3.10.120.10	SM01117	NA	PR00363	PS51349;PS50255	NA	NA	NA	NA	NA	NA
KAF3063110.1	NA	IPR003737		Reactome: R-HSA-162710	PF02585	SSF102588	G3DSA:3.40.50.10320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069527.1	NA	IPR036400	GO:0020037;GO:0005506;GO:0008610;GO:0016491;GO:0055114;GO:0006629;GO:0016021;GO:0080132	Reactome: R-HSA-1660661	PF00173;PF04116	SSF55856	G3DSA:3.10.120.10	SM01117	NA	PR00363	PS50255	PS00191	NA	NA	NA	PIRSF005149	NA
KAF3072832.1	NA	IPR013083	NA	NA	NA	SSF57850	G3DSA:3.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
