Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK48154.1	NA	IPR002326	GO:0009055;GO:0020037	Reactome: R-HSA-1268020|Reactome: R-HSA-611105	PF02167	SSF81496;SSF46626	NA	NA	G3DSA:1.10.760.10;G3DSA:1.20.5.100	NA	NA	NA	NA	PR00603	NA	NA	NA
EHK43150.1	NA	IPR016635	GO:0015031	NA	PF01217	SSF64356	NA	NA	G3DSA:3.30.450.60	NA	NA	cd14833	NA	NA	NA	PIRSF015588	NA
EHK45416.1	mobidb-lite	IPR005756	GO:0003735;GO:0006412;GO:0015934;GO:0005840	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF16906;PF00467	SSF50104	TIGR01080	PS01108	G3DSA:2.30.30.30	NA	NA	cd06089	SM00739	NA	NA	NA	NA
EHK42797.1	mobidb-lite	IPR024481	NA	NA	PF12726;PF13086;PF13087	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	Coil	cd18042;cd18808	NA	NA	NA	NA	NA
EHK46598.1	NA	IPR036291	GO:0003824;GO:0050662	NA	PF01370	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK44388.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41880.1	NA	IPR006085	GO:0004518;GO:0006281	NA	PF00752;PF12246;PF12247	SSF88723	NA	NA	G3DSA:3.40.50.1010	NA	NA	cd09858;cd09902	NA	NA	NA	NA	NA
EHK42575.1	NA	IPR036038	GO:0003824	Reactome: R-HSA-70895	PF01063	SSF56752	NA	NA	G3DSA:3.20.10.10;G3DSA:3.30.470.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK40443.1	NA	IPR006808	GO:0000276;GO:0015078;GO:0015986	NA	PF04718	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44257.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46291.1	mobidb-lite	IPR006593	NA	NA	PF03188	NA	NA	NA	NA	PS50939	NA	cd08760	SM00665	NA	NA	NA	NA
EHK43903.1	mobidb-lite	IPR036869	NA	NA	NA	SSF46565	NA	PS00636	G3DSA:1.10.287.110	PS50076	NA	cd06257	SM00271	NA	NA	NA	NA
EHK49054.1	mobidb-lite	IPR013861	GO:0006890;GO:0016021	Reactome: R-HSA-6807878	PF08551	SSF144091	NA	NA	NA	NA	NA	NA	SM01160	NA	NA	NA	NA
EHK47863.1	mobidb-lite	IPR008220	GO:0009058;GO:0016747	NA	PF00561	SSF53474	TIGR01392	NA	NA	NA	NA	cd16904	NA	NA	MF_00296	PIRSF000443	NA
EHK41187.1	NA	IPR001499	GO:0004932;GO:0007186;GO:0016021	NA	PF02076	NA	NA	NA	NA	NA	NA	cd14966	NA	NA	NA	NA	NA
EHK41076.1	NA	IPR022636	GO:0004478;GO:0006556;GO:0005524	KEGG: 00270+2.5.1.6|MetaCyc: PWY-5041|MetaCyc: PWY-5912|Reactome: R-HSA-156581	PF00438;PF02772;PF02773	SSF55973	TIGR01034	PS00376;PS00377	G3DSA:3.30.300.10	NA	NA	cd18079	NA	NA	MF_00086	PIRSF000497	NA
EHK41580.1	NA	IPR036259	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17352	NA	NA	NA	NA	NA
EHK42282.1	NA	IPR012338	NA	NA	PF00144	SSF56601	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK45672.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48802.1	NA	IPR036928		KEGG: 00970+6.3.5.7	PF01425	SSF75304	NA	NA	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK46253.1	mobidb-lite	IPR029099	GO:0009116;GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	PF13793;PF14572	SSF53271	TIGR01251	PS00114	G3DSA:3.40.50.2020	NA	NA	cd06223	SM01400	NA	NA	NA	NA
EHK50347.1	NA	IPR036291	GO:0016491	NA	PF01408	SSF51735;SSF55347	NA	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK41914.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45010.1	mobidb-lite	IPR019349		Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF10213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40126.1	mobidb-lite	IPR021765	GO:0043386	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43534.1	mobidb-lite	IPR016452	GO:0004318;GO:0055114;GO:0016740;GO:0004312;GO:0005835;GO:0006633;GO:0003824	KEGG: 00061+4.2.1.59+2.3.1.39+1.3.1.9+3.1.2.14|KEGG: 00780+4.2.1.59|MetaCyc: PWY-4381|MetaCyc: PWY-5142|MetaCyc: PWY-5147|MetaCyc: PWY-5366|MetaCyc: PWY-5367|MetaCyc: PWY-5966|MetaCyc: PWY-5971|MetaCyc: PWY-5973|MetaCyc: PWY-5989|MetaCyc: PWY-5994|MetaCyc: PWY-6113|MetaCyc: PWY-6282|MetaCyc: PWY-6519|MetaCyc: PWY-6799|MetaCyc: PWY-7388|MetaCyc: PWY-7663|MetaCyc: PWY-7664|MetaCyc: PWY-7723|MetaCyc: PWY-7746|MetaCyc: PWY-7858|MetaCyc: PWY-8012|MetaCyc: PWY-8047|MetaCyc: PWY-8049|MetaCyc: PWYG-321	PF00698;PF13452;PF17951;PF17828;PF01575;PF16073;PF08354	SSF54637;SSF52151;SSF51412	NA	NA	G3DSA:3.40.366.10;G3DSA:3.10.129.50;G3DSA:3.10.129.10;G3DSA:3.30.70.3320;G3DSA:1.20.930.70;G3DSA:3.20.20.70;G3DSA:3.30.1120.100;G3DSA:3.30.70.2430;G3DSA:1.20.1050.120;G3DSA:1.10.110.40	NA	Coil	cd03447	SM00827	PR01483	NA	PIRSF005562	NA
EHK49246.1	NA	IPR029753	GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	SSF52283;SSF51735	NA	PS00670;PS00671;PS00065	G3DSA:3.40.50.720	NA	NA	cd12168	NA	NA	NA	NA	NA
EHK46058.1	mobidb-lite	IPR023674	NA	NA	PF00687	SSF56808	NA	NA	G3DSA:3.40.50.790	NA	NA	cd00403	NA	NA	NA	NA	NA
EHK42182.1	mobidb-lite	IPR000198	GO:0007165	Reactome: R-HSA-194840	PF00620	SSF48350	NA	NA	NA	PS50238	Coil	cd00159	SM00324	NA	NA	NA	NA
EHK49818.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50568.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45600.1	NA	IPR000073	NA	NA	PF00561	SSF53474	NA	NA	NA	NA	NA	NA	NA	PR00111	NA	NA	NA
EHK41203.1	mobidb-lite	IPR006876	NA	NA	PF04791	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46485.1	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	PF00069	SSF56112	NA	PS00108;PS00107	G3DSA:1.10.510.10	PS50011	NA	cd00180	SM00220	NA	NA	NA	NA
EHK41746.1	NA	NA	NA	NA	NA	SSF53850	NA	NA	G3DSA:3.40.190.10	NA	NA	cd13637	NA	NA	NA	NA	NA
EHK40081.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44621.1	mobidb-lite	IPR001046	GO:0016020;GO:0030001;GO:0046873	Reactome: R-HSA-425410	PF01566	NA	TIGR01197	NA	NA	NA	NA	NA	NA	PR00447	MF_00221	NA	NA
EHK42338.1	mobidb-lite	IPR006597	GO:0005515	NA	PF08238	SSF81901	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	SM00671	NA	NA	NA	NA
EHK40711.1	NA	IPR003779	GO:0051920;GO:0055114	KEGG: 00480+1.11.1.15	PF02627	SSF69118	NA	NA	G3DSA:1.20.1290.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK50089.1	mobidb-lite	IPR041174	GO:0003723	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF17903	SSF54791	NA	NA	G3DSA:3.30.1370.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK40018.1	mobidb-lite	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	TIGR00879	PS00216	G3DSA:1.20.1250.20	PS50850;PS51257	NA	cd17356	NA	PR00171	NA	NA	NA
EHK43989.1	mobidb-lite	IPR007265	GO:0005801;GO:0006886;GO:0016020	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	PF04136	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48790.1	mobidb-lite	IPR001451	NA	NA	PF00132	SSF53448	NA	NA	G3DSA:2.160.10.10	NA	Coil	cd04652	NA	NA	NA	NA	NA
EHK50639.1	NA	IPR000182	GO:0008080	NA	PF00583	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	NA	cd04301	NA	NA	NA	NA	NA
EHK44664.1	NA	IPR009215	GO:0003824	NA	PF09370	SSF51621	NA	NA	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	PIRSF034452	NA
EHK48533.1	NA	IPR017850	GO:0003824;GO:0006506;GO:0051377	Reactome: R-HSA-162710	PF01663	SSF53649	NA	NA	G3DSA:3.40.720.10	NA	NA	cd16024	NA	NA	NA	NA	NA
EHK49490.1	mobidb-lite	IPR036533	GO:0051087;GO:0005515	Reactome: R-HSA-3371453	PF02179	SSF63491;SSF54236	NA	NA	G3DSA:3.10.20.90;G3DSA:1.20.58.120	PS50053;PS51035	Coil	cd01812	SM00264	NA	NA	NA	NA
EHK40518.1	NA	IPR002889	NA	NA	NA	NA	NA	NA	NA	PS51212	NA	NA	NA	NA	NA	NA	NA
EHK43014.1	NA	IPR036318	GO:0050660;GO:0003824;GO:0016491;GO:0055114;GO:0071949	NA	PF02913;PF01565	SSF56176;SSF55103	NA	NA	G3DSA:1.10.45.10;G3DSA:3.30.70.2740;G3DSA:3.30.465.40	PS51387	NA	NA	NA	NA	NA	NA	NA
EHK49967.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42173.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48733.1	NA	IPR033910	GO:0006424;GO:0008270;GO:0000166;GO:0004812;GO:0005524;GO:0043039;GO:0004818	KEGG: 00860+6.1.1.17|KEGG: 00970+6.1.1.17|MetaCyc: PWY-5188|Reactome: R-HSA-379726	PF00749	SSF52374	TIGR00464	NA	G3DSA:3.40.50.620	NA	NA	cd00808	NA	PR00987	MF_00022	NA	NA
EHK43224.1	mobidb-lite	IPR005605	GO:0019888	NA	PF03907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49224.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	SSF103473	NA	NA	NA	PS50850	NA	cd17323	NA	NA	NA	NA	NA
EHK47198.1	NA	IPR019587	NA	NA	PF10604	SSF55961	NA	NA	G3DSA:3.30.530.20	NA	Coil	cd07822	NA	NA	NA	NA	NA
EHK51110.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	Coil	cd12148	SM00906;SM00066	PR00755	NA	NA	NA
EHK45898.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49842.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	NA	G3DSA:4.10.240.10	PS50048	NA	cd00067	SM00066	NA	NA	NA	NA
EHK43428.1	mobidb-lite	IPR008972	NA	NA	NA	SSF49503	NA	NA	G3DSA:2.60.40.420	NA	NA	cd00920	NA	NA	NA	NA	NA
EHK45501.1	mobidb-lite	IPR001680	GO:0005515	NA	NA	SSF50978	NA	NA	G3DSA:2.130.10.10	PS50294;PS50082	NA	NA	SM00320	NA	NA	NA	NA
EHK49324.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	NA	PS50850	NA	cd17502	NA	NA	NA	NA	NA
EHK39981.1	NA	IPR013083	GO:0004842;GO:0005680	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	PF12861	SSF57850	NA	NA	G3DSA:3.30.40.10	PS50089	NA	cd16456	SM00184	NA	NA	NA	NA
EHK50875.1	mobidb-lite	IPR036770	GO:0005515	NA	NA	SSF52540;SSF48403	NA	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50088;PS50297	Coil	NA	SM00248	NA	NA	NA	NA
EHK50263.1	mobidb-lite	IPR000219	GO:0005085	NA	PF00621	SSF48065	NA	NA	G3DSA:1.20.900.10	PS50010	Coil	cd00160	SM00325	NA	NA	NA	NA
EHK42296.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44012.1	NA	IPR012337	GO:0003676;GO:0004523	NA	PF00075	SSF53098	NA	NA	G3DSA:3.30.420.10	PS50879	NA	NA	NA	NA	NA	NA	NA
EHK50178.1	NA	IPR036291	NA	NA	PF13561	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK49904.1	NA	IPR023486	GO:0006355;GO:0070897;GO:0017025	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF08271;PF00382	SSF47954;SSF57783	NA	PS00782	G3DSA:1.10.472.10;G3DSA:1.10.472.170	PS51134	NA	cd00043	SM00385	PR00685	NA	NA	NA
EHK42922.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17352	NA	NA	NA	NA	NA
EHK48307.1	NA	IPR002759	GO:0004540;GO:0008033	Reactome: R-HSA-6784531	PF01900	SSF160350	NA	NA	G3DSA:3.30.70.3250	NA	NA	NA	NA	NA	NA	NA	NA
EHK45242.1	mobidb-lite	IPR009071	NA	NA	PF09011	SSF47095	NA	NA	G3DSA:1.10.30.10	PS50118	NA	cd01390	SM00398	NA	NA	NA	NA
EHK50427.1	NA	IPR014710	NA	NA	PF07883	SSF51182	NA	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK47332.1	NA	IPR000073	GO:0003824	NA	PF00561	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00412	NA	NA	NA
EHK49065.1	NA	IPR040773		Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF18055;PF01399;PF18503	SSF46785	NA	NA	G3DSA:1.25.40.570	PS50250	Coil	NA	SM00753;SM00088	NA	NA	NA	NA
EHK47506.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	NA	PS00086	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA
EHK47677.1	NA	IPR006121	GO:0030001;GO:0046872;GO:0006812;GO:0016021;GO:0019829;GO:0000166	Reactome: R-HSA-936837	PF00122;PF00702	SSF55008;SSF56784;SSF81653;SSF81665	TIGR01525;TIGR01511;TIGR01494	PS00154	G3DSA:3.30.70.100;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.20	PS50846	NA	cd00371	NA	PR00119;PR00120	NA	NA	SFLDS00003;SFLDF00027
EHK47682.1	NA	IPR001110	GO:0006807	NA	PF00795	SSF56317	NA	PS01227	G3DSA:3.60.110.10	PS50263	Coil	cd07572	NA	NA	NA	NA	NA
EHK50092.1	mobidb-lite	IPR013212	GO:0004672;GO:0006468;GO:0005524	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF08171;PF08311;PF00069	SSF56112	NA	PS00108	G3DSA:1.25.40.430;G3DSA:1.10.510.10	PS51489;PS50011	NA	cd13981	SM00777;SM00220	NA	NA	NA	NA
EHK40146.1	NA	IPR007484	NA	NA	PF04389	SSF53187	NA	NA	G3DSA:3.40.630.10	NA	NA	cd03879	NA	NA	NA	NA	NA
EHK43299.1	NA	IPR038727	NA	NA	PF13521	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
EHK50408.1	mobidb-lite	IPR027815	GO:0016020	NA	PF14703;PF13967;PF02714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48967.1	mobidb-lite	IPR036521	GO:0006614;GO:0008312;GO:0048500	Reactome: R-HSA-1799339	PF01922	SSF69695	NA	NA	G3DSA:3.30.56.30	NA	NA	NA	NA	NA	NA	NA	NA
EHK50214.1	NA	IPR007577	NA	NA	PF04488	SSF53448	NA	NA	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA
EHK42140.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39601.1	NA	IPR008427	NA	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	NA
EHK45119.1	NA	IPR000209	GO:0004252;GO:0006508	NA	PF00082	SSF52743	NA	NA	G3DSA:3.40.50.200	NA	NA	cd00306	NA	PR00723	NA	NA	NA
EHK43210.1	mobidb-lite	IPR013087	GO:0003676	NA	PF00096	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	NA	SM00355	NA	NA	NA	NA
EHK42291.1	mobidb-lite	IPR016084	GO:0004392;GO:0006788;GO:0055114	Reactome: R-HSA-189483|Reactome: R-HSA-917937	PF01126	SSF48613	NA	NA	G3DSA:1.20.910.10	NA	Coil	cd19165	NA	NA	NA	NA	NA
EHK42334.1	mobidb-lite	IPR000757	GO:0004553;GO:0005975	NA	PF00722	SSF49899	NA	NA	G3DSA:2.60.120.200	PS51762	NA	cd00413	NA	NA	NA	NA	NA
EHK43911.1	mobidb-lite	IPR014746	GO:0003824;GO:0016884;GO:0016874	NA	PF02637;PF02934	SSF55931	TIGR00133	PS01234	G3DSA:1.10.150.380	NA	NA	NA	NA	NA	MF_00121	NA	NA
EHK44708.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45712.1	mobidb-lite	IPR022190	NA	NA	PF12511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50774.1	NA	IPR020846	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	PS50850	NA	cd17502	NA	NA	NA	NA	NA
EHK48161.1	mobidb-lite	IPR016024		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF07539	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45045.1	NA	IPR009038	NA	NA	PF01105	NA	NA	NA	NA	PS50866	Coil	NA	SM01190	NA	NA	NA	NA
EHK50926.1	NA	IPR008949	GO:0000287;GO:0010333;GO:0016829	NA	PF03936	SSF48576	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01020
EHK43016.1	mobidb-lite	IPR002715	NA	NA	PF01849	NA	NA	NA	G3DSA:2.20.70.30	PS51151	NA	NA	SM01407	NA	NA	NA	NA
EHK45680.1	NA	IPR006594	GO:0005515	NA	PF10607	NA	NA	NA	NA	PS50896;PS51867;PS50897	NA	NA	SM00667;SM00757;SM00668	NA	NA	NA	NA
EHK48331.1	NA	IPR019956	GO:0005515	NA	PF00240	SSF54236	NA	PS00299	G3DSA:3.10.20.90	PS50053	NA	cd01803	SM00213	PR00348	NA	NA	NA
EHK44308.1	mobidb-lite	IPR013087	GO:0003676	NA	PF00096	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	NA	SM00355	NA	NA	NA	NA
EHK41154.1	NA	IPR037274	GO:0008270	Reactome: R-HSA-110320|Reactome: R-HSA-983168	PF05495	SSF161219	NA	NA	NA	PS51266	NA	NA	NA	NA	NA	NA	NA
EHK46982.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47215.1	NA	IPR011990	GO:0005515	NA	PF06041	SSF48452	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK48207.1	mobidb-lite	IPR010473	GO:0003779;GO:0017048;GO:0030036	NA	PF06371	SSF48371	NA	NA	NA	NA	NA	NA	SM01140	NA	NA	NA	NA
EHK43886.1	mobidb-lite	IPR037521	NA	NA	PF11704	NA	NA	NA	NA	PS51834	NA	NA	NA	NA	NA	NA	NA
EHK44860.1	mobidb-lite	IPR022093	NA	NA	PF12331	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK47018.1	mobidb-lite	IPR006593	NA	NA	NA	NA	NA	NA	NA	PS50939	NA	cd08760	SM00665	NA	NA	NA	NA
EHK46507.1	NA	IPR003593	GO:0005524;GO:0005737;GO:0016787;GO:0030163	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF16450;PF17862;PF00004	SSF52540	TIGR01242	PS00674	G3DSA:2.40.50.140;G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	Coil	cd00009	SM00382	NA	NA	NA	NA
EHK39607.1	NA	IPR036554	GO:0005524;GO:0004413;GO:0006566	KEGG: 00260+2.7.1.39|MetaCyc: PWY-702	PF08544;PF00288	SSF55060;SSF54211	TIGR00191	PS00627	G3DSA:3.30.70.890;G3DSA:3.30.230.10	NA	NA	NA	NA	PR00958	MF_00384	PIRSF000676	NA
EHK44317.1	mobidb-lite	IPR017441	GO:0005524;GO:0004672;GO:0006468	NA	PF00069	SSF56112	NA	PS00107;PS00108	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	NA	cd05578	SM00220	NA	NA	NA	NA
EHK39774.1	mobidb-lite	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	TIGR00879	PS00217;PS00216	G3DSA:1.20.1250.20	PS50850	NA	cd17356	NA	PR00171	NA	NA	NA
EHK43152.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	NA	SSF56112	NA	NA	G3DSA:1.10.510.10	PS50011	NA	cd00180	SM00220	NA	NA	NA	NA
EHK47963.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42201.1	NA	IPR036188	GO:0016491;GO:0055114	NA	PF07992	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	Coil	NA	NA	PR00368;PR00469	NA	NA	NA
