Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	Coils	SUPERFAMILY	Gene3D	ProSiteProfiles	CDD	SMART	TIGRFAM	PRINTS	ProSitePatterns	PIRSF	SFLD	Hamap
OPB44789.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
OPB43183.1	mobidb-lite	IPR002908	GO:0008199;GO:0016226;GO:0004322;GO:0005739;GO:0055114	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	PF01491	NA	SSF55387	G3DSA:3.30.920.10	PS50810	NA	SM01219	TIGR03421;TIGR03422	NA	PS01344	NA	NA	NA
OPB38080.1	NA	IPR002048	GO:0005509	NA	PF13499	NA	SSF47473	G3DSA:1.10.238.10	PS50222	cd00051	SM00054	NA	PR00450	PS00018	NA	NA	NA
OPB36512.1	NA	IPR006598	NA	NA	PF05686	NA	NA	NA	NA	NA	SM00672	NA	NA	NA	NA	NA	NA
OPB40017.1	NA	IPR040457	GO:0043015	Reactome: R-HSA-380270|Reactome: R-HSA-380320	PF04130;PF17681	NA	NA	G3DSA:1.20.120.1900	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39385.1	mobidb-lite	IPR011893	NA	NA	PF10262	NA	SSF52833	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36086.1	NA	IPR000172	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	PF00732;PF05199	NA	SSF54373;SSF51905	G3DSA:3.30.560.10;G3DSA:3.50.50.60	NA	NA	NA	NA	NA	PS00624	PIRSF000137	NA	NA
OPB43197.1	mobidb-lite	IPR035969	NA	NA	PF00566	NA	SSF47923	G3DSA:1.10.8.270;G3DSA:1.10.472.80	PS50086	NA	SM00164	NA	NA	NA	NA	NA	NA
OPB43690.1	NA	IPR015168	NA	NA	PF09084	NA	SSF53850	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44371.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38098.1	mobidb-lite	IPR005178	NA	NA	PF03619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43559.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA
OPB44185.1	mobidb-lite	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	PR00171	PS00217;PS00216	NA	NA	NA
OPB42863.1	NA	IPR003378	GO:0016020;GO:0016757	NA	PF02434;PF00024	NA	SSF57414	G3DSA:3.50.4.10;G3DSA:3.90.550.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45942.1	mobidb-lite	IPR012919	NA	NA	PF07738	Coil	NA	G3DSA:2.60.120.260	PS51469	NA	NA	NA	NA	NA	NA	NA	NA
OPB44302.1	NA	IPR011765	GO:0003824;GO:0046872;GO:0004222;GO:0006508	NA	PF00675;PF05193	NA	SSF63411	G3DSA:3.30.830.10	NA	NA	NA	NA	NA	PS00143	NA	NA	NA
OPB36701.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36918.1	mobidb-lite	IPR013734	NA	NA	PF08528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42227.1	mobidb-lite	IPR009025	GO:0006351;GO:0046983;GO:0003677;GO:0003899	NA	PF13656	Coil	SSF55257	G3DSA:3.30.1360.10	NA	cd07029	NA	NA	NA	PS01154	NA	NA	NA
OPB37682.1	NA	IPR017850	GO:0003824	NA	NA	NA	SSF53649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42745.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	NA	NA	cd12148	SM00906	NA	NA	NA	NA	NA	NA
OPB46625.1	NA	IPR001557	GO:0016616;GO:0019752;GO:0055114;GO:0003824;GO:0005975;GO:0016491;GO:0006108;GO:0016615;GO:0006099;GO:0030060	KEGG: 00020+1.1.1.37|KEGG: 00270+1.1.1.37|KEGG: 00620+1.1.1.37|KEGG: 00630+1.1.1.37|KEGG: 00680+1.1.1.37|KEGG: 00710+1.1.1.37|KEGG: 00720+1.1.1.37|MetaCyc: PWY-1622|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7115|MetaCyc: PWY-7383|Reactome: R-HSA-70263	PF00056;PF02866	NA	SSF51735;SSF56327	G3DSA:3.40.50.720;G3DSA:3.90.110.10	NA	cd01337	NA	TIGR01772	NA	PS00068	PIRSF000102	NA	NA
OPB43454.1	mobidb-lite	IPR020846	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1720.10	PS50850	cd17502	NA	NA	NA	NA	NA	NA	NA
OPB38873.1	NA	IPR036264	GO:0016813;GO:0016787	NA	PF07687;PF01546	NA	SSF55031;SSF53187	G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	cd03884	NA	TIGR01879	NA	NA	NA	NA	NA
OPB40581.1	NA	IPR016181	GO:0016747;GO:0008080	NA	PF08445	NA	SSF55729	G3DSA:3.40.630.30	PS51186	NA	NA	NA	NA	NA	NA	NA	NA
OPB38391.1	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.570	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40049.1	mobidb-lite	IPR017438	GO:0003951;GO:0006741;GO:0019674	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	PF01513	NA	SSF111331	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	NA	NA	NA	NA	NA	NA	NA	NA	MF_00361
OPB39993.1	mobidb-lite	IPR007590	NA	NA	PF04502	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41875.1	NA	IPR036259	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
OPB46136.1	NA	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF11951;PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	PS00463	NA	NA	NA
OPB36749.1	mobidb-lite	IPR003960	GO:0005524;GO:0005737;GO:0016787;GO:0030163	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00004;PF16450	Coil	SSF52540	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:2.40.50.140	NA	cd00009	SM00382	TIGR01242	NA	PS00674	NA	NA	NA
OPB46079.1	mobidb-lite	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	Coil	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	cd14212	SM00220	NA	NA	PS00108;PS00107	NA	NA	NA
OPB37677.1	mobidb-lite	IPR042098	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668	NA	SSF51197	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37697.1	NA	IPR036291	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	NA	NA	PR00081	NA	NA	NA	NA
OPB46784.1	NA	IPR004625	GO:0008478;GO:0009443	KEGG: 00750+2.7.1.35|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-6798695|Reactome: R-HSA-964975	PF08543	NA	SSF53613	G3DSA:3.40.1190.20	NA	cd01173	NA	TIGR00687	NA	NA	NA	NA	NA
OPB41707.1	NA	IPR032710	NA	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40874.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172;PF11951	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	PS00463	NA	NA	NA
OPB43511.1	mobidb-lite	IPR000555	GO:0005515;GO:0005838	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF01398;PF13012	NA	NA	G3DSA:3.40.140.10	PS50249	cd08062	SM00232	NA	NA	NA	NA	NA	NA
OPB44879.1	mobidb-lite	IPR037217	GO:0019441;GO:0020037;GO:0046872	KEGG: 00380+1.13.11.11|Reactome: R-HSA-71240	PF01231	NA	SSF140959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41379.1	NA	IPR042098	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668	NA	SSF51197	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42848.1	NA	IPR029068	NA	NA	NA	NA	SSF54593	G3DSA:3.10.180.10	PS51819	cd07262	NA	NA	NA	NA	NA	NA	NA
OPB37637.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	Coil	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067;cd12148	SM00066;SM00906	NA	NA	PS00463	NA	NA	NA
OPB45538.1	NA	IPR005197	GO:0016787	NA	PF03659	NA	NA	NA	NA	cd11577	NA	NA	NA	NA	NA	NA	NA
OPB46588.1	NA	IPR000571	GO:0046872	NA	NA	Coil	NA	NA	PS50103	NA	SM00356	NA	NA	NA	NA	NA	NA
OPB40549.1	NA	IPR008030		Reactome: R-HSA-70635	PF05368	NA	SSF51735	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	cd05251	NA	NA	NA	NA	NA	NA	NA
OPB43937.1	mobidb-lite	IPR035892	GO:0043087;GO:0007165	NA	PF00168;PF00616	NA	SSF49562;SSF48350	G3DSA:2.60.40.150;G3DSA:1.10.506.10	PS50018	cd05137	SM00239;SM00323	NA	NA	PS00509	NA	NA	NA
OPB43163.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37920.1	NA	IPR014729	NA	NA	NA	NA	SSF52374	G3DSA:3.40.50.620	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38741.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40448.1	mobidb-lite	IPR021183	GO:0005515	NA	PF12569;PF13181	Coil	SSF48452	G3DSA:1.25.40.1040;G3DSA:1.25.40.1010	PS50005;PS50293	NA	SM00028	NA	NA	NA	PIRSF000422	NA	NA
OPB41274.1	NA	IPR002347	GO:0016491	NA	PF13561	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	NA	NA	PR00081;PR00080	PS00061	NA	NA	NA
OPB41493.1	mobidb-lite	IPR029033	NA	NA	PF00328	NA	SSF53254	G3DSA:3.40.50.1240	NA	NA	NA	NA	NA	PS00616	NA	NA	NA
OPB45045.1	NA	IPR017938	GO:0016491;GO:0055114	NA	PF00667;PF00175	Coil	SSF63380;SSF52343	G3DSA:1.20.990.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	PS51384	NA	NA	NA	PR00371	NA	NA	NA	NA
OPB39893.1	mobidb-lite	IPR013520	GO:0006364;GO:0008408;GO:0003676	NA	PF00929	NA	SSF53098	G3DSA:3.30.420.10	NA	cd06144	SM00479	NA	NA	NA	NA	NA	NA
OPB40410.1	NA	IPR008427	NA	NA	PF05730	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	NA	NA	NA
OPB42161.1	NA	IPR031633	GO:0006261	Reactome: R-HSA-176974	PF16922;PF05916	NA	SSF158573	G3DSA:1.20.58.1030	NA	cd11711	NA	NA	NA	NA	PIRSF007764	NA	NA
OPB44235.1	mobidb-lite	IPR000791	GO:0016021	NA	PF01184	NA	NA	NA	NA	NA	NA	NA	NA	PS01114	NA	NA	NA
OPB45388.1	NA	IPR000772	NA	NA	PF14200	NA	SSF50370	G3DSA:2.80.10.50	PS50231	cd00161	NA	NA	NA	NA	NA	NA	NA
OPB41026.1	NA	IPR033453		Reactome: R-HSA-1660662|Reactome: R-HSA-390471	PF02055;PF17189	NA	SSF51445	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44604.1	NA	IPR025363	NA	NA	PF14087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36123.1	NA	IPR013154	GO:0055114;GO:0016491	NA	PF08240;PF00107	NA	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	cd08249	SM00829	NA	NA	NA	NA	NA	NA
OPB43513.1	NA	IPR004241		Reactome: R-HSA-1632852	PF02991	NA	SSF54236	G3DSA:3.10.20.90	NA	cd16128	NA	NA	NA	NA	NA	NA	NA
OPB44592.1	mobidb-lite	IPR003673	GO:0008410	NA	PF02515	NA	SSF89796	G3DSA:3.40.50.10540	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36718.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45236.1	mobidb-lite	IPR021133	GO:0005524;GO:0016887	NA	PF00005;PF00385	NA	SSF52540;SSF48371;SSF54160	G3DSA:3.40.50.300;G3DSA:1.25.10.10;G3DSA:2.40.50.990	PS50077;PS50893	cd03221;cd18626	SM00382	NA	NA	PS00211	NA	NA	NA
OPB43537.1	NA	IPR020846	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17327	NA	NA	NA	NA	NA	NA	NA
OPB40710.1	NA	IPR036928		KEGG: 00970+6.3.5.7	PF01425	NA	SSF75304	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43679.1	NA	IPR016181	GO:0008080	NA	PF13302	NA	SSF55729	G3DSA:3.40.630.30	PS51186	NA	NA	NA	NA	NA	NA	NA	NA
OPB43995.1	NA	IPR036875	GO:0003676;GO:0008270	NA	PF00098	NA	SSF57756	G3DSA:4.10.60.10	PS50158	NA	SM00343	NA	NA	NA	NA	NA	NA
OPB43174.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45148.1	NA	IPR027417	GO:0005515;GO:0003824;GO:0009116	NA	PF13374;PF13424;PF01048	NA	SSF52540;SSF48452;SSF53167	G3DSA:1.25.40.10;G3DSA:3.40.50.300	PS50293;PS50005	cd09008	SM00028	NA	NA	NA	NA	NA	NA
OPB45927.1	NA	IPR000073	NA	NA	PF12697	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36649.1	mobidb-lite	IPR016655	GO:0006457;GO:0016272	Reactome: R-HSA-389957	PF02996	Coil	SSF46579	G3DSA:1.10.287.370	NA	cd00584	NA	NA	NA	NA	PIRSF016396	NA	NA
OPB45648.1	NA	NA	NA	NA	PF13343	NA	SSF53850	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42563.1	NA	IPR032382	NA	NA	PF16541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38351.1	NA	IPR000261	GO:0005515;GO:0005509;GO:0006897;GO:0007015	NA	PF12763;PF12761	Coil	SSF47473	G3DSA:1.10.238.10	PS50031;PS50222	cd00052	SM00054;SM00027	NA	NA	PS00018	NA	NA	NA
OPB42734.1	mobidb-lite	IPR004045	GO:0005515	NA	PF13410;PF13417	NA	SSF47616;SSF52833	G3DSA:3.40.30.110	PS50404;PS50405	cd00299;cd00570	NA	NA	NA	NA	NA	NA	NA
OPB39734.1	NA	IPR002020	GO:0046912;GO:0006099;GO:0004108;GO:0006101	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	PF00285	NA	SSF48256	G3DSA:1.10.580.10;G3DSA:1.10.230.10	NA	cd06105	NA	TIGR01793	PR00143	PS00480	NA	NA	NA
OPB42044.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	Coil	SSF57701	G3DSA:4.10.240.10	PS50048	cd12148;cd00067	SM00066;SM00906	NA	NA	PS00463	NA	NA	NA
OPB40944.1	mobidb-lite	IPR003691	GO:0016021	NA	PF02537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40793.1	NA	IPR011042	NA	NA	NA	NA	SSF63829	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46423.1	NA	IPR001585	GO:0005975;GO:0003824	KEGG: 00030+2.2.1.2|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-163754|Reactome: R-HSA-6791055|Reactome: R-HSA-6791462|Reactome: R-HSA-71336|Reactome: R-HSA-8950505	PF00923	NA	SSF51569	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42194.1	mobidb-lite	IPR000261	GO:0005515;GO:0005509	NA	PF12763;PF00627	Coil	SSF90257;SSF47473;SSF46934	G3DSA:1.10.238.10;G3DSA:1.10.8.10	PS50222;PS50030;PS50031	cd16855;cd00052	SM00027;SM00165	NA	NA	NA	NA	NA	NA
OPB46258.1	NA	IPR015424	GO:0016831;GO:0019752;GO:0030170;GO:0003824	NA	PF00282	Coil	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45683.1	NA	IPR015421	GO:0003824;GO:0006525;GO:0008483;GO:0030170	NA	PF00202	NA	SSF53383	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	cd00610	NA	TIGR00707	NA	PS00600	PIRSF000521	NA	MF_01107
OPB44762.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	SSF56112	G3DSA:1.10.510.10	PS50011	cd00180	SM00220	NA	NA	NA	NA	NA	NA
OPB44901.1	NA	IPR020558	GO:0003824;GO:0004160;GO:0009082	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	PF00920	NA	SSF52016;SSF143975	G3DSA:3.50.30.80	NA	NA	NA	TIGR00110	NA	PS00886;PS00887	NA	NA	MF_00012
OPB41520.1	mobidb-lite	IPR013761	GO:0004672;GO:0005524;GO:0006468;GO:0005515;GO:0007165	NA	PF00069;PF14847;PF07647	Coil	SSF47769;SSF56112	G3DSA:1.10.150.50;G3DSA:3.10.20.90;G3DSA:1.10.510.10	PS50011;PS50200;PS50105	cd09534	SM00454;SM01304;SM00220	NA	NA	PS00108;PS00107	NA	NA	NA
OPB42456.1	NA	IPR018108	NA	NA	PF00153	NA	SSF103506	G3DSA:1.50.40.10	PS50920	NA	NA	NA	NA	NA	NA	NA	NA
OPB38315.1	mobidb-lite	IPR019775	GO:0005515;GO:0006364;GO:0032040	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF00400;PF04192;PF02239	NA	SSF50998	G3DSA:2.130.10.10	PS50294;PS50082	NA	SM00320	NA	NA	PS00678	NA	NA	NA
OPB46687.1	NA	IPR000845	GO:0003824;GO:0009116	NA	PF01048	NA	SSF53167	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
OPB36168.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17502	NA	NA	NA	NA	NA	NA	NA
OPB39159.1	mobidb-lite	IPR010582	GO:0004096;GO:0020037;GO:0055114;GO:0006979	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PF06628;PF18011;PF00199	NA	SSF56634;SSF52317	G3DSA:2.40.180.10;G3DSA:1.20.1370.20;G3DSA:3.40.50.880	PS51402	cd03132	SM01060	NA	PR00067	PS00438;PS00437	PIRSF038927	NA	NA
OPB43575.1	mobidb-lite	IPR036390	GO:0003700;GO:0006355;GO:0042025;GO:0043565	NA	PF00447	NA	SSF46785	G3DSA:1.10.10.10	NA	NA	SM00415	NA	PR00056	NA	NA	NA	NA
OPB39157.1	mobidb-lite	IPR013922	GO:0000079;GO:0019901	NA	PF08613	Coil	NA	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41749.1	NA	IPR011057	NA	NA	NA	NA	SSF51316	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45505.1	NA	IPR006162	GO:0003824;GO:0031177	Reactome: R-HSA-389661	PF00501;PF00668;PF00550;PF07993	Coil	SSF56801;SSF47336;SSF52777;SSF51735	G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.40.50.12780;G3DSA:3.40.50.720;G3DSA:1.10.1200.10	PS50075	cd05918	SM00823;SM01294	TIGR01746;TIGR01733	NA	PS00012;PS00455	NA	NA	NA
OPB37250.1	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36527.1	NA	IPR001466	NA	NA	PF00144	NA	SSF56601	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37976.1	mobidb-lite	IPR029048		Reactome: R-HSA-3371453	PF00012	Coil	SSF100934;SSF53067;SSF100920	G3DSA:3.30.30.30;G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10	NA	cd10228	NA	NA	PR00301	PS01036	NA	NA	NA
OPB42710.1	NA	IPR029498	NA	NA	PF14479	NA	SSF56112	G3DSA:1.20.120.1020	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39981.1	NA	IPR013761	NA	NA	PF09597	NA	SSF47769	NA	NA	NA	SM01238	NA	NA	NA	NA	NA	NA
OPB40997.1	mobidb-lite	IPR015943	GO:0005515;GO:0004842;GO:0016567	MetaCyc: PWY-7511|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	PF08606;PF00400	NA	SSF50978	G3DSA:2.130.10.10;G3DSA:3.30.40.10	PS50082;PS50294	cd16656	SM00504;SM00320	NA	NA	NA	NA	NA	NA
OPB43975.1	NA	IPR001451	NA	NA	PF00132	NA	SSF51161	G3DSA:2.160.10.10	NA	cd03359	NA	NA	NA	NA	NA	NA	NA
OPB39557.1	NA	IPR001466	NA	NA	PF00144	NA	SSF56601	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB47138.1	NA	IPR020843	GO:0016491	NA	PF13602	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd05289	SM00829	NA	NA	NA	NA	NA	NA
OPB46935.1	NA	IPR000073	NA	NA	PF12697	Coil	SSF53474	NA	NA	cd12809	NA	NA	NA	NA	NA	NA	NA
OPB45703.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41049.1	NA	IPR000845	GO:0003824;GO:0009116	NA	PF01048	NA	SSF53167	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
OPB42468.1	mobidb-lite	IPR013861	GO:0006890;GO:0016021	Reactome: R-HSA-6807878	PF08551	NA	SSF144091	NA	NA	NA	SM01160	NA	NA	NA	NA	NA	NA
OPB46285.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PF00067	Coil	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00385;PR00465	PS00086	NA	NA	NA
OPB38246.1	mobidb-lite	IPR001958	GO:0022857;GO:0055085	NA	PF07690	NA	SSF103473	NA	PS50850	cd17330	NA	NA	PR01035	NA	NA	NA	NA
OPB46358.1	mobidb-lite	IPR013951	GO:0016575	NA	PF08642	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
