Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA05864.1	mobidb-lite	cd11282	IPR029006	NA	NA	NA	NA	G3DSA:3.40.20.10	NA	SSF55753	NA	Coil	NA	NA	NA	NA	NA
OTA01519.1	NA	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04607.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00439.1	mobidb-lite	cd12148;cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SM00066;SM00906	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	NA	NA	NA	NA
OTA01291.1	NA	cd02440	IPR025714	NA	PF13847	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA06539.1	NA	NA	IPR033118	GO:0016021;GO:0016125;GO:0047750	PF05241	NA	NA	NA	PS51751	NA	NA	NA	NA	NA	NA	NA	NA
OTA04649.1	mobidb-lite	cd03249;cd18577;cd18578	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PF00005;PF00664	SM00382	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS50893;PS50929	SSF90123;SSF52540	PS00211	Coil	NA	NA	NA	NA	NA
OTA00338.1	NA	NA	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA05636.1	mobidb-lite	cd01860	IPR001806	GO:0003924;GO:0005525	PF00071	SM00173;SM00175;SM00174;SM00176	NA	G3DSA:3.40.50.300	PS51419	SSF52540	NA	NA	NA	PR00449	TIGR00231	NA	NA
OTA07404.1	NA	cd11319	IPR017853	GO:0003824;GO:0005975;GO:0043169;GO:0004556;GO:0005509	PF00128	SM00642	KEGG: 00500+3.2.1.1|Reactome: R-HSA-189085	G3DSA:3.20.20.80	NA	SSF51445;SSF51011	NA	NA	PIRSF001024	PR00110	NA	NA	NA
OTA08659.1	mobidb-lite	NA	IPR006598	NA	PF05686	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08800.1	NA	NA	IPR036318	GO:0050660;GO:0009055;GO:0051536;GO:0004854;GO:0004855;GO:0055114;GO:0016491;GO:0071949;GO:0051537;GO:0005506;GO:0046872	PF00941;PF01315;PF00111;PF02738;PF01799;PF03450	SM01008;SM01092	KEGG: 00230+1.17.1.4|MetaCyc: PWY-5497|MetaCyc: PWY-5695|MetaCyc: PWY-6538|MetaCyc: PWY-6596|MetaCyc: PWY-6606|MetaCyc: PWY-6607|MetaCyc: PWY-6608|MetaCyc: PWY-6999|Reactome: R-HSA-74259|Reactome: R-HSA-8851680	G3DSA:3.30.365.10	PS51387;PS51085	SSF56176;SSF54292;SSF47741;SSF56003;SSF54665;SSF55447	PS00197	NA	PIRSF000127	NA	TIGR02963	NA	NA
OTA08543.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06389.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01854.1	mobidb-lite	NA	IPR016024	GO:0000159;GO:0007165;GO:0019888	PF01603	NA	Reactome: R-HSA-141444|Reactome: R-HSA-195253|Reactome: R-HSA-196299|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-389513|Reactome: R-HSA-432142|Reactome: R-HSA-4641262|Reactome: R-HSA-5339716|Reactome: R-HSA-5358747|Reactome: R-HSA-5358749|Reactome: R-HSA-5358751|Reactome: R-HSA-5358752|Reactome: R-HSA-5467337|Reactome: R-HSA-5467340|Reactome: R-HSA-5467348|Reactome: R-HSA-5663220|Reactome: R-HSA-5673000|Reactome: R-HSA-5675221|Reactome: R-HSA-6811558|Reactome: R-HSA-68877	G3DSA:1.25.10.10	NA	SSF48371	NA	NA	PIRSF028043	NA	NA	NA	NA
OTA00514.1	mobidb-lite	NA	IPR017986	GO:0005515	PF12937	NA	NA	NA	PS50294;PS50082	SSF50960;SSF81383	NA	NA	NA	NA	NA	NA	NA
OTA03186.1	mobidb-lite	cd00200	IPR001680	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10;G3DSA:1.20.58.2110	PS50082;PS50294	SSF50978	PS00678	Coil	NA	PR00320	NA	NA	NA
OTA04480.1	mobidb-lite	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00230.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05064.1	mobidb-lite	cd04369	IPR001487	GO:0005515	PF00439;PF17035	SM00297	NA	G3DSA:1.20.920.10	PS50014;PS51525	SSF47370	NA	Coil	NA	PR00503	NA	NA	NA
OTA06318.1	mobidb-lite	cd01857	IPR030378	GO:0005525	PF01926	NA	NA	NA	PS51721	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA02216.1	NA	NA	IPR013126		PF00012	NA	Reactome: R-HSA-3371453	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	SSF53067	NA	NA	NA	NA	NA	NA	NA
OTA03628.1	mobidb-lite	NA	IPR001214	GO:0005515	PF00856	NA	NA	G3DSA:3.90.1410.10	PS50280	SSF82199	NA	NA	NA	NA	NA	NA	NA
OTA04753.1	NA	cd00814	IPR033911	GO:0004825;GO:0006431;GO:0000166;GO:0004812;GO:0005524;GO:0006418	PF09334	NA	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10	G3DSA:3.40.50.620;G3DSA:2.170.220.10;G3DSA:1.10.730.10	NA	SSF52374;SSF47323	NA	NA	NA	PR01041	TIGR00398	NA	NA
OTA01550.1	NA	cd06558	IPR001753	GO:0003824	PF00378	NA	NA	G3DSA:3.90.226.10;G3DSA:1.10.12.10	NA	SSF52096	NA	NA	NA	NA	NA	NA	NA
OTA01193.1	NA	NA	IPR001509	GO:0003824;GO:0050662	PF01370	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA02727.1	NA	cd03676	IPR031804	GO:0016787	PF15916;PF00293	NA	NA	G3DSA:3.90.79.10;G3DSA:3.30.750.160	PS51462	SSF55811	NA	NA	NA	NA	NA	NA	NA
OTA00036.1	NA	cd03784	IPR002213	GO:0016758	PF00201	NA	Reactome: R-HSA-156588	G3DSA:3.40.50.2000	NA	SSF53756	NA	NA	NA	NA	NA	NA	NA
OTA08417.1	NA	NA	IPR024655	NA	PF11790	NA	NA	G3DSA:3.20.20.80	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA
OTA00325.1	NA	NA	IPR002403	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	NA	G3DSA:1.10.630.10	NA	SSF48264	PS00086	NA	NA	PR00465	NA	NA	NA
OTA02103.1	NA	cd00751	IPR002155	GO:0016747;GO:0003824	PF00108;PF02803	NA	NA	G3DSA:3.40.47.10	NA	SSF53901	PS00098;PS00099	NA	PIRSF000429	NA	TIGR01930	NA	NA
OTA06411.1	NA	NA	IPR036686	GO:0005576	PF06766	NA	NA	G3DSA:3.20.120.10	NA	SSF101751	NA	NA	NA	NA	NA	NA	NA
OTA04108.1	mobidb-lite	cd00167	IPR017930	GO:0003677	PF00249	SM00717	NA	G3DSA:1.10.10.60	PS51294	SSF46689	NA	NA	NA	NA	NA	NA	NA
OTA02883.1	NA	NA	IPR026541	NA	PF05712	NA	NA	G3DSA:1.10.274.30	PS51640	NA	NA	NA	NA	NA	NA	NA	NA
OTA03168.1	NA	NA	IPR032421	GO:0016020;GO:0000030;GO:0006493	PF16192;PF02815;PF02366	SM00472	KEGG: 00514+2.4.1.109|KEGG: 00515+2.4.1.109|MetaCyc: PWY-7921|MetaCyc: PWY-7922|MetaCyc: PWY-7979|Reactome: R-HSA-5083629|Reactome: R-HSA-5083633|Reactome: R-HSA-5173105	G3DSA:2.80.10.50	PS50919	SSF82109	NA	Coil	NA	NA	NA	NA	NA
OTA06764.1	mobidb-lite	NA	IPR004600	GO:0000439;GO:0006289;GO:0006355	PF03850	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	G3DSA:3.40.50.410	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07352.1	NA	cd06660	IPR036812	NA	PF00248	NA	NA	G3DSA:3.20.20.100	NA	SSF51430	NA	NA	NA	NA	NA	NA	NA
OTA08760.1	mobidb-lite	NA	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF00096;PF04082	SM00355	NA	G3DSA:3.30.160.60	PS50157	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
OTA04022.1	NA	cd02895	IPR001330	GO:0003824;GO:0004661;GO:0005953;GO:0018344	PF00432	NA	NA	G3DSA:1.50.10.20	NA	SSF48239	NA	NA	NA	NA	NA	NA	NA
OTA07114.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08815.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07922.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02357.1	mobidb-lite	NA	IPR011993	NA	PF04802	NA	NA	G3DSA:2.30.29.30	NA	SSF48371	NA	Coil	NA	NA	NA	NA	NA
OTA01019.1	NA	NA	IPR008949	GO:0016838	PF06330	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	G3DSA:1.10.600.10	PS51257	SSF48576	NA	NA	NA	NA	NA	SFLDG01021;SFLDS00005	NA
OTA01647.1	NA	NA	IPR006598	NA	PF05686	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06172.1	mobidb-lite	NA	IPR033122	GO:0043022	PF07766	NA	NA	NA	PS51758	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07019.1	mobidb-lite	NA	IPR018556		PF09431	NA	Reactome: R-HSA-2029482|Reactome: R-HSA-5663213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05041.1	mobidb-lite	NA	IPR001680	GO:0005515	PF00400	SM00320	NA	NA	PS50082;PS50294	SSF50978	NA	NA	NA	NA	NA	NA	NA
OTA01770.1	NA	cd00839	IPR015914	GO:0003993;GO:0046872;GO:0016787	PF16656;PF00149;PF14008	NA	NA	G3DSA:3.60.21.10;G3DSA:2.60.40.380	NA	SSF49363;SSF56300	NA	NA	NA	NA	NA	NA	NA
OSZ99882.1	NA	cd08284	IPR020843	GO:0016491;GO:0008270;GO:0055114	PF08240;PF00107	SM00829	Reactome: R-HSA-71384	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	SSF50129;SSF51735	PS00059	NA	NA	NA	NA	NA	NA
OTA00222.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00543.1	NA	NA	IPR036770	NA	PF17111	NA	NA	G3DSA:1.25.40.20	NA	SSF48403	NA	Coil	NA	NA	NA	NA	NA
OTA05736.1	mobidb-lite	cd11710	IPR005339	GO:0000811;GO:0006260	PF05916	NA	Reactome: R-HSA-176974	G3DSA:1.20.58.1030	NA	SSF158573	NA	NA	NA	NA	NA	NA	NA
OTA02812.1	mobidb-lite	cd07344	IPR013536	NA	PF08325	NA	NA	NA	PS51397	NA	NA	NA	NA	NA	NA	NA	NA
OTA08770.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01025.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03204.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03764.1	NA	NA	IPR029058	GO:0003824	PF00561	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	PR00412	NA	NA	NA
OTA02520.1	NA	cd04301	IPR000182	GO:0008080	PF00583	NA	NA	G3DSA:3.40.630.30	PS51186	SSF55729	NA	NA	NA	NA	NA	NA	NA
OTA08254.1	mobidb-lite	NA	IPR037274	GO:0008270	PF05495	NA	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	PS51266	SSF161219;SSF54495	NA	Coil	NA	NA	NA	NA	NA
OTA03994.1	mobidb-lite	cd01925	IPR029000	GO:0000413;GO:0003755;GO:0006457	PF00160	NA	NA	G3DSA:2.40.100.10	PS50072	SSF50891	PS00170	Coil	NA	PR00153	NA	NA	NA
OTA05049.1	mobidb-lite	cd17316	IPR005828	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA00114.1	NA	NA	IPR036291	GO:0048037;GO:0003824	PF02629;PF00549	SM00881	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	G3DSA:3.40.50.261;G3DSA:3.40.50.720	NA	SSF51735;SSF52210	PS01216;PS00399	NA	PIRSF001553	PR01798	TIGR01019	NA	MF_01988
OTA03560.1	mobidb-lite	cd12148;cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	SM00906;SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	NA	NA	NA	NA
OTA01504.1	NA	NA	IPR032805	NA	PF13813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05692.1	mobidb-lite	NA	IPR002744	NA	PF01883	NA	NA	G3DSA:3.30.300.130	NA	SSF117916	NA	NA	NA	NA	NA	NA	NA
OTA04154.1	NA	cd02877	IPR001579	GO:0004553;GO:0005975	PF00704	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	G3DSA:3.20.20.80	NA	SSF51445	PS01095	NA	NA	NA	NA	NA	NA
OTA04406.1	mobidb-lite	cd05580	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069	SM00220;SM00133	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011;PS51285	SSF56112	PS00107;PS00108	NA	NA	NA	NA	NA	NA
OTA05401.1	NA	NA	IPR002415	GO:0003723;GO:0005730;GO:0042254;GO:1990904	PF01248	NA	Reactome: R-HSA-6790901	G3DSA:3.30.1330.30	NA	SSF55315	PS01082	Coil	NA	PR00883;PR00881	NA	NA	NA
OTA05030.1	NA	cd06223	IPR005854	GO:0004044;GO:0009113;GO:0009116	PF00156;PF13522	NA	KEGG: 00230+2.4.2.14|KEGG: 00250+2.4.2.14|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|MetaCyc: PWY-7282|Reactome: R-HSA-73817	G3DSA:3.40.50.2020;G3DSA:3.60.20.10	PS51278	SSF56235;SSF53271	NA	NA	PIRSF000485	NA	TIGR01134	NA	MF_01931
OSZ99919.1	NA	NA	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA05583.1	mobidb-lite	cd17316	IPR005828	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA06993.1	NA	NA	IPR014816	GO:0016429;GO:0030488;GO:0031515	NA	NA	MetaCyc: PWY-6829	NA	PS51620	SSF53335	NA	NA	NA	NA	NA	NA	NA
OSZ99967.1	mobidb-lite	NA	IPR000504	GO:0003676	PF00076	SM00360	NA	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	NA	NA	NA	NA	NA
OTA04372.1	NA	NA	IPR036653	NA	PF02464	NA	NA	G3DSA:3.90.950.20	NA	SSF142433	NA	NA	NA	NA	TIGR00199	NA	NA
OTA02747.1	mobidb-lite	cd06144	IPR013520	GO:0006364;GO:0008408;GO:0003676	PF00929	SM00479	NA	G3DSA:3.30.420.10	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
OTA03269.1	mobidb-lite	cd00170	IPR011074	NA	PF00650;PF03765	SM01100;SM00516	NA	G3DSA:1.10.8.20;G3DSA:3.40.525.10	PS50191	SSF52087;SSF46938	NA	NA	NA	NA	NA	NA	NA
OTA03377.1	mobidb-lite	cd05708;cd05697;cd05698;cd05706;cd05693;cd05702;cd05703	IPR003029	GO:0003676;GO:0005515;GO:0006396	PF00575	SM00316;SM00386	NA	G3DSA:2.40.50.140;G3DSA:1.25.40.10	PS50126	SSF50249;SSF48452	NA	NA	NA	NA	NA	NA	NA
OTA06010.1	mobidb-lite	NA	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418;GO:0016706	PF13661;PF10637	SM00702	NA	G3DSA:2.60.120.620	PS51471	NA	NA	NA	NA	NA	NA	NA	NA
OTA01867.1	NA	cd17364	IPR036259	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA04782.1	mobidb-lite	cd06257	IPR036869		PF16717;PF00226	SM00271	Reactome: R-HSA-3371453	G3DSA:1.10.287.110;G3DSA:1.10.8.840	PS50076	SSF46565	PS00636	Coil	NA	NA	NA	NA	NA
OTA05512.1	mobidb-lite	cd03447	IPR020801	GO:0004318;GO:0055114;GO:0003824;GO:0016740;GO:0004312;GO:0005835;GO:0006633	PF17828;PF08354;PF01575;PF13452;PF00698;PF16073;PF17951	SM00827	KEGG: 00061+4.2.1.59+2.3.1.39+1.3.1.9+2.3.1.86+3.1.2.14|KEGG: 00780+4.2.1.59|MetaCyc: PWY-4381|MetaCyc: PWY-5142|MetaCyc: PWY-5147|MetaCyc: PWY-5366|MetaCyc: PWY-5367|MetaCyc: PWY-5965|MetaCyc: PWY-5966|MetaCyc: PWY-5970|MetaCyc: PWY-5971|MetaCyc: PWY-5973|MetaCyc: PWY-5989|MetaCyc: PWY-5994|MetaCyc: PWY-6113|MetaCyc: PWY-6282|MetaCyc: PWY-6519|MetaCyc: PWY-6799|MetaCyc: PWY-7388|MetaCyc: PWY-7663|MetaCyc: PWY-7664|MetaCyc: PWY-7723|MetaCyc: PWY-7746|MetaCyc: PWY-7858|MetaCyc: PWY-8012|MetaCyc: PWY-8047|MetaCyc: PWY-8049|MetaCyc: PWYG-321	G3DSA:3.30.1120.100;G3DSA:3.10.129.50;G3DSA:3.20.20.70;G3DSA:3.10.129.10;G3DSA:1.20.1050.120;G3DSA:3.30.70.2430;G3DSA:3.40.366.10;G3DSA:1.10.110.40;G3DSA:1.20.930.70;G3DSA:3.30.70.3320	NA	SSF51412;SSF52151;SSF54637	NA	Coil	PIRSF005562	PR01483	NA	NA	NA
OTA08415.1	mobidb-lite	NA	IPR007535	GO:0005506;GO:0009712;GO:0018576;GO:0055114;GO:0016702;GO:0003824;GO:0006725;GO:0008199	PF04444;PF00775	NA	NA	G3DSA:2.60.130.10	NA	SSF49482	NA	NA	NA	NA	NA	NA	NA
OTA00354.1	NA	NA	IPR000743	GO:0004650;GO:0005975	PF00295	NA	NA	G3DSA:2.160.20.10	NA	SSF51126	NA	NA	NA	NA	NA	NA	NA
OTA04083.1	NA	NA	IPR004000	NA	PF00022	SM00268	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	SSF53067	NA	NA	NA	NA	NA	NA	NA
OTA04768.1	mobidb-lite	NA	IPR040233	NA	PF09747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03446.1	NA	cd06660	IPR023210	GO:0016491;GO:0055114	PF00248	NA	NA	G3DSA:3.20.20.100	NA	SSF51430	NA	NA	NA	PR00069	NA	NA	NA
OTA05271.1	NA	cd17333	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA08703.1	NA	cd03508	IPR005804	GO:0006629;GO:0016021;GO:0030148;GO:0042284	PF00487	NA	KEGG: 00600+1.14.19.17|MetaCyc: PWY-5129|Reactome: R-HSA-1660661	NA	NA	NA	NA	NA	PIRSF017228	NA	NA	NA	NA
OTA01684.1	NA	NA	IPR031353	NA	PF17106;PF17107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02778.1	NA	NA	IPR029044		PF13632	NA	Reactome: R-HSA-913709	NA	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA04147.1	NA	NA	IPR002347	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA01618.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05200.1	mobidb-lite	NA	IPR022784	NA	PF09135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03177.1	mobidb-lite	cd00201	IPR001202	GO:0005515	PF00397	SM00456	NA	G3DSA:2.20.70.10	PS50020	SSF51045	PS01159	Coil	NA	NA	NA	NA	NA
OTA03642.1	mobidb-lite	NA	IPR013026	GO:0005515;GO:0005741;GO:0006886;GO:0015450	PF13431;PF13181;PF13432	SM00028	NA	G3DSA:1.25.40.10	PS50293;PS50005	SSF48452	NA	Coil	NA	NA	TIGR00990	NA	NA
OTA01903.1	mobidb-lite	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA03003.1	NA	NA	IPR027424	GO:0016614;GO:0050660;GO:0055114	PF00732;PF05199	NA	KEGG: 00260+1.2.1.8+1.1.99.1|MetaCyc: PWY-3722|MetaCyc: PWY-7494|Reactome: R-HSA-6798163	G3DSA:4.10.450.10;G3DSA:3.50.50.60;G3DSA:1.10.1220.110;G3DSA:3.30.410.40	PS51257	SSF54373;SSF51905	PS00624	NA	PIRSF000137	NA	NA	NA	NA
OTA02887.1	NA	NA	IPR018565	GO:0000776	PF09447	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07459.1	mobidb-lite	NA	IPR006597	GO:0005515	PF08238	SM00671	NA	G3DSA:1.25.40.10	NA	SSF81901	NA	NA	NA	NA	NA	NA	NA
OTA00299.1	NA	NA	IPR006913	GO:0016846	PF04828	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	SSF51316	NA	NA	NA	NA	NA	NA	NA
OTA02168.1	NA	NA	IPR013893		PF08584	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02847.1	mobidb-lite	NA	IPR013087	GO:0003676	NA	SM00355	NA	G3DSA:3.40.50.1460;G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06943.1	NA	NA	IPR001680	GO:0005515	PF12796;PF06985	SM00248	NA	G3DSA:1.25.40.20	PS50082;PS50294;PS50297	SSF48403	NA	Coil	NA	NA	NA	NA	NA
OTA00022.1	NA	cd02932	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	PF00724	NA	NA	G3DSA:3.20.20.70	NA	SSF51395	NA	NA	NA	NA	NA	NA	NA
OTA00147.1	NA	NA	IPR007290	GO:0032366	PF04161	NA	Reactome: R-HSA-191273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05220.1	NA	cd09135;cd09137	IPR025202	GO:0003824	PF13091	SM00155	Reactome: R-HSA-1483148|Reactome: R-HSA-1483166	G3DSA:3.30.870.10	PS50035	SSF56024	NA	NA	PIRSF000850	NA	NA	NA	NA
OTA07070.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03278.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02564.1	mobidb-lite	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07976.1	NA	NA	IPR004038	GO:0003723;GO:0003735;GO:0022625	PF01248	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.30.1330.30	NA	SSF55315	PS00709;PS00993	NA	NA	NA	NA	NA	MF_00481
OTA03332.1	mobidb-lite	NA	IPR013087	GO:0003676;GO:0008270	PF12171	SM00451	NA	G3DSA:3.30.160.60	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
OTA07713.1	NA	NA	IPR027974	NA	PF14737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06316.1	mobidb-lite	NA	IPR005062	NA	PF03399	NA	NA	G3DSA:1.25.40.990	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02369.1	NA	cd06154	IPR006175		PF01042	NA	Reactome: R-HSA-8849175	G3DSA:3.30.1330.40	NA	SSF55298	NA	NA	NA	NA	NA	NA	NA
OTA07986.1	NA	NA	IPR019410	NA	PF10294	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	MF_03198
