Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKO98961.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	NA	NA	NA	PF04082	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
KKP00627.1	IPR000330	GO:0005524	SSF52540	SM00490;SM00487	mobidb-lite	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	PS51194;PS51192	PF00176;PF00271	NA	NA	NA	cd18793;cd18009	NA	Coil	NA	NA	NA
KKP02178.1	IPR024607	GO:0003824;GO:0008484	SSF53649	NA	NA	G3DSA:3.30.1120.10;G3DSA:3.40.720.10	NA	PF00884	NA	PS00149	NA	cd16025	NA	NA	NA	NA	NA
KKP01945.1	IPR036642	GO:0008121	SSF81508	NA	NA	G3DSA:1.20.5.210	NA	PF02939	Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA	NA
KKO97467.1	IPR019194		NA	NA	mobidb-lite	NA	NA	PF09816	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA
KKO96888.1	IPR024326		NA	NA	NA	G3DSA:3.30.70.330	NA	PF12923;PF17799	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	cd12950	NA	Coil	NA	NA	NA
KKP06588.1	IPR036412	NA	SSF56784	NA	NA	NA	NA	PF12710	NA	NA	NA	NA	NA	NA	TIGR01488	NA	NA
KKO98926.1	IPR029510	GO:0016491;GO:0055114;GO:0016620	SSF53720	NA	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	PS00687	NA	NA	NA	NA	NA	NA	NA
KKP01053.1	IPR023395	NA	SSF103506	NA	mobidb-lite	G3DSA:1.50.40.10	NA	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98152.1	IPR015422	GO:0003824;GO:0008483;GO:0030170	SSF53383	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	PF00202	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02259.1	IPR013986	GO:0005524;GO:0016787	SSF52540	NA	mobidb-lite	G3DSA:1.10.10.160;G3DSA:3.40.50.300;G3DSA:1.10.486.10	PS51198;PS51217;PS50132	PF00580;PF13361	NA	NA	NA	cd18807;cd17932	NA	Coil	NA	NA	NA
KKO99895.1	IPR012394	GO:0006081;GO:0055114;GO:0016491;GO:0016620	SSF53720	NA	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	NA	NA	cd07135	PIRSF036492	NA	NA	NA	NA
KKO98460.1	IPR029063	NA	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF13489	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
KKP01620.1	IPR003280	GO:0005267;GO:0016020;GO:0071805	SSF81324	NA	mobidb-lite	G3DSA:1.10.287.70	NA	PF07885	Reactome: R-HSA-5576886	NA	PR01333	NA	NA	Coil	NA	NA	NA
KKP00151.1	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF11951;PF00172	NA	PS00463	NA	cd00067	NA	NA	NA	NA	NA
KKO98189.1	IPR023210	NA	SSF51430	NA	NA	G3DSA:3.20.20.100	NA	PF00248	NA	NA	NA	cd06660	NA	Coil	NA	NA	NA
KKP05136.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	mobidb-lite	NA	NA	PF04082	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
KKP02841.1	IPR025638	NA	SSF56281	NA	NA	NA	NA	PF14234	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04585.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07758.1	IPR006050		SSF48173;SSF52425	NA	mobidb-lite	G3DSA:1.25.40.80;G3DSA:3.40.50.620;G3DSA:1.10.579.10	PS51645	PF03441;PF00875	Reactome: R-HSA-400253	NA	NA	NA	NA	NA	NA	NA	NA
KKP04016.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01499.1	IPR036910	NA	SSF47095	NA	mobidb-lite	G3DSA:1.10.30.10	PS50118	PF00505	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96695.1	IPR032563		NA	NA	mobidb-lite	G3DSA:1.10.10.60	NA	PF16282	Reactome: R-HSA-3214847	NA	NA	NA	NA	Coil	NA	NA	NA
KKO96911.1	IPR022198	NA	NA	NA	mobidb-lite	NA	NA	PF12520	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP02806.1	IPR002130	GO:0000413;GO:0003755;GO:0006457	SSF50891	NA	NA	G3DSA:2.40.100.10	PS50072	PF00160	NA	PS00170	PR00153	NA	PIRSF001467	NA	NA	NA	NA
KKP03003.1	IPR023606	GO:0008410	SSF89796	NA	NA	G3DSA:3.30.1540.10;G3DSA:3.40.50.10540	NA	PF02515	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04252.1	IPR000836	GO:0009116;GO:0004588;GO:0006221	SSF53271	NA	NA	G3DSA:3.40.50.2020	NA	PF00156	KEGG: 00240+2.4.2.10|KEGG: 00983+2.4.2.10|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791|Reactome: R-HSA-500753	NA	NA	cd06223	NA	NA	TIGR00336	MF_01208	NA
KKP04618.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	SSF48403;SSF53167;SSF52540	SM00248	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.25.40.20	PS50088;PS50297	PF12796;PF01048;PF00023;PF13637;PF05729	NA	NA	PR01415	cd09008	NA	NA	NA	NA	NA
KKP05130.1	IPR013087	GO:0003676	NA	SM00355	mobidb-lite	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
KKO98085.1	IPR032710	NA	SSF54427	NA	NA	G3DSA:3.10.450.50	NA	PF12680	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00206.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	G3DSA:1.10.630.10	NA	PF00067	NA	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA	NA
KKP07450.1	IPR018108	NA	SSF103506	NA	NA	G3DSA:1.50.40.10	PS50920	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97138.1	IPR013078	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	SSF52540;SSF53254	SM00855	mobidb-lite	NA	NA	PF00300;PF01591	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-9634600	PS00175	PR00991	cd07067	PIRSF000709	NA	NA	NA	NA
KKP02800.1	IPR036291	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
KKP03165.1	IPR027417	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF52540;SSF90123	SM00382	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50893;PS50929	PF00664;PF00005	NA	PS00211	NA	cd03250;cd18580;cd18579	NA	NA	NA	NA	NA
KKO96900.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172	NA	PS00463	NA	cd00067	NA	NA	NA	NA	NA
KKP06601.1	IPR012959	GO:0003723	SSF48371	SM00025	mobidb-lite	NA	PS50303	PF08144	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97361.1	IPR013087	GO:0003676	SSF57667	SM00355	mobidb-lite	G3DSA:3.30.160.60	NA	PF11905	NA	NA	NA	cd14688	NA	Coil	NA	NA	NA
KKP03174.1	IPR025702		NA	NA	NA	NA	NA	PF13816	KEGG: 00460+4.99.1.7|KEGG: 00643+4.99.1.7|MetaCyc: PWY-7824	NA	NA	NA	NA	NA	NA	NA	NA
KKP03639.1	IPR029045	GO:0003824	SSF52096	NA	NA	G3DSA:3.90.226.10	NA	PF00378	NA	NA	NA	cd06558	NA	NA	NA	NA	NA
KKO97768.1	IPR007873	GO:0000030;GO:0030176	NA	NA	NA	NA	NA	PF05208	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	NA	NA	NA	NA	NA
KKP03370.1	IPR027417	GO:0003924;GO:0005525	SSF52540	NA	NA	NA	NA	PF00009	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00895.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03321.1	IPR013218	GO:0000444;GO:0007059;GO:0051301	NA	NA	mobidb-lite	NA	NA	PF08202	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-6798695|Reactome: R-HSA-68877	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07885.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	PR00081	NA	NA	Coil	NA	NA	NA
KKO99090.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP02154.1	IPR011011	NA	SSF57903	SM01408;SM00249	mobidb-lite	G3DSA:3.30.40.10	PS50016	NA	NA	NA	NA	cd17017;cd15505	NA	Coil	NA	NA	NA
KKO99076.1	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	SSF57667	SM00355	mobidb-lite	G3DSA:3.30.160.60	PS50157	PF00096;PF04082	NA	PS00028	NA	cd12148	NA	NA	NA	NA	NA
KKP02308.1	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	SSF56176	NA	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.40	PS51387	PF01565;PF08031	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98533.1	IPR001466	NA	SSF56601	NA	NA	G3DSA:3.40.710.10	NA	PF00144	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99145.1	IPR019434	NA	NA	NA	mobidb-lite	NA	NA	PF10338	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01205.1	IPR006575	GO:0005515	SSF54495	SM00591	mobidb-lite	G3DSA:3.10.110.10	PS50908	PF16543;PF05773	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP06455.1	IPR010318	GO:0016787	SSF53067;SSF160991	NA	mobidb-lite	G3DSA:3.30.420.40;G3DSA:3.40.1610.10	NA	PF06032;PF01968;PF05378	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA	NA	NA	NA	NA
KKO96952.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02059.1	IPR039261	GO:0016491;GO:0055114	SSF52343	NA	NA	G3DSA:3.40.50.80	PS51384	PF01794;PF08030;PF08022	NA	NA	NA	cd06186	NA	NA	NA	NA	SFLDS00052;SFLDG01168
KKP03013.1	IPR015422	GO:0003824	SSF53383	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	PF00266	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03753.1	IPR014752	NA	NA	NA	mobidb-lite	G3DSA:2.60.40.640	NA	PF13002	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01964.1	IPR010089	GO:0003955;GO:0010181;GO:0016491	SSF52218	NA	mobidb-lite	G3DSA:3.40.50.360	PS50902	PF03358	KEGG: 00130+1.6.5.2|MetaCyc: PWY-7731|MetaCyc: PWY-7999	NA	NA	NA	NA	NA	TIGR01755	NA	NA
KKP02958.1	IPR000209	GO:0004252;GO:0006508;GO:0005618;GO:0016020	SSF52743	NA	mobidb-lite	G3DSA:3.40.50.200	NA	PF00082;PF06280	NA	PS00138;PS00136	PR00723	cd07489	NA	NA	NA	NA	NA
KKO98791.1	IPR017441	GO:0005524;GO:0004672;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:1.10.510.10	PS50011	PF00069	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA
KKP00385.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04346.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	NA	NA	NA	PS50850	PF00083	Reactome: R-HSA-189200	PS00216;PS00217	PR00171	cd17356	NA	NA	TIGR00879	NA	NA
KKO97930.1	IPR029063	NA	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF13649	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
KKP03414.1	IPR005612	NA	SSF48371	NA	mobidb-lite	NA	NA	PF03914	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05335.1	IPR016167	GO:0071949;GO:0050660;GO:0016491;GO:0055114	SSF56176	NA	NA	G3DSA:3.30.43.10;G3DSA:3.40.462.20;G3DSA:3.30.465.10	PS51387	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04496.1	IPR037525	NA	NA	NA	mobidb-lite	G3DSA:2.60.40.3960	PS51821	PF11754	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98624.1	IPR021709	NA	NA	NA	mobidb-lite	NA	NA	PF11696	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97879.1	IPR041411		NA	NA	NA	NA	NA	PF18566	KEGG: 00902+4.2.1.127+5.4.4.4|MetaCyc: PWY-7136	NA	NA	NA	NA	NA	NA	NA	NA
KKP06537.1	IPR036259	GO:0055085	SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20	PS50850	PF07690	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
KKP07218.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA
KKP05053.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03143.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02234.1	IPR001394	GO:0016579;GO:0036459;GO:0006511	SSF57850;SSF54001	NA	NA	G3DSA:3.90.70.10;G3DSA:3.30.40.10	PS50235	PF00443	NA	PS00973	NA	cd02660	NA	NA	NA	NA	NA
KKP05292.1	IPR037069	GO:0016627;GO:0050660;GO:0055114	SSF47203;SSF55856;SSF56645	SM01117	mobidb-lite	G3DSA:1.10.540.10;G3DSA:3.10.120.10;G3DSA:2.40.110.10;G3DSA:1.20.140.10	PS50255	PF02771;PF02770;PF00173;PF00441	NA	NA	PR00363	NA	NA	NA	NA	NA	NA
KKP05302.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07436.1	IPR032629	GO:0005086;GO:0032012	SSF48371;SSF48425	SM00222	mobidb-lite	G3DSA:1.10.220.20;G3DSA:1.10.1000.11	PS50190	PF16213;PF09324;PF01369;PF12783	NA	NA	NA	cd00171	NA	NA	NA	NA	NA
KKP04982.1	IPR001680	GO:0005515;GO:0004842;GO:0016567	SSF50978;SSF57850	SM00320;SM00504	mobidb-lite	G3DSA:3.30.40.10;G3DSA:2.130.10.10	PS51698;PS50082;PS50294	PF00400;PF08606	MetaCyc: PWY-7511	NA	NA	cd16656	NA	Coil	NA	NA	NA
KKP05360.1	IPR022036	NA	NA	NA	NA	NA	NA	PF12239	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06330.1	IPR014710	GO:0030145	SSF51182	NA	mobidb-lite	G3DSA:2.60.120.10	NA	PF07883	NA	PS00725	NA	NA	NA	NA	NA	NA	NA
KKP03391.1	NA	NA	NA	NA	mobidb-lite	NA	NA	PF17242	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98297.1	IPR012385	GO:0004665;GO:0006571;GO:0008977;GO:0055114	SSF48179;SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:1.10.3660.10	PS51176	PF02153	KEGG: 00400+1.3.1.13	NA	NA	NA	PIRSF036510	NA	NA	NA	NA
KKO97678.1	IPR036452	NA	SSF53590	NA	NA	G3DSA:3.90.245.10	NA	PF01156	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99712.1	IPR004304	GO:0016811	SSF141130	NA	NA	G3DSA:2.60.120.580;G3DSA:3.10.28.20	NA	PF03069	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99075.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:1.10.510.10	PS50011	PF00069	NA	PS00108	NA	NA	NA	Coil	NA	NA	NA
KKP03406.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03254.1	IPR004148	GO:0005515;GO:0005737;GO:0007015	SSF103657	SM00721	NA	G3DSA:1.20.1270.60	PS51021	PF03114	NA	NA	PR01251	cd07591	NA	Coil	NA	NA	NA
KKO99440.1	IPR014782	GO:0008237;GO:0008270;GO:0006508	SSF63737;SSF55486	NA	mobidb-lite	G3DSA:1.10.390.60;G3DSA:1.25.50.20;G3DSA:2.60.40.1910;G3DSA:2.60.40.1730	NA	PF01433;PF11838;PF17900	NA	NA	PR00756	cd09601	NA	Coil	NA	NA	NA
KKP07403.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA
KKO97207.1	IPR012133	GO:0010181;GO:0016491;GO:0055114;GO:0003824	SSF51395	NA	NA	G3DSA:3.20.20.70	PS51349	PF01070	Reactome: R-HSA-9033241	PS00557	NA	cd02922	PIRSF000138	NA	NA	NA	NA
KKO97443.1	IPR012334	NA	SSF51126	NA	NA	G3DSA:2.160.20.10	NA	PF12708	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06581.1	IPR001772	GO:0005524;GO:0004672;GO:0006468	SSF56112;SSF103243	SM00220	mobidb-lite	G3DSA:1.10.510.10	PS50032;PS50011	PF12330;PF02149;PF00069	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS00107;PS00108	NA	cd14077;cd12121	NA	Coil	NA	NA	NA
KKP04375.1	IPR001313	GO:0003723;GO:0003676	SSF48371;SSF54928	SM00360;SM00025	mobidb-lite	G3DSA:1.25.10.10;G3DSA:3.30.70.330	PS50302;PS50303;PS50102	PF00806;PF00076	NA	NA	NA	cd00590	NA	NA	NA	NA	NA
KKP06952.1	IPR002195	GO:0016812;GO:0016810;GO:0016787;GO:0016888	SSF51338;SSF51556	NA	NA	NA	NA	PF01979	KEGG: 00240+3.5.2.3|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PS00482;PS01137	NA	NA	NA	NA	NA	NA	NA
KKP03288.1	IPR029058	GO:0016787;GO:0016747	SSF53474	NA	NA	G3DSA:1.10.10.800;G3DSA:3.40.50.1820	NA	PF01738	NA	PS00099	NA	NA	NA	NA	NA	NA	NA
KKP02446.1	IPR025952	GO:0003676	SSF82708	NA	mobidb-lite	NA	NA	PF13902	MetaCyc: PWY-6807	NA	NA	cd14948	NA	NA	NA	NA	NA
KKO98431.1	IPR023041	NA	SSF81321	NA	mobidb-lite	G3DSA:1.20.1070.10	NA	PF11710	NA	NA	NA	cd00637	NA	NA	NA	NA	NA
KKP07273.1	IPR027417	NA	SSF52540	NA	mobidb-lite	G3DSA:3.40.50.300	NA	PF00350	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97942.1	IPR029044	NA	SSF53448	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01563.1	IPR027417	GO:0003676;GO:0005524	SSF52540	SM00490;SM00487	mobidb-lite	G3DSA:3.40.50.300	PS51194;PS51192;PS51195	PF00271;PF00270	NA	NA	NA	cd17961;cd18787	NA	Coil	NA	NA	NA
KKO98491.1	IPR009939	GO:0016977	NA	NA	NA	NA	NA	PF07335	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA	NA	NA	NA
KKO99190.1	IPR001077	GO:0008171;GO:0008168	SSF53335;SSF46785	NA	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	PS51683	PF00891	NA	NA	NA	NA	PIRSF005739	NA	NA	NA	NA
KKP00170.1	IPR011990	GO:0005515;GO:0000413;GO:0003755;GO:0006457	SSF48452;SSF50891	SM00028	NA	G3DSA:1.25.40.10;G3DSA:2.40.100.10	PS50072;PS50005;PS50293	PF07719;PF00160	NA	PS00170	PR00153	cd01926	NA	NA	NA	NA	NA
KKP02432.1	IPR036874	GO:0004089;GO:0008270	SSF53056	SM00947	NA	G3DSA:3.40.1050.10	NA	PF00484	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA	NA	NA	NA	NA
KKP01916.1	IPR038765	NA	SSF54001	NA	NA	G3DSA:3.90.1720.10	PS50911	PF05257	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02585.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO96629.1	IPR002641	GO:0006629	SSF52151	NA	NA	G3DSA:3.40.1090.10	NA	PF01734	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98898.1	IPR004776	GO:0016021;GO:0055085	NA	NA	mobidb-lite	NA	NA	PF03547	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97360.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06554.1	IPR011044	GO:0005515	SSF50969;SSF69322	NA	mobidb-lite	G3DSA:2.130.10.10	NA	PF10433	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03937.1	IPR000300	GO:0046856	SSF56219	SM00128	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03585.1	IPR018491	GO:0006811;GO:0016020;GO:0022857;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1740.10	NA	PF03522;PF00324	Reactome: R-HSA-426117	NA	NA	NA	NA	Coil	NA	NA	NA
KKO98135.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98358.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03918.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03108.1	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	NA	NA	mobidb-lite	G3DSA:3.30.750.24	PS50801	PF00916;PF01740	Reactome: R-HSA-427601	PS01130	NA	NA	NA	NA	TIGR00815	NA	NA
KKP04405.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	G3DSA:1.10.630.10	NA	PF00067	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA	NA
KKP07206.1	IPR000572	GO:0042128;GO:0016491;GO:0055114;GO:0030151	SSF56524;SSF55856;SSF81296	SM01117	mobidb-lite	G3DSA:3.10.120.10;G3DSA:3.90.420.10	PS50255	PF00174;PF00173;PF03404	Reactome: R-HSA-1614517	NA	PR00407	NA	NA	NA	NA	NA	NA
KKP06240.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01709.1	NA	NA	SSF109604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00954.1	IPR004843	GO:0016787	SSF56300	NA	NA	G3DSA:3.60.21.10	NA	PF00149	NA	NA	NA	cd07379	NA	NA	NA	NA	NA
KKP00484.1	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02993.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04606.1	IPR001300	GO:0004198;GO:0006508	SSF54001	SM00230	mobidb-lite	G3DSA:3.90.70.10	PS50203	PF00648	Reactome: R-HSA-1474228	NA	PR00704	NA	NA	Coil	NA	NA	NA
KKP03246.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	SM00906;SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	NA	PS00463	NA	cd12148;cd00067	NA	NA	NA	NA	NA
KKP05635.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP02309.1	IPR032710	NA	SSF54427	NA	NA	G3DSA:3.10.450.50	NA	PF13577	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07796.1	IPR017956	GO:0003677	NA	SM00384	mobidb-lite	NA	NA	NA	NA	NA	PR00929	NA	NA	NA	NA	NA	NA
KKO97703.1	IPR017932	NA	SSF56235	NA	mobidb-lite	G3DSA:3.60.20.10	PS51278	PF13230	NA	NA	NA	cd01908	NA	NA	NA	NA	NA
KKO98444.1	IPR041679	NA	SSF52540	NA	mobidb-lite	G3DSA:3.40.50.300	NA	PF13087	NA	NA	NA	cd18039;cd18808	NA	NA	NA	NA	NA
KKP04022.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97363.1	IPR019772	GO:0004325;GO:0006783	SSF53800	NA	NA	G3DSA:3.40.50.1400	NA	PF00762	KEGG: 00860+4.99.1.1|Reactome: R-HSA-189451	PS00534	NA	cd00419;cd03411	NA	NA	TIGR00109	MF_00323	NA
KKP00534.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99595.1	IPR003697	GO:0047429	SSF52972	NA	mobidb-lite	G3DSA:3.90.950.10	NA	PF02545	KEGG: 00230+3.6.1.9|KEGG: 00240+3.6.1.9|KEGG: 00500+3.6.1.9|KEGG: 00740+3.6.1.9|KEGG: 00760+3.6.1.9|KEGG: 00770+3.6.1.9|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7206|MetaCyc: PWY-7821	NA	NA	cd00555	NA	NA	TIGR00172	NA	NA
KKP02029.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	PF00069	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA
KKP05037.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
