Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB70370.1	IPR041698	G3DSA:3.40.50.150	SSF53335	PF13649	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66549.1	IPR004856	NA	NA	PF03155	NA	NA	NA	NA	GO:0005789;GO:0016758	Reactome: R-HSA-446193	NA	NA	NA	NA	NA	NA	NA
PTB69538.1	IPR028020	NA	NA	PF13919	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62523.1	IPR008160	NA	NA	PF01391	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65966.1	IPR016137	NA	SSF48097	PF00615	NA	mobidb-lite	NA	cd07440	NA	NA	NA	SM00315	PS50132	NA	NA	NA	NA
PTB69812.1	IPR033728	G3DSA:3.10.20.30;G3DSA:3.30.980.10;G3DSA:3.40.50.800;G3DSA:3.30.930.10	SSF55681;SSF52954;SSF55186;SSF81271	PF00587;PF02824;PF07973;PF03129	PR01047	mobidb-lite	NA	cd00771;cd01667;cd00860	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0000166;GO:0004812;GO:0006418;GO:0043039	KEGG: 00970+6.1.1.3	NA	SM00863	PS50862	NA	TIGR00418	MF_00184	NA
PTB66961.1	IPR016024	G3DSA:3.30.160.60;G3DSA:1.10.150.60	SSF48371;SSF46774	PF01388	NA	mobidb-lite	Coil	cd16100	GO:0003677;GO:0006355	NA	NA	SM00501;SM01014	PS51011;PS51526	NA	NA	NA	NA
PTB69983.1	IPR020845	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	SSF56801	PF00501;PF13193	NA	NA	NA	cd05911	GO:0003824	NA	PS00455	NA	NA	NA	NA	NA	NA
PTB66452.1	IPR036671	G3DSA:3.10.660.10	SSF144217	PF05207	NA	NA	NA	NA	NA	NA	NA	NA	PS51074	NA	NA	NA	NA
PTB69792.1	IPR006073	G3DSA:1.10.8.470;G3DSA:3.40.50.300;G3DSA:3.10.20.30	SSF52540	PF08438;PF01926	PR00326	NA	NA	cd04938;cd01899	GO:0005525	NA	NA	NA	PS51710	NA	NA	NA	NA
PTB61558.1	IPR027417	G3DSA:3.40.50.300	SSF52540	PF01583	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000709	NA	NA	NA
PTB61898.1	IPR019974	G3DSA:3.40.50.1010	SSF47807;SSF88723	PF00867;PF00752	PR00853	mobidb-lite	Coil	cd09867;cd09907	GO:0016788;GO:0003677;GO:0003824;GO:0004518;GO:0006281	Reactome: R-HSA-110362|Reactome: R-HSA-162594|Reactome: R-HSA-174437|Reactome: R-HSA-5651801|Reactome: R-HSA-5685939|Reactome: R-HSA-69166	PS00842;PS00841	SM00279;SM00484;SM00485	NA	NA	NA	MF_00614	NA
PTB66269.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64438.1	IPR029060	G3DSA:3.40.50.1010	SSF88723	PF04900	NA	mobidb-lite	NA	cd09865	GO:0032040	NA	NA	NA	NA	NA	NA	NA	NA
PTB65839.1	IPR036678	G3DSA:1.10.1420.10;G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:3.40.1170.10	SSF53150;SSF48334;SSF55271;SSF52540	PF05188;PF00488;PF05192;PF01624;PF05190	NA	mobidb-lite	Coil	NA	GO:0005524;GO:0006298;GO:0030983	Reactome: R-HSA-5632928	PS00486	SM00534;SM00533	NA	PIRSF037677	NA	NA	NA
PTB64301.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65550.1	IPR036188	G3DSA:3.50.50.60;G3DSA:3.30.410.40;G3DSA:1.10.1220.110;G3DSA:4.10.450.10	SSF54373;SSF51905	PF00732;PF05199	NA	NA	NA	NA	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	PS00624	NA	PS51257	PIRSF000137	NA	NA	NA
PTB66421.1	IPR038071	G3DSA:3.20.20.210	SSF51726	PF01717;PF08267	NA	mobidb-lite	Coil	cd03311;cd03312	GO:0003871;GO:0008270;GO:0009086;GO:0008652	Reactome: R-HSA-189451	NA	NA	NA	PIRSF000382	TIGR01371	MF_00172	NA
PTB65793.1	IPR036259	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	mobidb-lite	NA	cd17323	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB69118.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB70749.1	IPR001305	G3DSA:2.10.230.10;G3DSA:2.60.260.20;G3DSA:1.10.287.110	SSF49493;SSF46565;SSF57938	PF00684;PF00226;PF01556	PR00625	mobidb-lite	NA	cd10747;cd06257;cd10719	GO:0031072;GO:0051082;GO:0006457;GO:0005524;GO:0009408	NA	NA	SM00271	PS51188;PS50076	NA	NA	MF_01152	NA
PTB62024.1	IPR013087	NA	NA	NA	NA	mobidb-lite	NA	NA	GO:0003676	NA	PS00028	NA	NA	NA	NA	NA	NA
PTB67200.1	IPR007275	G3DSA:3.10.590.10	NA	PF04146	NA	mobidb-lite	NA	NA	GO:0003723	NA	NA	NA	PS50882	NA	NA	NA	NA
PTB67633.1	IPR008011	NA	NA	PF05347	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68710.1	IPR000850	G3DSA:3.40.50.300	SSF52540	PF00406;PF05191	PR00094	NA	NA	cd01428	GO:0005524;GO:0006139;GO:0019205;GO:0005739;GO:0004017	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PS00113	NA	NA	NA	NA	MF_00235;MF_03169	NA
PTB69063.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61952.1	IPR000571	G3DSA:4.10.1000.10	SSF90229	PF18044	NA	mobidb-lite	Coil	NA	GO:0046872	NA	NA	SM00356	PS50103	NA	NA	NA	NA
PTB62454.1	IPR000462	G3DSA:1.20.120.1760	NA	PF01066	NA	mobidb-lite	NA	NA	GO:0008654;GO:0016020;GO:0016780	KEGG: 00260+2.7.8.8|KEGG: 00564+2.7.8.8|MetaCyc: PWY-5669	PS00379	NA	NA	PIRSF000852	TIGR00473	NA	NA
PTB64441.1	IPR001849	G3DSA:2.30.29.30	SSF50729	PF00169	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00233	PS50003	NA	NA	NA	NA
PTB64259.1	IPR005821	G3DSA:1.20.120.350	NA	PF00520	NA	mobidb-lite	Coil	NA	GO:0005216;GO:0006811;GO:0016020;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB62570.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62040.1	IPR021765	NA	NA	PF11807	NA	NA	NA	NA	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA
PTB69915.1	IPR001263	G3DSA:1.25.40.70;G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	SSF56112;SSF48371	PF00613;PF00454	NA	NA	NA	cd05167	GO:0016301	NA	PS00916;PS00915	SM00145;SM00146	PS51545;PS50290	NA	NA	NA	NA
PTB65430.1	IPR001214	G3DSA:2.170.270.10;G3DSA:3.30.70.3410;G3DSA:3.30.60.180	SSF144232;SSF82199	PF00856	NA	NA	Coil	NA	GO:0005515	NA	NA	NA	PS50865;PS50280	NA	NA	NA	NA
PTB67072.1	IPR038108	G3DSA:3.40.190.140;G3DSA:2.30.29.70	NA	PF04683	NA	mobidb-lite	NA	NA	GO:0005634;GO:0005737	Reactome: R-HSA-5689603|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA
PTB64298.1	IPR004167	G3DSA:4.10.320.10;G3DSA:2.40.50.100	SSF51230;SSF47005	PF02817;PF00364	NA	mobidb-lite	NA	cd06849	GO:0016746	Reactome: R-HSA-389661	PS00189	NA	PS51826;PS50968	NA	NA	NA	NA
PTB64253.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70639.1	IPR018823	NA	NA	PF13515;PF10337	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64165.1	IPR014001	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	SSF52540	PF00176;PF00271	NA	mobidb-lite	Coil	cd17998;cd18793	GO:0005524	NA	NA	SM00490;SM00487	PS51192;PS51194	NA	NA	NA	NA
PTB63793.1	IPR013940	G3DSA:1.25.40.10	SSF48452	PF08631	NA	NA	Coil	NA	GO:0051321;GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB69622.1	IPR027706	G3DSA:3.40.50.1000	SSF56784	PF09419	NA	NA	NA	NA		KEGG: 00564+3.1.3.27|MetaCyc: PWY-5269|MetaCyc: PWY-5668|MetaCyc: PWY-7817	NA	NA	NA	NA	TIGR01668	NA	NA
PTB69809.1	IPR036249	G3DSA:3.40.30.10	SSF52833	PF13848;PF00085	PR00421	mobidb-lite	NA	cd02961;cd02982;cd02981;cd02995	GO:0045454;GO:0016853;GO:0003756	NA	PS00194	NA	PS51352	NA	TIGR01126;TIGR01130	NA	NA
PTB70278.1	IPR004358	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.40.50.2300	SSF55874;SSF47384;SSF55781;SSF52172	PF00072;PF02518;PF00512	PR00344	mobidb-lite	NA	cd00082;cd16922;cd00156	GO:0016310;GO:0016772;GO:0000155;GO:0007165;GO:0000160	Reactome: R-HSA-70895	NA	SM00448;SM00388;SM00387	PS50109;PS50110	NA	NA	NA	NA
PTB62514.1	IPR003378	G3DSA:3.90.550.50;G3DSA:3.50.4.10	NA	PF02434	NA	NA	NA	NA	GO:0016020;GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA
PTB66826.1	IPR004827	G3DSA:1.20.5.170	SSF57959	PF00170	NA	mobidb-lite	Coil	cd14687	GO:0003700;GO:0006355	NA	PS00036	SM00338	PS50217	NA	NA	NA	NA
PTB70767.1	IPR002698	G3DSA:3.40.50.10420	SSF100950	PF01812	NA	NA	Coil	NA	NA	NA	NA	NA	NA	PIRSF006806	NA	NA	NA
PTB69537.1	IPR001353	G3DSA:3.60.20.10	SSF56235	PF00227;PF10584	NA	mobidb-lite	NA	cd03749	GO:0004298;GO:0005839;GO:0051603;GO:0004175;GO:0006511;GO:0019773	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS00388	SM00948	PS51475	NA	NA	NA	NA
PTB70133.1	IPR020807	G3DSA:3.40.50.1820;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10	SSF52151;SSF47336;SSF55048;SSF53474;SSF53901	PF14765;PF00698;PF16197;PF00326;PF00550;PF00109;PF07859;PF02801;PF16073	NA	NA	Coil	cd00833	GO:0006508;GO:0008236;GO:0016740;GO:0031177;GO:0016787;GO:0003824	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PS00606;PS00012	SM01294;SM00823;SM00825;SM00827	PS50075	NA	NA	NA	NA
PTB61531.1	IPR021863	NA	NA	PF11960;PF00487	NA	mobidb-lite	NA	cd03507	GO:0016717;GO:0055114;GO:0006629	NA	NA	NA	NA	NA	NA	NA	NA
PTB66997.1	IPR009060	NA	SSF46934	NA	NA	mobidb-lite	NA	cd14368	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB61992.1	IPR002523	G3DSA:1.20.58.340	SSF144083	PF01544	NA	NA	Coil	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB66493.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66550.1	IPR013320	G3DSA:2.60.120.200	SSF49899	PF03388	NA	mobidb-lite	Coil	cd06903	GO:0016020	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	NA	NA	PS51328	NA	NA	NA	NA
PTB62118.1	IPR013819	G3DSA:3.10.450.60;G3DSA:1.20.245.10	SSF48484	PF00305	NA	mobidb-lite	Coil	NA	GO:0016702;GO:0046872;GO:0055114	NA	NA	NA	PS51393	NA	NA	NA	NA
PTB70428.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081;PR00080	NA	NA	NA	GO:0016491	NA	PS00061	NA	NA	NA	NA	NA	NA
PTB63732.1	IPR036265	G3DSA:3.30.428.10	SSF54197	PF11969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66400.1	IPR036964	G3DSA:1.10.840.10;G3DSA:1.20.870.10	SSF48366	PF00618;PF00617	NA	mobidb-lite	NA	cd06224	GO:0005085;GO:0007264	NA	NA	SM00229;SM00147	PS50212;PS50009	NA	NA	NA	NA
PTB63210.1	IPR041622	NA	NA	PF18142	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68666.1	IPR004886	G3DSA:3.20.20.80	SSF51445	PF03198	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66494.1	IPR001810	NA	NA	PF00646	NA	NA	NA	NA	GO:0005515	NA	NA	NA	PS50181	NA	NA	NA	NA
PTB69774.1	IPR018564	NA	NA	PF09444	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70699.1	IPR013087	G3DSA:3.30.160.60	SSF57667	PF00096	NA	mobidb-lite	NA	NA	GO:0003676	NA	PS00028	SM00355	PS50157	NA	NA	NA	NA
PTB63400.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172	NA	NA	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SM00066	PS50048	NA	NA	NA	NA
PTB65294.1	IPR007276	NA	NA	PF04147	NA	mobidb-lite	Coil	NA	GO:0032040	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
PTB62240.1	IPR012337	G3DSA:1.10.287.690;G3DSA:3.30.70.2820;G3DSA:1.10.132.60;G3DSA:3.90.1600.10;G3DSA:1.10.3200.20;G3DSA:2.40.50.730;G3DSA:3.30.420.10	SSF53098;SSF56672	PF12254;PF08996;PF00136;PF03104	PR00106	mobidb-lite	Coil	cd05532;cd05776	GO:0003887;GO:0006260;GO:0000166;GO:0003676;GO:0003677	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205	PS00116	SM00486	NA	NA	TIGR00592	NA	NA
PTB63234.1	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65895.1	IPR036259	G3DSA:1.20.1720.10	SSF103473	PF07690	PR01036	mobidb-lite	NA	cd17502	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB64442.1	IPR000253	G3DSA:3.30.200.20;G3DSA:2.60.200.20;G3DSA:1.10.510.10	SSF56112;SSF49879	PF00498;PF00069	NA	mobidb-lite	Coil	cd00060	GO:0005515;GO:0004672;GO:0006468;GO:0005524	NA	PS00108;PS00107	SM00240;SM00220	PS50011;PS50006	NA	NA	NA	NA
PTB66046.1	IPR014710	G3DSA:2.60.120.10	SSF51182	PF00190	NA	NA	NA	NA	GO:0033609;GO:0045735	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	NA	SM00835	NA	NA	TIGR03404	NA	NA
PTB68417.1	IPR000028	G3DSA:1.10.489.10	SSF47571	PF01328	NA	NA	NA	NA	GO:0004601	NA	NA	NA	PS51405	NA	NA	NA	NA
PTB69780.1	IPR010989	G3DSA:1.20.58.70	SSF47661	PF00804;PF05739	NA	mobidb-lite	Coil	cd15849	GO:0016020;GO:0016192	NA	NA	SM00503;SM00397	PS50192	NA	NA	NA	NA
PTB68385.1	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70136.1	IPR042086	G3DSA:1.10.1200.270;G3DSA:3.40.50.150	SSF53335	PF03492	NA	mobidb-lite	NA	NA	GO:0008168	NA	NA	NA	NA	NA	NA	NA	NA
PTB67724.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66736.1	IPR018326	G3DSA:3.30.70.2460;G3DSA:3.90.260.10	SSF54001	PF10403;PF10404;PF03835;PF10405	NA	mobidb-lite	Coil	NA	GO:0003677	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	SM01032;SM01030;SM01031	NA	NA	NA	NA	NA
PTB67642.1	IPR006104	G3DSA:2.60.40.10;G3DSA:3.20.20.80	SSF49303;SSF51445;SSF49785	PF02837;PF00703;PF02836	NA	NA	NA	NA	GO:0004553;GO:0005975	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	NA	NA	NA	NA	NA	NA	NA
PTB65418.1	IPR005336	NA	NA	PF03650	NA	NA	NA	NA	GO:0005743;GO:0006850	NA	NA	NA	NA	NA	NA	NA	NA
PTB68079.1	IPR007785	NA	NA	PF16803;PF05093	NA	NA	NA	NA	GO:0005737;GO:0016226;GO:0051536	Reactome: R-HSA-2564830	NA	NA	NA	NA	NA	MF_03115	NA
PTB61364.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64351.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62948.1	IPR013889	NA	NA	PF08580	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63519.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172;PF11951	NA	NA	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB65131.1	IPR007751	G3DSA:3.40.50.1820	SSF53474	PF05057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63229.1	IPR036770	G3DSA:1.25.40.20	SSF48403	NA	NA	NA	NA	NA	GO:0005515	NA	NA	SM00248	PS50297	NA	NA	NA	NA
PTB67903.1	IPR002110	G3DSA:1.25.40.20	SSF48403	PF12796	NA	NA	NA	NA	GO:0005515	NA	NA	SM00248	PS50297;PS50088	NA	NA	NA	NA
PTB64577.1	IPR000608	G3DSA:3.10.110.10	SSF54495	PF00179	NA	NA	NA	NA		Reactome: R-HSA-983168	NA	SM00212	PS50127	NA	NA	NA	NA
PTB62172.1	IPR011641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM01411	NA	NA	NA	NA	NA
PTB69673.1	IPR029016	G3DSA:3.30.450.40	SSF55781	PF13185	NA	NA	NA	NA	GO:0005515	NA	PS01320	NA	NA	NA	NA	NA	NA
PTB70863.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61548.1	IPR042526	G3DSA:3.10.20.90;G3DSA:1.10.246.190	NA	PF04106	NA	NA	NA	NA	GO:0005737;GO:0006914	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA	NA	NA
PTB66720.1	IPR036887	NA	SSF54616	NA	NA	mobidb-lite	NA	NA	GO:0003677	NA	NA	SM01252	PS51299	NA	NA	NA	NA
PTB68477.1	IPR012341	G3DSA:1.50.10.10;G3DSA:2.60.40.1180;G3DSA:2.70.98.50	SSF48208	PF14498	NA	NA	NA	NA	GO:0003824;GO:0004560	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	NA	NA	NA	PIRSF007663	NA	NA	NA
PTB69743.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62165.1	IPR036249	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	SSF52833;SSF47616	PF13417;PF00043	NA	NA	NA	cd03048	GO:0005515	NA	NA	NA	PS50405;PS50404	NA	NA	NA	SFLDS00019;SFLDG01151
PTB62369.1	IPR020846	G3DSA:1.20.1250.20	SSF103473	PF00083	PR00171	NA	NA	cd17360	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PS00217	NA	PS50850	NA	TIGR00879	NA	NA
PTB61604.1	IPR027417	G3DSA:3.40.50.300;G3DSA:1.10.8.60	SSF52540	PF07724;PF00004;PF10431;PF17871	PR00300	mobidb-lite	Coil	cd00009	GO:0005524	NA	PS00870;PS00871	SM00382;SM01086	NA	NA	NA	NA	NA
PTB68844.1	IPR029063	G3DSA:3.40.50.150	SSF53335	PF13489	NA	mobidb-lite	Coil	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65024.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63166.1	IPR004813	NA	NA	PF03169	NA	mobidb-lite	NA	NA	GO:0055085	NA	NA	NA	NA	NA	TIGR00728;TIGR00727	NA	NA
PTB64482.1	NA	NA	NA	NA	NA	mobidb-lite	NA	cd12087	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63829.1	IPR001202	G3DSA:2.20.70.10	SSF51045	PF00397	NA	mobidb-lite	Coil	cd00201	GO:0005515	NA	PS01159	SM00456	PS50020	NA	NA	NA	NA
PTB67082.1	IPR004167	G3DSA:3.30.559.10;G3DSA:2.40.50.100;G3DSA:4.10.320.10	SSF51230;SSF47005;SSF52777	PF02817;PF00364;PF00198	NA	mobidb-lite	NA	cd06849	GO:0016746	Reactome: R-HSA-389661	PS00189	NA	PS51826;PS50968	NA	NA	NA	NA
PTB63466.1	IPR008334	G3DSA:3.90.780.10;G3DSA:3.60.21.10	SSF55816;SSF56300	PF02872;PF00149	PR01607	NA	NA	cd07409	GO:0009166;GO:0016787	Reactome: R-HSA-196807|Reactome: R-HSA-73621|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA	NA
PTB65196.1	IPR013216	G3DSA:3.40.50.150	SSF53335	PF08241	NA	NA	NA	cd02440	GO:0008168	NA	NA	NA	NA	NA	NA	NA	NA
PTB66294.1	IPR027794	G3DSA:3.60.15.10	SSF56281	PF13691;PF12706	NA	mobidb-lite	NA	cd07718	GO:0008033	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	NA	NA	NA	NA	NA	NA	NA
PTB63186.1	IPR031818	G3DSA:2.40.128.320	NA	PF16815	NA	NA	NA	cd11693;cd11692	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63949.1	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64026.1	IPR029044	G3DSA:3.90.550.10	SSF53448	PF03142	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68836.1	IPR006652	G3DSA:2.120.10.80	SSF50965;SSF117281	PF01344;PF13964;PF13418	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	SM00612	NA	NA	NA	NA	NA
PTB69465.1	IPR026183	NA	NA	PF09728	NA	mobidb-lite	Coil	NA	GO:0019905	NA	NA	NA	NA	NA	NA	NA	NA
PTB70124.1	IPR006905	G3DSA:3.50.50.60	SSF51905	PF04820	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68969.1	IPR035983	G3DSA:3.30.2160.10;G3DSA:3.90.1750.10;G3DSA:3.30.2410.10	SSF56204	PF00632	NA	mobidb-lite	Coil	cd00078	GO:0004842;GO:0005515	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	SM00119	PS50237;PS50096	NA	NA	NA	NA
PTB63995.1	IPR000595	G3DSA:2.60.120.10;G3DSA:3.40.1090.10	SSF51206;SSF52151	PF00027;PF01734	NA	mobidb-lite	Coil	cd00038;cd07227	GO:0006629	NA	NA	SM00100	PS51635;PS50042	NA	NA	NA	NA
PTB61602.1	IPR011108	NA	SSF56281	PF07521;PF13299	NA	mobidb-lite	NA	NA		Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA
PTB66766.1	IPR036291	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	PF00107;PF08240	NA	NA	NA	cd08296	GO:0055114;GO:0008270;GO:0016491	Reactome: R-HSA-71384	PS00059	SM00829	NA	NA	NA	NA	NA
PTB68864.1	IPR014014	G3DSA:3.40.50.300	SSF52540	PF00271;PF00270	NA	mobidb-lite	Coil	cd17957;cd18787	GO:0003676;GO:0005524	NA	NA	SM00490;SM00487	PS51195;PS51192;PS51194	NA	NA	NA	NA
PTB69006.1	IPR002938	G3DSA:3.50.50.60	SSF51905	PF01494	PR00420	NA	NA	NA	GO:0071949	NA	NA	NA	NA	NA	NA	NA	NA
