Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB44428.1	IPR017282	GO:0005634;GO:0006334;GO:0006337;GO:0016573;GO:0042393;GO:0006333	NA	NA	SSF101546	NA	G3DSA:2.60.40.1490	PF04729	mobidb-lite	NA	NA	Coil	NA	NA	PIRSF037759	NA	NA
PTB34939.1	IPR036879	GO:0003677;GO:0046983	NA	NA	SSF55455	NA	NA	PF00319	mobidb-lite	Reactome: R-HSA-525793	NA	NA	NA	NA	NA	NA	NA
PTB42186.1	IPR025016	GO:0016020;GO:0016021	NA	NA	SSF103481	NA	NA	PF13127;PF00892	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35776.1	IPR019095	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	G3DSA:2.40.320.10	PF09637	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA
PTB45029.1	IPR001060	GO:0007165	SM00324;SM00055	PS50238;PS51741	SSF103657;SSF48350	cd07652	G3DSA:1.10.555.10;G3DSA:1.20.1270.60	PF00611;PF00620	mobidb-lite	Reactome: R-HSA-194840	NA	Coil	NA	NA	NA	NA	NA
PTB42984.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB46628.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38477.1	IPR023209	GO:0003884;GO:0046416;GO:0071949;GO:0016491;GO:0055114	NA	NA	SSF51971;SSF54373	NA	G3DSA:3.30.9.10;G3DSA:3.40.50.720	PF01266	NA	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PS00677	NA	NA	NA	PIRSF000189	NA	NA
PTB45171.1	IPR042188	GO:0016829;GO:0019629;GO:0047547;GO:0051537	NA	NA	SSF103378	NA	G3DSA:3.30.1330.120;G3DSA:1.10.4100.10	PF03972	NA	KEGG: 00640+4.2.1.79	NA	NA	NA	TIGR02330	NA	NA	NA
PTB38261.1	IPR026584	GO:0000077;GO:0006281;GO:0030896	NA	NA	SSF55979	NA	G3DSA:3.70.10.10	PF04139	mobidb-lite	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	NA	PIRSF009303	NA	NA
PTB45708.1	IPR011833	GO:0004645;GO:0005975;GO:0030170;GO:0008184	NA	NA	SSF53756	cd04300	G3DSA:3.40.50.2000	PF00343	NA	KEGG: 00500+2.4.1.1|MetaCyc: PWY-5941|MetaCyc: PWY-6731|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-70221	PS00102	NA	NA	TIGR02093	PIRSF000460	NA	NA
PTB43887.1	IPR011701	GO:0055085	NA	PS50850	SSF103473	cd17333	G3DSA:1.20.1250.20	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44629.1	IPR036259	NA	NA	NA	SSF103473	cd17352	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39811.1	IPR000627	GO:0003824;GO:0006725;GO:0008199;GO:0055114;GO:0005506;GO:0016702	NA	NA	SSF49482	cd03457	G3DSA:2.60.130.10	PF00775	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45045.1	IPR011057	GO:0016846	NA	NA	SSF51316	NA	G3DSA:2.170.150.70	PF04828	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	NA
PTB34927.1	IPR004254	GO:0016021	NA	NA	NA	NA	NA	PF03006	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44462.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB40560.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB43849.1	IPR014001	GO:0003676;GO:0005524	SM00490;SM00487	PS51192;PS51195;PS51194	SSF52540	cd00268;cd18787	G3DSA:3.40.50.300	PF00271;PF00270	mobidb-lite	NA	PS00039	Coil	NA	NA	NA	NA	NA
PTB38751.1	IPR009349	GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	PF06221	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41330.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB41376.1	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	NA	NA	SSF54631;SSF81340	cd04591;cd03684	G3DSA:3.10.580.10;G3DSA:1.10.3080.10	PF00654	mobidb-lite	Reactome: R-HSA-2672351	NA	NA	PR00762	NA	NA	NA	NA
PTB40911.1	IPR008949	GO:0016838	NA	NA	SSF48576	NA	G3DSA:1.10.600.10	NA	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	NA	NA	NA	SFLDG01021;SFLDS00005	NA
PTB42873.1	IPR008733	GO:0005779;GO:0016559	NA	NA	NA	NA	NA	PF05648	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40446.1	IPR027785	NA	NA	NA	SSF52540	cd18786	G3DSA:3.40.50.300	PF13538	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36509.1	IPR016024	NA	NA	NA	SSF48371	NA	NA	PF05536	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36453.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	PS00086	NA	PR00463;PR00385	NA	NA	NA	NA
PTB44899.1	IPR002110	GO:0005515	SM00248	PS50088;PS50297	SSF48403	NA	G3DSA:1.25.40.20	PF12796;PF13637	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46168.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45213.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	NA	cd12148	NA	PF04082	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40021.1	IPR036322	GO:0005515	SM00320	PS50082;PS50294	SSF50978	NA	G3DSA:2.130.10.10	NA	mobidb-lite	NA	PS00678	NA	NA	NA	NA	NA	NA
PTB35584.1	IPR036812	NA	NA	NA	SSF51430	cd06660	G3DSA:3.20.20.100	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37074.1	IPR008266	GO:0004672;GO:0006468;GO:0004713;GO:0005524	SM00219	PS50011	SSF56112	cd14132	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	NA	NA	PS00109	NA	NA	NA	NA	NA	NA
PTB45149.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	SSF57701	cd00067;cd12148	G3DSA:4.10.240.10	PF04082;PF00172	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45572.1	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00355	PS50157	SSF57667	cd12148	G3DSA:3.30.160.60	PF04082;PF00096	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA
PTB46923.1	IPR041715	GO:0004821;GO:0005524;GO:0006427	NA	PS50862	SSF55681;SSF52954	cd00773;cd00859	G3DSA:3.30.930.10;G3DSA:3.40.50.800	PF13393;PF03129	mobidb-lite	KEGG: 00970+6.1.1.21	NA	Coil	NA	TIGR00442	NA	NA	MF_00127
PTB37958.1	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	SSF51905	NA	NA	PF00743	NA	NA	NA	NA	PR00370	NA	PIRSF000332	NA	NA
PTB43327.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066	PS50048	SSF57701	cd00067;cd12148	G3DSA:4.10.240.10	PF04082;PF00172	NA	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB43378.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35555.1	IPR002347	GO:0016491	NA	NA	SSF51735	cd05374	G3DSA:3.40.50.720	PF00106	NA	NA	PS00061	NA	PR00080;PR00081	NA	NA	NA	NA
PTB43515.1	IPR005828	GO:0016021;GO:0022857;GO:0055085	NA	PS50850	SSF103473	cd17316	G3DSA:1.20.1250.20	PF00083	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42543.1	IPR027417	GO:0004386;GO:0003676;GO:0005524	SM00490;SM00487;SM00847	PS51192;PS51194	SSF52540	cd18791;cd17982	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	PF07717;PF04408;PF00271;PF00270	mobidb-lite	NA	PS00690	Coil	NA	NA	NA	NA	NA
PTB45375.1	IPR038340	GO:0003735;GO:0005761;GO:0006412	NA	NA	NA	NA	G3DSA:1.20.1280.190	PF06984	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA
PTB36601.1	IPR036388	NA	NA	NA	SSF58104	NA	G3DSA:1.10.287.950;G3DSA:1.10.10.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38401.1	IPR004098	GO:0005681;GO:0008380	SM00500	NA	SSF158230;SSF47938	NA	G3DSA:1.20.940.10;G3DSA:1.10.720.150	PF02840;PF08799	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41277.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39231.1	IPR001810	GO:0005515	NA	PS50181	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42184.1	IPR002226	GO:0020037;GO:0004096;GO:0055114;GO:0006979	SM01060	PS51402	SSF56634	cd08157	G3DSA:2.40.180.10	PF00199;PF06628	mobidb-lite	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PS00437;PS00438	NA	PR00067	NA	PIRSF038928	NA	NA
PTB46874.1	IPR001810	GO:0005515	SM00256;SM00558	PS50181;PS51184	SSF81383;SSF51197	NA	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	PF13621;PF12937	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42579.1	IPR036291	NA	NA	NA	SSF51735	cd05233	G3DSA:3.40.50.720	PF13561	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
PTB35276.1	IPR003675	GO:0004197;GO:0016020;GO:0071586	NA	NA	NA	NA	NA	PF02517	NA	Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA
PTB34902.1	IPR029063	GO:0008171	NA	PS51682	SSF53335	cd02440	G3DSA:3.40.50.150	PF01596	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38332.1	IPR014710	NA	NA	NA	SSF51182	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40017.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39241.1	IPR036770	GO:0005515	SM00248	PS50088;PS50297	SSF48403;SSF52540	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PF13637;PF12796;PF05729;PF13857	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB46083.1	IPR007240	GO:0006914	NA	NA	NA	NA	NA	PF04108	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35755.1	IPR029044	NA	NA	NA	SSF53448	NA	G3DSA:3.90.550.20	PF05704	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40272.1	IPR023617	GO:0004831;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0006437	NA	NA	SSF52374	NA	G3DSA:1.10.240.10;G3DSA:3.40.50.620	PF00579	mobidb-lite	KEGG: 00970+6.1.1.1	NA	NA	PR01040	TIGR00234	PIRSF006588	NA	NA
PTB35410.1	IPR013087	GO:0003676	SM00355	NA	SSF57667	NA	G3DSA:3.30.160.60	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38081.1	IPR002124	GO:0004129;GO:0005740	NA	PS51359	SSF57802	cd00924	G3DSA:2.60.11.10	PF01215	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA
PTB41463.1	IPR005198	GO:0003824	NA	NA	SSF48208	NA	G3DSA:1.50.10.20	PF03663	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41593.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36077.1	IPR020618	GO:0004017;GO:0005524	NA	NA	SSF52540	NA	G3DSA:3.40.50.300	PF13238	NA	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	NA	NA	NA	NA	NA	NA	MF_00039
PTB42413.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35524.1	IPR000731	GO:0005515	SM00320	PS50156	SSF82866;SSF50978	NA	NA	PF12349	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46869.1	IPR001623	NA	SM00271	PS50076	SSF46565	cd06257	NA	PF00226	mobidb-lite	NA	NA	Coil	PR00625	NA	NA	NA	NA
PTB38258.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43196.1	IPR001214	GO:0005515	NA	PS50280	SSF82199;SSF48452	NA	G3DSA:2.170.270.10;G3DSA:3.30.60.180	PF00856	NA	NA	PS01360	NA	NA	NA	NA	NA	NA
PTB41539.1	IPR013083	NA	SM00249	PS50016	SSF57903	cd15552	G3DSA:3.30.40.10	PF00628	mobidb-lite	NA	PS01359	NA	NA	NA	NA	NA	NA
PTB43142.1	IPR001509	GO:0003824;GO:0050662	NA	NA	SSF51735	NA	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42109.1	IPR000612	GO:0016021	NA	NA	NA	NA	NA	PF01679	NA	NA	PS01309	NA	NA	NA	NA	NA	NA
PTB43785.1	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF11951;PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB38971.1	IPR001623	NA	SM00271	PS50076	SSF46565	cd06257	G3DSA:1.10.287.110	PF00226	NA	NA	NA	NA	PR00625	NA	NA	NA	NA
PTB38079.1	IPR029044	GO:0000030;GO:0006486;GO:0016020	NA	NA	SSF53448	NA	G3DSA:3.90.550.10	PF01793	mobidb-lite	NA	NA	NA	NA	NA	PIRSF018153	NA	NA
PTB41679.1	IPR017946	GO:0006629;GO:0008081	SM00148	PS50007	SSF51695	cd08586	G3DSA:3.20.20.190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43464.1	IPR001841	NA	SM00184	PS50089	SSF57850	cd16454	G3DSA:3.30.40.10	PF13639	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42851.1	IPR036188	GO:0045454;GO:0055114;GO:0016491;GO:0050660	SM00450	PS50206	SSF51905;SSF52821;SSF55424	NA	G3DSA:3.50.50.60;G3DSA:3.40.250.10	PF02852;PF00581;PF07992	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA
PTB35022.1	IPR019545	NA	SM00686	PS51549	NA	NA	NA	PF10517	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35823.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40611.1	IPR004000	NA	SM00268	NA	SSF53067	cd00012	G3DSA:3.30.420.40;G3DSA:3.90.640.10	PF00022	mobidb-lite	NA	PS00432	NA	NA	NA	NA	NA	NA
PTB40574.1	IPR020999	NA	NA	NA	NA	NA	NA	PF12273	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45865.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40787.1	IPR027521	GO:0004518;GO:0034477	NA	NA	NA	NA	G3DSA:3.90.1140.10	PF09749	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	MF_03040
PTB43409.1	IPR036388	NA	NA	NA	NA	NA	G3DSA:1.10.10.10	PF03501	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36107.1	IPR011047	GO:0005515	NA	NA	SSF50998;SSF53474;SSF50978	NA	G3DSA:3.40.50.1820;G3DSA:2.130.10.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41395.1	IPR019150		NA	NA	NA	NA	NA	PF09753	mobidb-lite	Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA
PTB44536.1	IPR036047	GO:0005515	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37900.1	IPR024969	GO:0005515	SM00232	PS50249	SSF102712	cd08069	G3DSA:3.40.140.10	PF13012;PF01398	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35545.1	IPR004813	GO:0055085	NA	NA	NA	NA	NA	PF03169	mobidb-lite	NA	NA	NA	NA	TIGR00728	NA	NA	NA
PTB45228.1	IPR012337	GO:0003676;GO:0000166;GO:0003677;GO:0003887	SM00486	NA	SSF53098;SSF56672	cd05534;cd05778	G3DSA:3.30.420.10;G3DSA:1.10.287.690;G3DSA:1.10.132.60;G3DSA:3.90.1600.10;G3DSA:3.30.342.10	PF00136;PF14260;PF03104	mobidb-lite	NA	PS00116	NA	PR00106	NA	NA	NA	NA
PTB40818.1	IPR007074	NA	NA	NA	NA	NA	NA	PF04991	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35198.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38743.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB38568.1	IPR039470	NA	NA	NA	SSF52309	NA	G3DSA:3.40.50.450	PF15891	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42412.1	IPR016181	GO:0008080	NA	PS51186	SSF55729	NA	G3DSA:3.40.630.30	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39394.1	IPR011032	GO:0008270;GO:0016491;GO:0055114	NA	NA	SSF50129;SSF51735	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	Reactome: R-HSA-71384	PS00059	NA	NA	NA	NA	NA	NA
PTB42281.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43094.1	IPR004108	NA	NA	NA	SSF53920	NA	G3DSA:3.40.50.1780;G3DSA:3.40.950.20	PF02906	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44144.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39967.1	IPR002347	NA	NA	NA	SSF51735	cd05339	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
PTB45791.1	IPR004431	GO:0003861;GO:0009098;GO:0009316;GO:0051539	NA	NA	SSF53732;SSF52016	cd01577;cd01583	G3DSA:3.30.499.10;G3DSA:3.30.499.20;G3DSA:3.20.19.10	PF00694;PF00330	NA	KEGG: 00290+4.2.1.33	PS00450;PS01244	NA	PR00415	TIGR00170;TIGR00171	PIRSF001418	NA	MF_01031;MF_01026
PTB36304.1	IPR002379	GO:0015078;GO:0033177;GO:1902600;GO:0033179	NA	NA	SSF81333	cd18176;cd18175	G3DSA:1.20.120.610	PF00137	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	PR00122	TIGR01100	NA	NA	NA
PTB44494.1	IPR025305	GO:0006511;GO:0036459;GO:0016579	NA	PS50235	SSF54001	cd02666	G3DSA:3.90.70.10	PF13446;PF00443	mobidb-lite	NA	PS00972;PS00973	NA	NA	NA	NA	NA	NA
PTB41358.1	NA	NA	NA	NA	SSF69989	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB35828.1	IPR017148	NA	NA	NA	NA	NA	NA	PF06650;PF16908;PF16909;PF16910;PF12624	mobidb-lite	NA	NA	Coil	NA	NA	PIRSF037235	NA	NA
PTB39299.1	IPR032880	GO:0016020	NA	NA	NA	NA	NA	PF13967;PF02714;PF14703	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB40410.1	IPR020683	GO:0005515	SM00248	PS50088;PS50297	SSF48403	NA	G3DSA:1.25.40.20	PF12796	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36217.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PS51387	SSF56176	NA	G3DSA:3.40.462.20;G3DSA:3.30.43.10;G3DSA:3.30.465.10	PF01565;PF08031	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47013.1	IPR013650	GO:0005524;GO:0046872	NA	PS50975	SSF56059;SSF52210	NA	G3DSA:3.30.470.110;G3DSA:3.40.50.261	PF08442;PF16114	NA	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403	NA	NA	NA	NA	NA	NA	NA
PTB35580.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	NA	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB36682.1	IPR036406	GO:0004109;GO:0006779;GO:0055114	NA	NA	SSF102886	NA	G3DSA:3.40.1500.10	PF01218	NA	KEGG: 00860+1.3.3.3|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	PR00073	NA	NA	NA	NA
PTB43430.1	IPR005113	GO:0035556	SM00800;SM00799;SM00109;SM00801	PS50081;PS50211	SSF57889	NA	G3DSA:3.40.50.11500	PF03456;PF02141;PF03455	mobidb-lite	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
PTB38595.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41264.1	IPR029058	NA	NA	NA	SSF53474	NA	NA	PF00561	mobidb-lite	NA	NA	NA	PR00111	NA	NA	NA	NA
PTB39993.1	IPR019098	NA	SM01082	NA	NA	NA	NA	PF09649	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36652.1	IPR009360	GO:0000350	NA	NA	SSF140102	NA	G3DSA:1.10.287.660	PF06246	mobidb-lite	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	Coil	NA	NA	NA	NA	NA
PTB44726.1	IPR036404	NA	SM00915	PS51752	SSF51101	NA	G3DSA:2.100.10.30	PF12044	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41396.1	IPR013170	NA	SM01115	NA	NA	NA	NA	PF08312	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44768.1	IPR008030		NA	NA	SSF51735	cd05271	G3DSA:3.40.50.720	PF05368	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB40121.1	IPR020915	NA	NA	NA	NA	NA	G3DSA:2.40.160.20	PF11578	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36907.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41116.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	PS50850	SSF103473	cd17356	G3DSA:1.20.1250.20	PF00083	NA	Reactome: R-HSA-189200	NA	NA	NA	TIGR00879	NA	NA	NA
PTB44345.1	IPR004598	GO:0000439;GO:0001671;GO:0006289	NA	NA	NA	NA	G3DSA:3.30.70.2610	PF03849;PF18307	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	NA	NA	TIGR00625	NA	NA	NA
PTB42504.1	IPR011009	NA	NA	NA	SSF56112	NA	G3DSA:3.90.1200.10	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45403.1	IPR003817	GO:0004609;GO:0008654	NA	NA	NA	NA	NA	PF02666	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	NA	NA	NA	TIGR00163	NA	NA	NA
PTB35998.1	IPR001494	GO:0006886;GO:0008536	SM00913	PS50166	SSF48371	NA	G3DSA:1.25.10.10	PF13513;PF03810	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42122.1	IPR012501	GO:0042147	NA	NA	NA	NA	NA	PF07928	mobidb-lite	Reactome: R-HSA-6811440	NA	Coil	NA	NA	NA	NA	NA
PTB44928.1	IPR007867	GO:0016614;GO:0055114;GO:0050660	NA	NA	SSF53474;SSF51905	NA	G3DSA:3.40.50.1820	PF05199;PF00732	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA	NA	NA	NA
PTB34941.1	IPR036420	NA	NA	PS50172	SSF52113	NA	G3DSA:3.40.50.10190	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41397.1	IPR009772	NA	NA	NA	NA	NA	NA	PF07065	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43615.1	IPR000868	GO:0003824	NA	NA	SSF52499	cd01011	G3DSA:3.40.50.850	PF00857	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42878.1	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	NA	SSF48225	NA	G3DSA:1.50.10.10	PF01532	NA	NA	NA	NA	PR00747	NA	NA	NA	NA
