Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR50538.1	mobidb-lite	IPR013665	NA	NA	NA	NA	NA	NA	NA	NA	PF08457	Coil	NA	NA	NA	NA	NA
EGR52152.1	mobidb-lite	IPR007206	NA	NA	NA	NA	NA	NA	NA	SSF48371	PF04064;PF04063	NA	NA	NA	NA	NA	NA
EGR48724.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51139.1	mobidb-lite	IPR022233	NA		NA	NA	NA	NA	NA	NA	PF12584	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA
EGR49802.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF50475	PF13883	NA	NA	NA	NA	NA	NA
EGR50398.1	NA	IPR033910	NA	GO:0006424;GO:0008270;GO:0000166;GO:0004812;GO:0005524;GO:0043039;GO:0004818	PR00987	G3DSA:3.40.50.620	cd00808	NA	NA	SSF52374	PF00749	NA	NA	KEGG: 00860+6.1.1.17|KEGG: 00970+6.1.1.17|MetaCyc: PWY-5188|Reactome: R-HSA-379726	MF_00022	TIGR00464	NA
EGR47807.1	mobidb-lite	IPR000504	SM00360	GO:0003676	NA	G3DSA:3.30.70.330	NA	NA	PS50102	SSF54928	PF00076	NA	NA	NA	NA	NA	NA
EGR49951.1	mobidb-lite	IPR012923	NA	GO:0005634;GO:0006974;GO:0048478	NA	NA	NA	NA	NA	NA	PF07962	NA	NA	Reactome: R-HSA-5693607	NA	NA	NA
EGR45128.1	NA	IPR029058	NA	NA	NA	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EGR52518.1	NA	IPR003448	NA	GO:0006777;GO:0005829;GO:0019008;GO:0030366	NA	G3DSA:3.90.1170.40	cd00756	NA	NA	SSF54690	PF02391	NA	NA	KEGG: 00790+2.8.1.12|MetaCyc: PWY-6823|MetaCyc: PWY-7887|Reactome: R-HSA-947581	MF_03052	NA	NA
EGR49450.1	NA	IPR007219	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	NA	PF04082	NA	NA	NA	NA	NA	NA
EGR46976.1	NA	IPR002684	SM00729;SM00876	GO:0004076;GO:0009102;GO:0003824;GO:0051536	NA	G3DSA:3.20.20.70	cd01335	NA	NA	SSF102114	PF04055;PF06968	NA	PIRSF001619	KEGG: 00780+2.8.1.6|MetaCyc: PWY-7380	MF_01694	TIGR00433	SFLDG01278;SFLDF00272
EGR46817.1	mobidb-lite	IPR031766	SM00386;SM00360	GO:0003676;GO:0005515;GO:0006396	NA	G3DSA:3.30.70.330;G3DSA:1.25.40.10	cd12299;cd12297;cd12296;cd00590	NA	PS50102	SSF54928;SSF48452	PF00076;PF16842	Coil	NA	NA	NA	NA	NA
EGR46297.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45599.1	mobidb-lite	IPR002885	NA	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	PS51375	NA	NA	NA	NA	NA	NA	NA	NA
EGR49560.1	NA	IPR002433	NA	GO:0006596;GO:0003824	PR01182;PR01179	G3DSA:2.40.37.10;G3DSA:3.20.20.10	cd00622	PS00878;PS00879	NA	SSF51419;SSF50621	PF00278;PF02784	NA	NA	NA	NA	NA	NA
EGR47505.1	NA	IPR003154	NA	GO:0003676;GO:0004519;GO:0006308;GO:0016788	NA	G3DSA:1.10.575.10	cd11010	NA	NA	SSF48537	PF02265	NA	NA	NA	NA	NA	NA
EGR49678.1	NA	IPR022237	NA	GO:0004609;GO:0008654	NA	NA	NA	NA	NA	NA	PF12588;PF02666	NA	NA	KEGG: 00380+4.1.1.105|KEGG: 00901+4.1.1.105|MetaCyc: PWY-3181|MetaCyc: PWY-5290|MetaCyc: PWY-5473|MetaCyc: PWY-581|MetaCyc: PWY-5877|MetaCyc: PWY-6307|MetaCyc: PWY-7936	NA	NA	NA
EGR50500.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48929.1	NA	IPR029063	NA	NA	NA	G3DSA:3.40.50.150	cd02440	NA	NA	SSF53335	PF13489	NA	NA	NA	NA	NA	NA
EGR52872.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR44551.1	NA	IPR006680	NA	GO:0016787	NA	G3DSA:3.20.20.140	NA	NA	NA	SSF51556	PF04909	NA	NA	NA	NA	NA	NA
EGR51468.1	NA	IPR036396	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00463	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR52420.1	NA	IPR001155	NA	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	G3DSA:3.20.20.70	cd04733	NA	NA	SSF51395	PF00724	NA	NA	NA	NA	NA	NA
EGR49945.1	mobidb-lite	IPR001810	NA	GO:0005515	NA	NA	NA	NA	PS50294;PS50082	SSF81383;SSF50969	PF12937	NA	NA	NA	NA	NA	NA
EGR44354.1	NA	IPR036908	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46858.1	NA	IPR038763	SM01131	GO:0005737;GO:0016462	NA	G3DSA:3.90.1640.10;G3DSA:3.10.310.20	NA	NA	NA	SSF64182	PF02833;PF01368	NA	NA	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807	NA	NA	NA
EGR51341.1	mobidb-lite	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	NA	PS00463	PS50048	SSF57701	PF11951;PF00172	NA	NA	NA	NA	NA	NA
EGR52268.1	NA	IPR002171	SM01383;SM01382	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:2.30.30.30;G3DSA:2.40.50.140;G3DSA:4.10.950.10	NA	PS00467	NA	SSF50104;SSF50249	PF03947;PF00181	NA	PIRSF002158	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA
EGR45143.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR48678.1	NA	IPR018559	NA	NA	NA	NA	NA	NA	NA	NA	PF09435	NA	NA	NA	NA	NA	NA
EGR52226.1	mobidb-lite	IPR001005	SM00717	GO:0003677	NA	G3DSA:1.10.10.60	cd00167	NA	PS51293	SSF46689	PF15963	Coil	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA
EGR47720.1	mobidb-lite	IPR036864	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd12148;cd00067	PS00463	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR45946.1	NA	IPR001810	NA	GO:0005515	NA	NA	NA	NA	PS50181	SSF81383	NA	Coil	NA	NA	NA	NA	NA
EGR48747.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR46339.1	mobidb-lite	IPR012349	SM00903	GO:0048037;GO:0010181	NA	G3DSA:2.30.110.10	NA	NA	NA	SSF50475	PF01613	NA	NA	NA	NA	NA	NA
EGR44431.1	mobidb-lite	IPR036864	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067	NA	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR46766.1	mobidb-lite	IPR010473	SM01140	GO:0003779;GO:0017048;GO:0030036	NA	NA	NA	NA	NA	SSF48371	PF06371	NA	NA	NA	NA	NA	NA
EGR52122.1	mobidb-lite	IPR036975	SM00185	GO:0005634;GO:0005737;GO:0006606;GO:0140142;GO:0005515;GO:0061608;GO:0042025	NA	G3DSA:1.20.5.690;G3DSA:1.25.10.10	NA	NA	PS50176;PS51214	SSF48371	PF16186;PF00514;PF01749	Coil	PIRSF005673	Reactome: R-HSA-1169408|Reactome: R-HSA-168276	NA	NA	NA
EGR48533.1	mobidb-lite	IPR000396	NA	GO:0004115;GO:0006198	PR00388	NA	cd07735	NA	NA	SSF56281	PF02112	NA	NA	NA	NA	NA	NA
EGR50619.1	mobidb-lite	IPR015257	NA	GO:0016480	NA	G3DSA:3.40.1000.50	NA	NA	NA	NA	PF09174	NA	PIRSF037240	Reactome: R-HSA-8943724	NA	NA	NA
EGR51332.1	NA	IPR036250	NA	GO:0016627;GO:0055114;GO:0050660;GO:0003995	NA	G3DSA:1.20.140.10;G3DSA:1.10.540.10;G3DSA:2.40.110.10	cd01158	PS00072;PS00073	NA	SSF47203;SSF56645	PF02771;PF02770;PF00441	NA	NA	NA	NA	NA	NA
EGR45084.1	NA	IPR027417	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
EGR48894.1	mobidb-lite	IPR000182	NA	GO:0008080	NA	NA	cd04301	NA	PS51186	SSF55729	PF00583	NA	NA	NA	NA	NA	NA
EGR51251.1	NA	IPR001128	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00385;PR00463	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR48999.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51273.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR44906.1	mobidb-lite	IPR037256	SM01010	GO:0005515	NA	G3DSA:3.30.160.760;G3DSA:2.60.40.10	cd02859	NA	NA	SSF160219;SSF81296	PF04739;PF16561	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9613354|Reactome: R-HSA-9619483	NA	NA	NA
EGR52283.1	mobidb-lite	IPR019165	NA	GO:0004222	NA	NA	NA	NA	NA	NA	PF09768	NA	NA	NA	NA	NA	NA
EGR45151.1	mobidb-lite	IPR020301	NA	NA	NA	NA	NA	NA	NA	NA	PF10906	NA	NA	NA	NA	NA	NA
EGR51827.1	NA	IPR019727	NA	GO:0000276;GO:0015986	NA	NA	NA	NA	NA	NA	PF10791	NA	NA	NA	NA	NA	NA
EGR51961.1	mobidb-lite	IPR029033	NA		NA	G3DSA:3.40.50.11950;G3DSA:3.30.470.100;G3DSA:3.40.50.1240	NA	NA	NA	SSF53254	PF18086;PF00328;PF08443	Coil	NA	KEGG: 04070+2.7.4.24+2.7.4.21|MetaCyc: PWY-6369|Reactome: R-HSA-1855167	NA	NA	NA
EGR48543.1	mobidb-lite	IPR011992	SM00054	GO:0005509	NA	G3DSA:1.10.238.10	NA	PS00018	PS50222	SSF47473	PF13405	NA	NA	NA	NA	NA	NA
EGR51608.1	NA	IPR011701	NA	GO:0055085	NA	G3DSA:1.20.1250.20	cd17352	NA	PS50850	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR44372.1	mobidb-lite	IPR002347	NA	NA	PR00081	G3DSA:3.40.50.720	cd05374	NA	NA	SSF51735	PF00106	Coil	NA	NA	NA	NA	NA
EGR44784.1	NA	IPR010829	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	NA	SSF50685	PF07249	NA	NA	NA	NA	NA	NA
EGR50147.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47338.1	mobidb-lite	IPR008271	SM00220	GO:0004672;GO:0006468;GO:0005524;GO:0004674	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd05578	PS00108;PS00107	PS51285;PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR49861.1	NA	IPR003663	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PR00171	G3DSA:1.20.1250.20	cd17356	PS00216	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR50412.1	NA	IPR011008	NA	NA	NA	NA	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA
EGR52642.1	NA	IPR012485	NA	GO:0000776;GO:0034508	NA	NA	NA	NA	NA	NA	PF07778	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA
EGR47154.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46001.1	NA	IPR002938	NA	GO:0071949	PR00420	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	PF01494	Coil	NA	NA	NA	NA	NA
EGR50123.1	mobidb-lite	IPR017986	SM00320	GO:0005515	NA	NA	NA	NA	PS50294;PS50082	SSF50978	PF00400	NA	NA	NA	NA	NA	NA
EGR46906.1	NA	IPR011990	NA	GO:0005515	NA	NA	NA	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA
EGR49805.1	mobidb-lite	IPR019194	NA		NA	NA	NA	NA	NA	NA	PF09816	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	NA	NA
EGR50465.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR44171.1	NA	IPR014038	SM00888;SM01182	GO:0003746;GO:0006414;GO:0005853	NA	G3DSA:1.20.1050.130;G3DSA:3.30.70.60	cd10308;cd00292	PS00824;PS00825	NA	SSF47616;SSF54984	PF00736;PF10587	Coil	NA	Reactome: R-HSA-156842	NA	NA	NA
EGR44695.1	NA	IPR001138	SM00066	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd12148;cd00067	PS00463	PS50048	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR45615.1	mobidb-lite	IPR000719	SM00220	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd14210	PS00108;PS00107	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR50858.1	mobidb-lite	IPR036396	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00463;PR00385	NA	NA	PS00086	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR51078.1	mobidb-lite	IPR012681	NA	GO:0016020;GO:0022857;GO:0055085	NA	G3DSA:1.10.4160.10	cd11482	NA	NA	NA	PF02133	NA	NA	NA	NA	TIGR00800	NA
EGR49052.1	NA	IPR003378	NA	GO:0016020;GO:0016757	NA	G3DSA:3.90.550.50	NA	NA	NA	NA	PF02434	NA	NA	NA	NA	NA	NA
EGR51324.1	mobidb-lite	IPR001138	SM00066;SM00906	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	cd12148;cd00067	PS00463	PS50048	SSF57701	PF04082;PF00172	NA	NA	NA	NA	NA	NA
EGR47682.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45612.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SSF52058	NA	NA	NA	NA	NA	NA	NA
EGR44201.1	mobidb-lite	IPR007484	NA	NA	NA	NA	cd03875	NA	NA	SSF53187	PF04389	NA	NA	NA	NA	NA	NA
EGR44225.1	mobidb-lite	IPR015943	SM00256;SM00320	GO:0005515	PR00320	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	cd00200	PS00678	PS50181;PS50082;PS50294	SSF50978;SSF81383	PF00400;PF12937	NA	NA	NA	NA	NA	NA
EGR53114.1	NA	IPR013097	SM00886	NA	NA	G3DSA:3.30.70.100	NA	NA	PS51502	SSF54909	PF07876	NA	NA	NA	NA	NA	NA
EGR47191.1	NA	IPR035977	NA	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	SSF57840	PF00444	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	MF_00251	TIGR01022	NA
EGR44978.1	mobidb-lite	IPR014001	SM00184;SM00487	GO:0005524	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	cd18793;cd18070	PS00518	PS51192;PS50089;PS51194	SSF52540;SSF57850	PF00176;PF13639	Coil	NA	NA	NA	NA	NA
EGR46714.1	mobidb-lite	IPR018851	NA		NA	NA	NA	NA	NA	NA	PF10444	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA
EGR44256.1	mobidb-lite	IPR029044	NA	NA	NA	G3DSA:3.90.550.10	NA	NA	NA	SSF53448	PF03142	NA	NA	NA	NA	NA	NA
EGR45423.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR50311.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52487.1	NA	IPR002402	NA	GO:0004497;GO:0005506;GO:0020037;GO:0055114;GO:0016712;GO:0016705	PR00464;PR01239;PR00385	G3DSA:1.10.630.10	NA	PS00086	NA	SSF48264	PF00067	NA	NA	Reactome: R-HSA-211981	NA	NA	NA
EGR49046.1	NA	IPR002347	NA	GO:0016491	PR00081	G3DSA:3.40.50.720	cd05233	PS00061	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR49271.1	NA	IPR032675	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	SSF52047	NA	NA	NA	NA	NA	NA	NA
EGR44374.1	NA	IPR033740	NA	GO:0070006;GO:0016787	NA	G3DSA:3.90.230.10;G3DSA:3.40.350.10	cd01085	PS00491	NA	SSF53092;SSF55920	PF00557;PF16188;PF01321;PF16189	Coil	NA	NA	NA	NA	NA
EGR50936.1	mobidb-lite	IPR001202	SM00456	GO:0005515	NA	G3DSA:2.20.70.10	cd00201	PS01159	PS50020	SSF51045	PF00397	NA	NA	NA	NA	NA	NA
EGR50057.1	mobidb-lite	IPR031468	NA	GO:0008289	NA	NA	NA	NA	PS51847	NA	PF10296	NA	NA	NA	NA	NA	NA
EGR47459.1	mobidb-lite	IPR017441	SM00220	GO:0005524;GO:0004672;GO:0006468	NA	G3DSA:1.10.510.10	NA	PS00107;PS00108	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR44660.1	NA	IPR002347	NA	NA	PR00081;PR00080	G3DSA:3.40.50.720	cd05233	NA	NA	SSF51735	PF13561	NA	NA	NA	NA	NA	NA
EGR47223.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48343.1	mobidb-lite	IPR040692	NA	GO:0003980;GO:0006486	NA	G3DSA:3.90.550.10	cd06432	NA	NA	SSF53448	PF18402;PF06427;PF18401;PF18400;PF18404;PF18403	NA	NA	Reactome: R-HSA-901032	NA	NA	NA
EGR50653.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47605.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45877.1	NA	IPR013657	NA	GO:0055085	NA	NA	NA	NA	NA	NA	PF08449	NA	NA	NA	NA	TIGR00803	NA
EGR49080.1	mobidb-lite	IPR036404	NA	NA	NA	G3DSA:2.100.10.30	NA	NA	PS51752	SSF51101	PF12044	NA	NA	NA	NA	NA	NA
EGR51098.1	NA	IPR016040	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF13460	NA	NA	NA	NA	NA	NA
EGR44658.1	NA	IPR036412	NA	NA	NA	G3DSA:1.10.150.750;G3DSA:3.40.50.1000	NA	NA	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA
EGR48708.1	NA	IPR004686	NA	GO:0006811;GO:0015075;GO:0016020;GO:0055085	NA	NA	NA	NA	NA	NA	PF03820	NA	NA	NA	NA	NA	NA
EGR49118.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48861.1	mobidb-lite	IPR002119	SM00414	GO:0000786;GO:0003677;GO:0046982	PR00620	G3DSA:1.10.20.10	cd00074	PS00046	NA	SSF47113	PF00125;PF16211	NA	NA	Reactome: R-HSA-3214858	NA	NA	NA
EGR47763.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52051.1	mobidb-lite	IPR015404	SM00312	GO:0035091;GO:0015031;GO:0030904;GO:0042147	NA	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	cd06891	NA	NA	SSF64268	PF09325;PF00787	Coil	PIRSF011791	NA	NA	NA	NA
EGR44285.1	mobidb-lite	IPR013761	SM00454	GO:0003729;GO:0043488;GO:0005515	NA	G3DSA:1.10.150.50	cd09556	NA	PS50105	SSF47769	PF07647	Coil	NA	NA	NA	NA	NA
EGR48841.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45810.1	mobidb-lite	IPR026569	NA	GO:0003735	NA	G3DSA:2.30.170.40	NA	NA	NA	SSF143800	PF00830	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA
EGR51853.1	mobidb-lite	IPR000156	SM00160;SM00490;SM00487	GO:0046907;GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300	cd17923;cd18797	NA	PS51192;PS50196;PS51194	SSF50729;SSF52540	PF09369;PF00271;PF00270;PF08839	NA	NA	Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69205	NA	NA	NA
EGR45888.1	NA	IPR019236	NA	NA	NA	NA	NA	NA	NA	NA	PF09949	NA	NA	NA	NA	NA	NA
EGR50660.1	mobidb-lite	IPR004813	NA	GO:0055085	NA	NA	NA	NA	NA	NA	PF03169	NA	NA	NA	NA	TIGR00728;TIGR00727	NA
EGR50651.1	mobidb-lite	IPR013083	SM01408;SM00249	NA	NA	G3DSA:3.30.40.10	cd17017;cd15505	PS01359	PS50016	SSF57903	NA	Coil	NA	NA	NA	NA	NA
EGR49625.1	NA	IPR002813	NA	GO:0004358;GO:0006526	NA	G3DSA:3.60.70.12;G3DSA:3.30.2330.10;G3DSA:3.10.20.340	cd02152	NA	NA	SSF56266	PF01960	NA	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	MF_01106	TIGR00120	NA
EGR44846.1	mobidb-lite	IPR028364	NA	NA	NA	G3DSA:3.40.50.790	cd00403	NA	NA	SSF56808	PF00687	Coil	NA	NA	NA	NA	NA
EGR45781.1	NA	IPR037523	NA	NA	NA	G3DSA:3.10.180.10	cd07262	NA	PS51819	SSF54593	NA	NA	NA	NA	NA	NA	NA
EGR44265.1	NA	IPR029058	NA	GO:0016788	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PF07819	NA	NA	Reactome: R-HSA-162791	NA	NA	NA
EGR48645.1	mobidb-lite	IPR021162	NA	GO:0000077;GO:0005634;GO:0006281;GO:0006348;GO:0018024;GO:0031493;GO:0034729	NA	G3DSA:1.10.260.170;G3DSA:3.40.50.150	cd02440	NA	PS51569	SSF53335	PF08123	NA	PIRSF017570	Reactome: R-HSA-3214841	NA	NA	NA
EGR45044.1	NA	IPR036380	NA	GO:0003824	NA	G3DSA:3.40.50.850	NA	NA	NA	SSF52499	PF00857	Coil	NA	NA	NA	NA	NA
EGR46370.1	NA	IPR011990	NA	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44439.1	mobidb-lite	IPR011701	NA	GO:0055085	NA	NA	cd17354	NA	NA	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR51731.1	mobidb-lite	IPR001138	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	cd00067	NA	NA	SSF57701	PF00172	NA	NA	NA	NA	NA	NA
EGR52656.1	mobidb-lite	IPR038103	NA		NA	G3DSA:3.40.50.11990	NA	NA	NA	NA	PF05179	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-5632684|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA
EGR50554.1	NA	IPR008909	SM00836;SM01016	GO:0004814;GO:0005524;GO:0006420;GO:0000166;GO:0005737;GO:0004812;GO:0006418	PR01038	G3DSA:1.10.730.10;G3DSA:3.30.1360.70;G3DSA:3.40.50.620	cd00671;cd07956	PS00178	NA	SSF52374;SSF55190;SSF47323	PF03485;PF00750;PF05746	Coil	NA	KEGG: 00970+6.1.1.19|Reactome: R-HSA-2408522|Reactome: R-HSA-379716	MF_00123	TIGR00456	NA
EGR50694.1	NA	IPR036259	NA	GO:0055085	NA	G3DSA:1.20.1250.20	cd17476	NA	PS50850	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR45492.1	mobidb-lite	IPR014001	SM00487;SM00490	GO:0005524	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	cd18008;cd18793	PS00518	PS51192;PS50089;PS51194	SSF52540;SSF57850	PF00176;PF00271	Coil	NA	NA	NA	NA	NA
EGR48891.1	mobidb-lite	IPR038770	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	G3DSA:1.20.1530.20	NA	NA	NA	NA	PF00999	NA	NA	NA	NA	NA	NA
EGR47930.1	NA	IPR013087	SM00355	GO:0003676	NA	G3DSA:3.30.160.60	NA	PS00028	PS50157	SSF57667	PF00096	NA	NA	NA	NA	NA	NA
EGR50532.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SSF116907	NA	Coil	NA	NA	NA	NA	NA
EGR46673.1	mobidb-lite	IPR029052	NA	GO:0016787	NA	G3DSA:3.60.21.10	cd07379	NA	NA	SSF56300	PF00149	NA	NA	NA	NA	NA	NA
EGR47239.1	mobidb-lite	IPR027417	NA	GO:0005524	NA	G3DSA:3.40.50.300	cd00009	NA	NA	SSF52540	PF00004	NA	NA	NA	NA	NA	NA
EGR52979.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46277.1	NA	IPR005545	NA	NA	NA	G3DSA:3.30.70.1060	NA	NA	NA	SSF54909	PF03795	NA	NA	NA	NA	NA	NA
EGR45322.1	NA	IPR037238	NA	NA	NA	G3DSA:1.10.357.40	cd15457	NA	NA	SSF143990	PF08719	NA	NA	NA	NA	TIGR02464	NA
