Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU81672.1	IPR032675	GO:0005515	PF13855	SSF52075	G3DSA:3.80.10.10	NA	mobidb-lite	PS51450	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75835.1	IPR033876	GO:0004190;GO:0006508	PF00026	SSF50630	G3DSA:2.40.70.10	PS00141	NA	PS51767	NA	PR00792	NA	cd05474	NA	NA	NA	NA	NA
RFU79315.1	IPR027417	GO:0005524	PF00004	SSF52540	G3DSA:3.40.50.300	NA	mobidb-lite	NA	NA	NA	NA	cd18140;cd00009	NA	SM00382	NA	NA	NA
RFU72889.1	IPR001392	GO:0006886;GO:0016192;GO:0030131	PF00928;PF01217	SSF64356;SSF49447	G3DSA:2.60.40.1170;G3DSA:3.30.450.60	NA	NA	PS51072	NA	PR00314	NA	cd14836;cd09251	NA	NA	NA	PIRSF005992	NA
RFU82117.1	IPR036291	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	mobidb-lite	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
RFU72954.1	IPR029063	GO:0031177;GO:0003824;GO:0016740;GO:0016491;GO:0055114	PF00109;PF08659;PF13602;PF00698;PF08242;PF16197;PF00550;PF14765;PF02801;PF08240	SSF53335;SSF53901;SSF52151;SSF47336;SSF51735;SSF50129;SSF55048	G3DSA:3.10.129.110;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:3.30.70.3290;G3DSA:3.40.47.10	PS00606	NA	PS50075	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	cd00833;cd02440;cd05195	NA	SM00825;SM00823;SM00826;SM00829;SM00822;SM00827	NA	NA	NA
RFU78452.1	IPR003445	GO:0006812;GO:0008324;GO:0055085	PF02386	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74617.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72646.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78042.1	IPR000626	GO:0005515	PF11976	SSF54236	G3DSA:3.10.20.90	NA	mobidb-lite	PS50053	Coil	NA	NA	cd17080	NA	NA	NA	NA	NA
RFU81169.1	IPR029058	NA	PF05057	SSF53474	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU78936.1	IPR006357	NA	PF13242;PF13344	SSF56784	G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01460	PIRSF000915	NA
RFU80180.1	IPR020904	GO:0016491	PF13561	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00081;PR00080	NA	cd05233	NA	NA	NA	NA	NA
RFU81767.1	IPR012340	GO:0004484;GO:0006370;GO:0031533	PF03919;PF01331	SSF50249;SSF56091	G3DSA:2.40.50.140;G3DSA:3.30.470.30	NA	NA	NA	NA	NA	MetaCyc: PWY-7375|Reactome: R-HSA-167160|Reactome: R-HSA-72086|Reactome: R-HSA-77075	cd07895	NA	NA	NA	PIRSF036959	NA
RFU72577.1	IPR008147	GO:0004356;GO:0006542;GO:0006807;GO:0003824	PF03951;PF00120	SSF55931;SSF54368	G3DSA:3.30.590.40;G3DSA:3.10.20.70	PS00181;PS00180	NA	NA	NA	NA	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964|Reactome: R-HSA-210455|Reactome: R-HSA-8964539	NA	NA	SM01230	NA	NA	NA
RFU81301.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74427.1	IPR033877	GO:0016657;GO:0034599;GO:0016491	PF00881	SSF55469	G3DSA:3.40.109.10	NA	NA	NA	NA	NA	Reactome: R-HSA-209968	cd02140	NA	NA	NA	NA	NA
RFU78037.1	IPR029058	NA	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79730.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74350.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80992.1	IPR009001	GO:0003924;GO:0005525;GO:0003746;GO:0006414	PF00009;PF03144;PF03143	SSF50465;SSF50447;SSF52540	G3DSA:3.40.50.300;G3DSA:2.40.30.10	PS00301	NA	PS51722	NA	PR00315	Reactome: R-HSA-156842	cd03705;cd03693;cd01883	NA	NA	TIGR00483	NA	NA
RFU78370.1	IPR001279	NA	PF00753	SSF56281	G3DSA:3.60.15.10	NA	NA	NA	NA	NA	NA	cd07739	NA	SM00849	NA	NA	NA
RFU79350.1	IPR001487	GO:0005515	PF17035;PF00439	SSF47370	G3DSA:1.20.1270.220;G3DSA:1.20.920.10	NA	mobidb-lite	PS51525;PS50014	Coil	PR00503	NA	cd04369	NA	SM00297	NA	NA	NA
RFU74388.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	PS50850	NA	NA	NA	cd17502	NA	NA	NA	NA	NA
RFU81008.1	IPR001279	NA	PF00753	SSF56281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78175.1	IPR004000	NA	PF00022	SSF53067	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	NA	NA	NA	NA	NA	NA	SM00268	NA	NA	NA
RFU72244.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79407.1	IPR001005	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd00167	NA	NA	NA	NA	NA
RFU72818.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79025.1	IPR022764	GO:0004252;GO:0016021	PF01694	SSF144091	G3DSA:1.20.1540.10	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU79047.1	IPR031468	GO:0008289;GO:0007005;GO:0032865	NA	NA	NA	NA	mobidb-lite	PS51847	NA	NA	NA	NA	MF_03105	NA	NA	NA	NA
RFU74679.1	IPR007177		PF04034;PF04068	NA	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-6790901	NA	MF_01116	NA	NA	NA	NA
RFU81217.1	IPR001357	NA	PF00533	SSF52113	G3DSA:3.40.50.10190	NA	mobidb-lite	PS50172	NA	NA	NA	cd17745	NA	SM00292	NA	NA	NA
RFU81668.1	IPR018535	NA	PF09362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79153.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU79900.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	PS50850	NA	NA	NA	cd17316	NA	NA	NA	NA	NA
RFU77047.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79567.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	NA	NA	NA	cd00067;cd12148	NA	SM00906;SM00066	NA	NA	NA
RFU79094.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79765.1	IPR036920	GO:0003735;GO:0005840;GO:0006412	PF00252	SSF54686	G3DSA:3.90.1170.10;G3DSA:2.20.25.330	PS01257	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	cd01433	NA	NA	TIGR00279	PIRSF005590	NA
RFU76148.1	IPR023175		PF18097;PF04652	NA	G3DSA:1.25.40.270;G3DSA:1.20.5.420	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-162588|Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA
RFU79827.1	IPR036322	GO:0005515	PF00400	SSF50978	G3DSA:2.130.10.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00320	NA	NA	NA
RFU77071.1	IPR029045	GO:0003824	PF00378	SSF52096	G3DSA:1.10.12.10;G3DSA:3.90.226.10	PS00166	NA	NA	NA	NA	NA	cd06558	NA	NA	NA	NA	NA
RFU79972.1	IPR028939	GO:0004735;GO:0006561;GO:0055114	PF03807;PF14748	SSF48179;SSF51735	G3DSA:1.10.3730.10;G3DSA:3.40.50.720	PS00521	NA	NA	NA	NA	KEGG: 00330+1.5.1.2|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|Reactome: R-HSA-8964539	NA	MF_01925	NA	TIGR00112	NA	NA
RFU75348.1	IPR012947	GO:0004812;GO:0005524;GO:0043039;GO:0003676;GO:0004813;GO:0006419;GO:0000166	PF07973	SSF50447;SSF55186	G3DSA:3.30.980.10;G3DSA:2.40.30.130	NA	NA	PS50860	NA	NA	KEGG: 00970+6.1.1.7	NA	NA	SM00863	NA	NA	NA
RFU81108.1	IPR002937	GO:0016491;GO:0055114	PF01593;PF01042	SSF51905;SSF55298	G3DSA:3.90.660.10;G3DSA:3.50.50.60;G3DSA:3.30.1330.40;G3DSA:1.10.405.10	NA	NA	NA	NA	PR00757	Reactome: R-HSA-8849175	cd00448	NA	NA	NA	NA	NA
RFU77462.1	IPR018306	NA	PF10544	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00974	NA	NA	NA
RFU76804.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80100.1	IPR003692	GO:0003824;GO:0016787	PF02538;PF01968;PF05378	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA	NA	NA
RFU72727.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU81045.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	PF00107;PF08240	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PS00065;PS00059	NA	NA	NA	NA	Reactome: R-HSA-71384	cd05283	NA	SM00829	NA	NA	NA
RFU75059.1	IPR036380	GO:0003824	PF00857	SSF52499	G3DSA:3.40.50.850	NA	NA	NA	NA	NA	NA	cd00431	NA	NA	NA	NA	NA
RFU73242.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72888.1	IPR001736	GO:0003824	PF13091	SSF56024	G3DSA:3.30.870.10	NA	mobidb-lite	PS50035	NA	NA	Reactome: R-HSA-1483148	cd00138	NA	NA	NA	NA	NA
RFU74532.1	IPR007330	NA	PF04212	SSF116846	G3DSA:1.20.58.280	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU74820.1	IPR036736	GO:0031177;GO:0003824	PF00550;PF00668;PF00501	SSF52777;SSF47336;SSF56801	G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.30.559.10	PS00455;PS00012	NA	PS50075	NA	NA	Reactome: R-HSA-389661	cd05918	NA	SM00823	TIGR01733	NA	NA
RFU81878.1	IPR000462	GO:0008654;GO:0016020;GO:0016780	PF01066	NA	G3DSA:1.20.120.1760	PS00379	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF015665	NA
RFU81051.1	IPR036928		PF01425	SSF75304	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA	NA
RFU77074.1	IPR010908	GO:0016021;GO:0016192	PF13774;PF00957	SSF58038;SSF64356	G3DSA:1.20.5.110;G3DSA:3.30.450.50	NA	NA	PS50859;PS50892	NA	PR00219	Reactome: R-HSA-204005	cd14824;cd15843	NA	SM01270	NA	NA	NA
RFU81594.1	IPR009737	NA	PF06999	SSF52833	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	cd03062	NA	NA	NA	NA	NA
RFU73419.1	IPR005814	GO:0008483;GO:0030170;GO:0003824;GO:0004587	PF00202	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PS00600	NA	NA	NA	NA	KEGG: 00330+2.6.1.13|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|MetaCyc: PWY-6922|Reactome: R-HSA-8964539	cd00610	NA	NA	TIGR01885	PIRSF000521	NA
RFU79737.1	IPR039261	GO:0016491;GO:0055114	PF08030	SSF52343	G3DSA:3.40.50.80	NA	NA	PS51384	NA	NA	NA	cd06186	NA	NA	NA	NA	NA
RFU72109.1	IPR002656	GO:0016747	PF01757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75439.1	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	SSF103473	G3DSA:1.20.1250.20	PS00217	mobidb-lite	PS50850	NA	NA	Reactome: R-HSA-189200	cd17356	NA	NA	TIGR00879	NA	NA
RFU82130.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	NA	NA	NA	NA	NA	SM00066	NA	NA	NA
RFU79665.1	IPR004294	GO:0016702;GO:0055114	PF03055	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU79538.1	IPR027450	GO:0003824;GO:0016491;GO:0055114	PF13532;PF00857	SSF52499;SSF51197;SSF47616	G3DSA:2.60.120.590;G3DSA:1.20.1050.10	NA	NA	PS51471;PS50405	NA	NA	NA	cd00431	NA	NA	NA	NA	NA
RFU75512.1	IPR004827	GO:0003700;GO:0006355	PF07716	SSF57959	NA	NA	mobidb-lite	PS50217	Coil	NA	NA	cd14710	NA	NA	NA	NA	NA
RFU78878.1	IPR003734	NA	PF02582	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77763.1	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	PR00370	NA	NA	NA	NA	NA	PIRSF000332	NA
RFU79408.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75552.1	IPR001753	GO:0003824	PF00378	SSF52096	G3DSA:3.90.226.10;G3DSA:1.10.12.10	NA	NA	NA	NA	NA	NA	cd06558	NA	NA	NA	NA	NA
RFU75083.1	IPR006939	GO:0000228;GO:0006338	PF04855	NA	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA
RFU76898.1	IPR018181		PF00012	SSF53067;SSF100920	G3DSA:2.60.34.10;G3DSA:3.30.420.40;G3DSA:3.30.30.30;G3DSA:3.90.640.10	PS01036;PS00297	NA	NA	NA	PR00301	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA
RFU79483.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80367.1	IPR006176	GO:0003857;GO:0006631;GO:0016491;GO:0055114	PF02737;PF00725	SSF51735;SSF48179;SSF63825	G3DSA:3.40.50.720;G3DSA:2.120.10.30;G3DSA:1.10.1040.10	NA	NA	NA	NA	NA	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	NA	NA	SM00135	NA	NA	NA
RFU80109.1	IPR036908	NA	NA	SSF50685	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74333.1	IPR029052	GO:0009166;GO:0016787	PF02872	SSF56300;SSF55816	G3DSA:3.60.21.10;G3DSA:3.90.780.10	NA	mobidb-lite	NA	NA	PR01607	Reactome: R-HSA-196807|Reactome: R-HSA-73621|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA
RFU80402.1	IPR004837	GO:0016021;GO:0055085	PF01699	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	NA	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA
RFU74989.1	IPR003409	NA	PF02493	SSF82185	G3DSA:2.20.110.10	NA	NA	NA	NA	NA	NA	NA	NA	SM00698	NA	NA	NA
RFU78200.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SSF56112	G3DSA:1.10.510.10	PS00108	mobidb-lite	PS50011	NA	NA	NA	NA	NA	SM00220	NA	NA	NA
RFU81111.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77531.1	IPR000073	NA	PF00561	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00111	NA	NA	NA	NA	NA	NA	NA
RFU79282.1	IPR036167	GO:0006388;GO:0003676;GO:0004518;GO:0000213;GO:0000214	PF01974	SSF53032	G3DSA:3.40.1350.10	NA	mobidb-lite	NA	Coil	NA	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	NA	NA	NA	NA	PIRSF011789	NA
RFU78503.1	IPR029069		PF03061	SSF54637	G3DSA:3.10.129.10	NA	NA	NA	NA	NA	Reactome: R-HSA-77289	cd03443	NA	NA	NA	NA	NA
RFU81897.1	IPR004840	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF13520	NA	G3DSA:1.20.1740.10	PS00218	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
RFU77832.1	IPR013525	GO:0016020;GO:0005524;GO:0016887	PF01061;PF00005	SSF52540	G3DSA:3.40.50.300	PS00022;PS01186;PS00211	mobidb-lite	PS50893	NA	NA	Reactome: R-HSA-1369062	cd03213;cd12087	NA	SM00382	NA	NA	NA
RFU80909.1	IPR003674	GO:0004576;GO:0006486;GO:0016020	PF02516	NA	G3DSA:3.40.50.12610	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73931.1	IPR020683	GO:0005515;GO:0004668;GO:0009446	PF04371	SSF48403;SSF55909	G3DSA:1.25.40.20;G3DSA:3.75.10.10	NA	NA	PS50297;PS50088	Coil	NA	KEGG: 00330+3.5.3.12|MetaCyc: PWY-43	NA	NA	SM00248	NA	NA	NA
RFU82012.1	IPR000891	GO:0003824;GO:0019752;GO:0046912	PF00682	SSF51569	G3DSA:1.10.238.260;G3DSA:3.20.20.70	PS00816;PS00815	mobidb-lite	PS50991	NA	NA	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	cd07948	NA	NA	NA	NA	NA
RFU72427.1	IPR012000	GO:0000287;GO:0030976	PF00205	SSF52467;SSF52518	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77670.1	IPR041247	GO:0000724;GO:0000730;GO:0005634;GO:0045002	PF04098	SSF54768	G3DSA:3.30.390.80	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938	NA	NA	NA	TIGR00607	NA	NA
RFU80810.1	IPR007484	NA	PF04389	SSF53187	NA	NA	mobidb-lite	NA	NA	NA	NA	cd03875	NA	NA	NA	NA	NA
RFU77255.1	IPR036961	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PF00225	SSF52540	G3DSA:3.40.850.10	PS00411	mobidb-lite	PS50067	Coil	PR00380	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	SM00129	NA	NA	NA
RFU74438.1	IPR027244	GO:0005096	PF12257	NA	NA	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-9639288	NA	NA	NA	NA	NA	NA
RFU81068.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81840.1	IPR025633	NA	PF14124	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU72004.1	IPR036322	GO:0005515	NA	SSF50978	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78802.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73340.1	IPR002110	GO:0005515	PF00023;PF12796	SSF48403	G3DSA:1.25.40.20	NA	mobidb-lite	PS50088;PS50297	Coil	PR01415	NA	NA	NA	SM00248	NA	NA	NA
RFU73061.1	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PF01532	SSF48225;SSF50952	G3DSA:1.50.10.10;G3DSA:2.120.10.30	NA	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA
RFU73284.1	IPR001623	NA	PF00226	SSF46565	G3DSA:1.10.287.110	PS00636	mobidb-lite	PS50076	Coil	PR00625	NA	cd06257	NA	SM00271	NA	NA	NA
RFU72075.1	IPR013087	GO:0003676	NA	SSF57667	G3DSA:3.30.160.60	PS00028	mobidb-lite	PS50157	NA	NA	NA	NA	NA	SM00355	NA	NA	NA
RFU73356.1	IPR029058	NA	PF03959	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78816.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82134.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003824;GO:0016747	PF00172;PF00108;PF02803	SSF57701;SSF53901	G3DSA:3.40.47.10;G3DSA:4.10.240.10	PS00463;PS00737	mobidb-lite	PS50048	NA	NA	NA	cd00829;cd00067	NA	SM00066	NA	NA	NA
RFU80928.1	IPR001223	GO:0005975;GO:0004553	PF00704	SSF51445	G3DSA:3.20.20.80	PS01095	NA	NA	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA	NA	NA
RFU76405.1	IPR017923	GO:0005634	PF08711	SSF47676	G3DSA:1.20.930.10	NA	mobidb-lite	PS51319	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81865.1	IPR010730	NA	PF06985	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74348.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	NA	NA	NA	cd00067	NA	SM00066	NA	NA	NA
RFU76326.1	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF02535	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75317.1	IPR014001	GO:0003676;GO:0005524	PF00270;PF00271	SSF52540	G3DSA:3.40.50.300	NA	mobidb-lite	PS51192;PS51195;PS51194	NA	NA	NA	cd17957;cd18787	NA	SM00487;SM00490	NA	NA	NA
RFU79067.1	IPR036291	GO:0016491;GO:0055114	PF03435	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78052.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79549.1	IPR000845	GO:0003824;GO:0009116	PF01048	SSF53167	NA	NA	NA	NA	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
RFU81582.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71784.1	IPR004148	GO:0005515;GO:0005737	PF03114	SSF103657	G3DSA:1.20.1270.60	NA	mobidb-lite	PS51021	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU73403.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74143.1	IPR036188	GO:0016491;GO:0055114	PF01266	SSF51905	G3DSA:3.30.9.10;G3DSA:3.50.50.60	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76730.1	IPR000511	GO:0004408;GO:0005739	PF01265	NA	NA	PS00822;PS00821	mobidb-lite	NA	NA	NA	KEGG: 00860+4.4.1.17	NA	NA	NA	NA	NA	NA
RFU78738.1	IPR010422		PF06244;PF00179	SSF54495	G3DSA:3.10.110.10	NA	mobidb-lite	PS50127	Coil	NA	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA
RFU80471.1	IPR001173		PF13632	SSF53448	G3DSA:3.90.550.10	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-913709	NA	NA	NA	NA	NA	NA
RFU72667.1	IPR006855	GO:0004042	PF04768	NA	G3DSA:3.40.630.30;G3DSA:3.40.1160.10	NA	mobidb-lite	PS51731	NA	NA	KEGG: 00220+2.3.1.1|MetaCyc: PWY-5154|Reactome: R-HSA-70635	NA	NA	NA	NA	PIRSF007892	NA
