Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB79364.1	IPR006689	GO:0005525	SSF52540	NA	SM00178;SM00177;SM00175	PF00025	G3DSA:3.40.50.300	NA	Coil	cd04151	PS51417	NA	NA	PR00328	NA	TIGR00231	NA
PTB75587.1	IPR007484	GO:0004177;GO:0006508;GO:0016603	SSF53187;SSF52025	MetaCyc: PWY-7942	NA	PF04389;PF02225	G3DSA:3.40.630.10;G3DSA:3.50.30.30	NA	NA	cd02130;cd03876;cd03880	NA	NA	NA	NA	NA	NA	NA
PTB77868.1	IPR012340	NA	SSF50249	NA	NA	NA	G3DSA:2.40.50.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72271.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73846.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10	mobidb-lite	Coil	cd14019	PS50011	NA	PS00108	NA	NA	NA	NA
PTB73888.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73898.1	IPR013726	NA	NA	NA	NA	PF08520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73522.1	IPR001452	GO:0005515	SSF50044	NA	SM00326	PF00018	G3DSA:2.30.30.40	mobidb-lite	NA	NA	PS50002	NA	NA	NA	NA	NA	NA
PTB74214.1	IPR018800		NA	Reactome: R-HSA-72163	NA	PF10253	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB75360.1	IPR004531	GO:0000166;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0003723	SSF56037;SSF46955;SSF55681	KEGG: 00970+6.1.1.20|Reactome: R-HSA-379716	SM00873	PF17759;PF18262;PF03483	G3DSA:3.30.56.10;G3DSA:3.50.40.10;G3DSA:3.30.930.10	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00471	NA
PTB75109.1	IPR010722	GO:0003824	NA	KEGG: 00780+2.8.1.6|MetaCyc: PWY-7380	NA	PF06968	G3DSA:3.20.20.70	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73665.1	IPR000073	NA	SSF53474	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80179.1	IPR019411	GO:0008289	NA	NA	NA	PF10296	NA	mobidb-lite	NA	NA	PS51847	NA	NA	NA	NA	NA	NA
PTB81723.1	IPR002575	NA	SSF56112	NA	NA	PF01636	G3DSA:3.90.1200.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72457.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00906;SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067;cd12148	PS50048	NA	PS00463	NA	NA	NA	NA
PTB81881.1	IPR014905	GO:0003676;GO:0008270;GO:0016818;GO:0005524	SSF57850;SSF52540	Reactome: R-HSA-8866654	SM00490;SM00910;SM00487	PF08797;PF00176;PF00271	G3DSA:3.40.50.300;G3DSA:3.40.50.10810;G3DSA:3.30.40.10;G3DSA:1.20.120.850	mobidb-lite	Coil	cd18008;cd16572;cd18793	PS51192;PS51194;PS50089	NA	NA	NA	NA	NA	NA
PTB72807.1	IPR036908	NA	SSF50685	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76491.1	IPR006886	GO:0005634;GO:0006351	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	PF04801	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77244.1	IPR027417	GO:0003777;GO:0005524;GO:0007018;GO:0008017	SSF52540;SSF47781	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	SM00129	PF00225	G3DSA:3.40.850.10	mobidb-lite	Coil	cd00106	PS50067	NA	NA	PR00380	NA	NA	NA
PTB81245.1	IPR018607	GO:0007064;GO:0031390	NA	NA	NA	PF09696	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77462.1	IPR029063	NA	SSF53335	NA	NA	PF13489	G3DSA:3.40.50.150	mobidb-lite	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB78628.1	IPR033911	GO:0004825;GO:0006431;GO:0000166;GO:0004812;GO:0005524;GO:0006418	SSF47323;SSF52374	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10	NA	PF09334	G3DSA:1.10.730.10;G3DSA:2.170.220.10;G3DSA:3.40.50.620	NA	NA	cd00814;cd07957	NA	NA	NA	PR01041	NA	TIGR00398	NA
PTB80475.1	IPR001680	GO:0005515;GO:0006364;GO:0032040	SSF50998	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	SM00320	PF00400;PF02239;PF04192	G3DSA:2.130.10.10	mobidb-lite	NA	NA	PS50082;PS50294	NA	PS00678	NA	NA	NA	NA
PTB75528.1	IPR036065	NA	SSF82657	NA	NA	PF01722	G3DSA:3.30.300.90	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74285.1	IPR001841	NA	SSF57850	NA	SM00184	PF13920	G3DSA:3.30.40.10	mobidb-lite	NA	cd16534	PS50089	NA	PS00518	NA	NA	NA	NA
PTB72239.1	IPR021765	GO:0043386	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74780.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB75439.1	IPR042517		NA	KEGG: 00500+3.2.1.39	NA	PF16483	G3DSA:3.30.920.50;G3DSA:2.60.110.10	NA	NA	cd09220	NA	NA	NA	NA	NA	NA	NA
PTB75470.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	Coil	NA	NA	NA	NA	PR00081	NA	NA	NA
PTB75742.1	IPR018713	NA	NA	NA	NA	PF09995	NA	NA	NA	cd18416	NA	NA	NA	NA	NA	NA	NA
PTB80482.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76974.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB74645.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81121.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17323	PS50850	NA	NA	NA	NA	NA	NA
PTB76247.1	IPR002579	GO:0033743;GO:0055114	SSF51316	Reactome: R-HSA-5676934	NA	PF01641	G3DSA:2.170.150.20	NA	NA	NA	PS51790	NA	NA	NA	NA	TIGR00357	NA
PTB71144.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	mobidb-lite	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
PTB76404.1	IPR007111	GO:0005515	SSF50978;SSF52540	NA	SM00320	PF05729;PF00400	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	Coil	cd00200	PS50082;PS50837;PS50294	NA	PS00678	PR00320	NA	NA	NA
PTB71543.1	IPR013962	GO:0008608;GO:0042729;GO:0072686	NA	NA	NA	PF08653	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76905.1	IPR011701	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17327	PS50850	NA	NA	NA	NA	NA	NA
PTB73766.1	IPR036513	GO:0008272;GO:0015116;GO:0016021	SSF52091	NA	NA	PF00916;PF01740	G3DSA:3.30.750.24	mobidb-lite	NA	cd07042	PS50801	NA	NA	NA	NA	NA	NA
PTB79193.1	IPR001932	GO:0003824	SSF81606	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	SM00332	PF00481	NA	mobidb-lite	NA	cd00143	PS51746	NA	NA	NA	NA	NA	NA
PTB80828.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72450.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81970.1	IPR029045	NA	SSF52096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79926.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	NA	NA	cd17352	PS50850	NA	NA	NA	NA	NA	NA
PTB79900.1	IPR036188	GO:0016614;GO:0050660;GO:0055114	SSF51905;SSF53474	Reactome: R-HSA-6798163	NA	PF00732;PF05199	G3DSA:3.50.50.60;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75743.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77656.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76654.1	IPR032817	NA	SSF48371	NA	NA	PF16206;PF12783;PF16213	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB71195.1	IPR021933	GO:0003676	NA	Reactome: R-HSA-6807505|Reactome: R-HSA-72163	SM01173	PF12066;PF13821;PF04959	NA	mobidb-lite	Coil	NA	NA	NA	PS00028	NA	NA	NA	NA
PTB72680.1	IPR017853	NA	SSF51445	NA	NA	NA	G3DSA:3.20.20.80	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80066.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75253.1	IPR027417	GO:0005524	SSF52540	NA	SM00382	PF00004	G3DSA:3.40.50.300	NA	NA	cd00009	NA	NA	NA	NA	NA	NA	NA
PTB72220.1	IPR002791	NA	SSF111321	NA	NA	PF01937	G3DSA:1.20.930.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73079.1	IPR036259	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
PTB75771.1	IPR004827	GO:0003700;GO:0006355	NA	NA	NA	NA	NA	mobidb-lite	Coil	cd14705	NA	NA	PS00036	NA	NA	NA	NA
PTB78779.1	IPR000262	GO:0016491;GO:0003824;GO:0010181;GO:0055114	SSF51395	Reactome: R-HSA-9033241	NA	PF01070	G3DSA:3.20.20.70	NA	NA	NA	PS51349	PIRSF000138	NA	NA	NA	NA	NA
PTB79504.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80385.1	IPR027417	GO:0003676;GO:0005524	SSF52540	NA	SM00490;SM01178;SM00487	PF13959;PF00270;PF00271	G3DSA:3.40.50.300	mobidb-lite	NA	cd18787;cd17949	PS51192;PS51194;PS51195	NA	NA	NA	NA	NA	NA
PTB71743.1	IPR008949	NA	SSF48576	NA	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77834.1	IPR020846	GO:0055085;GO:0016021;GO:0022857	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17323	PS50850	NA	PS00216	NA	NA	NA	NA
PTB71495.1	IPR002645	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	SSF52091	NA	NA	PF00916;PF01740	NA	NA	NA	cd07042	PS50801	NA	NA	NA	NA	TIGR00815	NA
PTB73153.1	IPR006186	GO:0016787	SSF56300	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	SM00156	PF00149	G3DSA:3.60.21.10	NA	NA	cd07415	NA	NA	PS00125	PR00114	NA	NA	NA
PTB76205.1	IPR018223	GO:0004055;GO:0005524;GO:0006526	SSF69864;SSF52402	KEGG: 00220+6.3.4.5|KEGG: 00250+6.3.4.5|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635	NA	PF00764	G3DSA:3.90.1260.10;G3DSA:3.40.50.620	NA	NA	cd01999	NA	NA	PS00564;PS00565	NA	MF_00005	TIGR00032	NA
PTB71047.1	IPR000608		SSF54495	Reactome: R-HSA-983168	NA	PF00179	G3DSA:3.10.110.10	NA	NA	NA	PS50127	NA	NA	NA	NA	NA	NA
PTB74497.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79521.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71866.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76058.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80359.1	IPR001005	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	cd00167	NA	NA	NA	NA	NA	NA	NA
PTB78207.1	IPR008972	NA	SSF49503	NA	NA	NA	G3DSA:2.60.40.420	NA	NA	cd00920	NA	NA	NA	NA	NA	NA	NA
PTB81442.1	IPR000086	GO:0016787	SSF55811	NA	NA	PF00293	G3DSA:3.90.79.10	mobidb-lite	NA	cd03426	PS51462	NA	NA	NA	NA	NA	NA
PTB74392.1	IPR013078	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	SSF52540;SSF53254	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-9634600	SM00855	PF00300;PF01591	G3DSA:3.40.50.300;G3DSA:3.40.50.1240	mobidb-lite	NA	cd07067	NA	PIRSF000709	NA	PR00991	NA	NA	NA
PTB79271.1	IPR001678	GO:0008168	SSF53335	NA	NA	PF01189	G3DSA:3.30.70.1170	mobidb-lite	Coil	NA	PS51686	NA	NA	PR02008	NA	NA	NA
PTB74979.1	IPR010730	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80123.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75883.1	IPR020904	GO:0016491	SSF51735	NA	SM00822	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA
PTB78564.1	NA	NA	NA	NA	NA	NA	G3DSA:2.120.10.70	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74060.1	IPR019364	GO:0003712;GO:0006357;GO:0016592	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	PF10232	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB75998.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
PTB80766.1	IPR011017	NA	SSF57716	NA	SM00746	PF01246	G3DSA:2.30.170.20	mobidb-lite	NA	cd00472	NA	NA	NA	NA	NA	NA	NA
PTB81224.1	IPR001623	NA	SSF46565	NA	SM00271	PF00226	G3DSA:1.10.287.110	NA	Coil	cd06257	PS50076	NA	NA	PR00625	NA	NA	NA
PTB72085.1	IPR001374	GO:0003676	SSF54928;SSF82708	NA	SM00360	PF01424;PF00076	G3DSA:3.30.70.330;G3DSA:3.30.1370.50	mobidb-lite	Coil	cd12253	PS50102;PS51061	NA	NA	NA	NA	NA	NA
PTB76670.1	IPR026590	GO:0036054;GO:0036055;GO:0070403	SSF52467	Reactome: R-HSA-2151201	NA	PF02146	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	cd01412	PS50305	NA	NA	NA	NA	NA	NA
PTB78158.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72529.1	IPR021851	NA	NA	NA	NA	PF11937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78037.1	IPR001381	GO:0003855;GO:0003824	SSF51569	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	NA	PF01487	G3DSA:3.20.20.70	NA	NA	cd00502	NA	NA	NA	NA	NA	TIGR01093	NA
PTB77690.1	IPR020301	NA	NA	NA	NA	PF10906	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80255.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72534.1	IPR033877	GO:0016657;GO:0034599;GO:0016491	SSF55469	Reactome: R-HSA-209968	NA	PF00881	G3DSA:3.40.109.10	NA	NA	cd02140	NA	NA	NA	NA	NA	NA	NA
PTB75576.1	IPR000210	GO:0005515	SSF54695	NA	SM00225	PF00651	G3DSA:3.30.710.10	mobidb-lite	NA	cd18186	PS50097	NA	NA	NA	NA	NA	NA
PTB80310.1	IPR000182	GO:0008080	SSF55729	NA	NA	PF00583	G3DSA:3.40.630.30	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA
PTB78630.1	IPR000271	GO:0003735;GO:0005840;GO:0006412	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	PF00468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71766.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB73040.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00906;SM00066	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA
PTB75636.1	IPR027417	GO:0005515	SSF52540;SSF48452	NA	SM00028	PF13374;PF05729;PF13432	G3DSA:1.25.40.10;G3DSA:3.40.50.300	mobidb-lite	NA	NA	PS50837	NA	NA	NA	NA	NA	NA
PTB79756.1	IPR001952	GO:0016791;GO:0003824	SSF53649	KEGG: 00730+3.1.3.1|KEGG: 00790+3.1.3.1|MetaCyc: PWY-5083|MetaCyc: PWY-5491	SM00098	PF00245	NA	NA	NA	cd16012	NA	NA	NA	PR00113	NA	NA	NA
PTB72867.1	NA	NA	NA	NA	NA	NA	G3DSA:3.90.550.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74570.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78131.1	IPR013933	NA	NA	NA	NA	PF08624	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80338.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76307.1	IPR017441	GO:0005524;GO:0004672;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10	mobidb-lite	Coil	cd14003	PS50011	NA	PS00107;PS00108	NA	NA	NA	NA
PTB72535.1	IPR001433	GO:0016491;GO:0055114	SSF52343	NA	NA	PF00175	G3DSA:3.40.50.80	NA	Coil	NA	NA	NA	NA	PR00371	NA	NA	NA
PTB77480.1	IPR003595	GO:0004725;GO:0016311;GO:0006470;GO:0016791	SSF52799	NA	SM00404;SM00194	PF00102	G3DSA:3.90.190.10	mobidb-lite	NA	cd18533	PS50056;PS50055	NA	PS00383	PR00700	NA	NA	NA
PTB81115.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75672.1	IPR028927		SSF50911	Reactome: R-HSA-432720|Reactome: R-HSA-6811440|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	PF02157	G3DSA:2.70.130.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76398.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79998.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77014.1	IPR016166	GO:0071949;GO:0016491;GO:0050660;GO:0055114	SSF56176	NA	NA	PF01565	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA
PTB81897.1	IPR034105	GO:0000398;GO:0000956	SSF50182	Reactome: R-HSA-430039|Reactome: R-HSA-72163	SM00651	PF01423	G3DSA:2.30.30.100	NA	NA	cd01730	NA	NA	NA	NA	NA	NA	NA
PTB71886.1	IPR008010	NA	NA	NA	NA	PF05346	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80389.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72966.1	IPR018181		SSF100920;SSF53067;SSF100934	Reactome: R-HSA-3371453	NA	PF00012	G3DSA:3.30.420.40;G3DSA:3.30.30.30;G3DSA:3.90.640.10;G3DSA:1.20.1270.10	mobidb-lite	Coil	cd10228	NA	NA	PS01036	PR00301	NA	NA	NA
PTB71817.1	IPR031359	NA	NA	NA	NA	PF17100	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76631.1	IPR011009	GO:0004672;GO:0005524;GO:0006468	SSF56112;SSF103243	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	SM00220	PF12330;PF02149;PF00069	G3DSA:1.10.510.10	mobidb-lite	Coil	cd12121;cd14077	PS50011;PS50032	NA	PS00108;PS00107	NA	NA	NA	NA
PTB73850.1	IPR004827	GO:0003700;GO:0006355	SSF57959	NA	SM00338	NA	G3DSA:1.20.5.170	mobidb-lite	Coil	cd12193	PS50217	NA	PS00036	NA	NA	NA	NA
PTB77623.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PR00465	NA	NA	NA
PTB71447.1	IPR002569	GO:0008113;GO:0055114	SSF55068	Reactome: R-HSA-5676934	NA	PF01625	G3DSA:3.30.1060.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81353.1	IPR007111	GO:0005515;GO:0003824;GO:0009116	SSF52540;SSF53167;SSF48403	NA	SM00248	PF05729;PF12796;PF00023;PF01048	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	NA	cd09008	PS50088;PS50297	NA	NA	NA	NA	NA	NA
PTB73995.1	IPR004838	GO:0003824;GO:0009058;GO:0030170	SSF53383	NA	NA	PF00155	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	cd00609	NA	NA	PS00105	NA	NA	NA	NA
PTB81913.1	IPR007484	NA	SSF53187	NA	NA	PF04389	G3DSA:3.40.630.10	NA	NA	cd03879	NA	NA	NA	NA	NA	NA	NA
PTB75064.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81139.1	IPR037151	NA	SSF51197	NA	NA	NA	G3DSA:2.60.120.590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74712.1	IPR027417	NA	SSF52540	NA	NA	NA	G3DSA:3.40.50.300	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76590.1	IPR037232	GO:0016651;GO:0055114;GO:0008137	SSF143243	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	PF00329	G3DSA:3.30.460.80	mobidb-lite	NA	NA	NA	NA	PS00542	NA	MF_01357	TIGR01961	NA
PTB79660.1	IPR007757	GO:0003676;GO:0008168;GO:0032259	SSF53335	NA	NA	PF05063	NA	mobidb-lite	NA	NA	PS51143	NA	PS00092	NA	NA	NA	NA
PTB80352.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB71871.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17323	PS50850	NA	NA	NA	NA	NA	NA
PTB81297.1	IPR001849	NA	SSF50729	NA	SM00233	PF00169	G3DSA:2.30.29.30	mobidb-lite	NA	NA	PS50003	NA	NA	NA	NA	NA	NA
PTB77470.1	IPR008551	NA	NA	NA	NA	PF05742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73046.1	NA	NA	SSF55174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80260.1	IPR008927	GO:0055114;GO:0016491	SSF48179	NA	NA	PF08546;PF02558	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71300.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72709.1	IPR002563	GO:0010181;GO:0048037	SSF50475	NA	NA	PF01613	G3DSA:2.30.110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75019.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74349.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	NA	PF13450;PF00743	G3DSA:3.50.50.60	mobidb-lite	NA	NA	NA	PIRSF000332	NA	PR00370	NA	NA	NA
PTB79874.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81157.1	IPR011009	GO:0004674;GO:0005524;GO:0006468;GO:0004672	SSF56112	NA	SM00133;SM00220	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	NA	cd05580	PS50011;PS51285	PIRSF000654	PS00108	NA	NA	NA	NA
PTB76368.1	IPR023780	NA	SSF54160	NA	NA	PF00385	G3DSA:2.40.50.40	mobidb-lite	Coil	cd00024	NA	NA	NA	NA	NA	NA	NA
PTB81202.1	IPR001216	GO:0006535	SSF53686	Reactome: R-HSA-1614603	NA	PF00291	G3DSA:3.40.50.1100	NA	NA	cd01561	NA	NA	PS00901	NA	NA	NA	NA
PTB72586.1	IPR002893	NA	SSF144232	NA	NA	PF01753	G3DSA:3.30.60.180	mobidb-lite	Coil	NA	PS50865	NA	NA	NA	NA	NA	NA
PTB74309.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
