Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP47211.1	G3DSA:3.90.1150.80	IPR038608	GO:0005515	NA	NA	PF12539	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42459.1	NA	IPR011421	NA	PS51279	NA	PF07572	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38142.1	G3DSA:3.40.50.720	IPR002347	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
PNP42414.1	G3DSA:1.25.40.90	IPR024638	NA	PS51391	NA	PF12243;PF12350	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42118.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38750.1	NA	IPR008441	NA	NA	SSF53448	PF05704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46303.1	NA	IPR007248	GO:0016021	NA	NA	PF04117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40863.1	G3DSA:1.20.1050.10	IPR036282	NA	NA	SSF47616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40285.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42290.1	G3DSA:2.160.10.10	IPR011004	GO:0016407	NA	SSF51161	PF12464;PF00132	SM01266	NA	NA	NA	cd03357	NA	NA	NA	NA	NA	NA
PNP44769.1	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	SSF56112	PF00069	SM00220	NA	NA	PS00108;PS00107	cd14132	NA	NA	NA	NA	NA	NA
PNP40773.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40368.1	G3DSA:1.10.8.60;G3DSA:3.40.50.300	IPR003959	GO:0005524	NA	SSF52540	PF00004	SM00382	mobidb-lite	NA	NA	cd00009	Coil	NA	NA	NA	NA	NA
PNP38322.1	NA	IPR008757	GO:0006508;GO:0008233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR03296	NA	NA	NA
PNP37169.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39614.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	SSF57701	PF00172	SM00066;SM00906	mobidb-lite	NA	PS00463	cd12148;cd00067	NA	NA	NA	NA	NA	NA
PNP46287.1	G3DSA:1.10.730.20;G3DSA:3.90.740.10;G3DSA:3.40.50.620	IPR033708	GO:0000049;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004822;GO:0006428;GO:0002161	NA	SSF47323;SSF52374;SSF50677	PF00133;PF08264	NA	mobidb-lite	KEGG: 00970+6.1.1.5|Reactome: R-HSA-379726	PS00178	cd07960	NA	PR00984	TIGR00392	NA	NA	NA
PNP47240.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37525.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48292.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44779.1	NA	IPR007667	NA	PS51503	NA	PF04588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40746.1	G3DSA:3.40.50.1820	IPR000639	GO:0003824;GO:0033961	NA	SSF53474	PF06441	NA	NA	Reactome: R-HSA-211945	NA	NA	NA	PR00412	NA	NA	PIRSF001112	NA
PNP37661.1	G3DSA:3.40.50.1820	IPR000675	GO:0016787	PS51257	SSF53474	PF01083	SM01110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37706.1	G3DSA:1.10.10.10	IPR036388	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369	PS50250	SSF46785	PF01399;PF05470	SM00753;SM00088	mobidb-lite	NA	NA	NA	Coil	NA	NA	MF_03002	NA	NA
PNP41014.1	G3DSA:3.40.250.10	IPR016130	GO:0004725;GO:0016311;GO:0006470;GO:0016791	PS50055;PS50206;PS50056	SSF52821;SSF52799	PF00581;PF00102	SM00404;SM00450;SM00194	mobidb-lite	NA	PS00383	cd01446;cd18533	Coil	PR00700	NA	NA	NA	NA
PNP43904.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	mobidb-lite	NA	PS00463	cd12148;cd00067	NA	NA	NA	NA	NA	NA
PNP42522.1	G3DSA:3.40.50.1010	IPR029060	GO:0032040	NA	SSF88723	PF04900	NA	mobidb-lite	NA	NA	cd09865	NA	NA	NA	NA	NA	NA
PNP44803.1	NA	IPR013717		NA	NA	PF08510	NA	mobidb-lite	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA
PNP46648.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46218.1	G3DSA:1.25.40.10;G3DSA:1.10.260.100	IPR011990	GO:0005515	PS50005;PS50293	SSF48452	PF13432;PF17830;PF13424	SM00727;SM00028	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48462.1	G3DSA:3.30.930.10;G3DSA:2.40.50.140	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418	PS50862	SSF55681	PF00152	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46814.1	NA	IPR041411		NA	NA	PF18566	NA	NA	KEGG: 00902+4.2.1.127+5.4.4.4|MetaCyc: PWY-7136	NA	NA	NA	NA	NA	NA	NA	NA
PNP40092.1	G3DSA:2.130.10.10;G3DSA:1.25.40.500	IPR001680	GO:0005515	PS50082;PS50294;PS50896	SSF50978;SSF160897	PF04494;PF08513;PF00400	SM00667;SM00320	mobidb-lite	NA	PS00678	cd00200;cd08044	NA	PR00320	NA	NA	NA	NA
PNP40475.1	G3DSA:3.40.50.720	IPR036291	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PNP38996.1	G3DSA:2.60.120.330	IPR005123	GO:0016491;GO:0055114;GO:0006508;GO:0008237	PS51471	SSF51197	PF03171;PF14226	NA	NA	NA	PS00758	NA	NA	PR00682	NA	NA	NA	NA
PNP40787.1	G3DSA:3.40.50.720	IPR002347	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45269.1	G3DSA:1.20.1250.20	IPR011701	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17327	NA	NA	NA	NA	NA	NA
PNP43535.1	G3DSA:3.40.50.720	IPR036291	GO:0016491;GO:0055114	NA	SSF51735	PF03435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40138.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45543.1	G3DSA:3.30.230.10;G3DSA:3.30.70.890	IPR014721	GO:0008299;GO:0016831;GO:0005524;GO:0004163;GO:0005829;GO:0019287	NA	SSF54211;SSF55060	PF18376;PF00288	NA	NA	KEGG: 00900+4.1.1.33|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168|Reactome: R-HSA-446199	NA	NA	NA	NA	TIGR01240	NA	PIRSF015950	NA
PNP46343.1	G3DSA:3.50.50.60	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	SSF51905	PF00743	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40557.1	G3DSA:2.40.70.10	IPR021109	GO:0004190;GO:0006508	PS51767	SSF50630	PF00026	NA	NA	NA	PS00141	cd06097	NA	PR00792	NA	NA	NA	NA
PNP48962.1	G3DSA:1.25.10.10	IPR001494	GO:0006886;GO:0008536	PS50166;PS50077	SSF48371	PF03810;PF13513	SM00913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47317.1	NA	IPR013857		NA	SSF49785	PF08547	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA
PNP39855.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40756.1	G3DSA:3.20.20.70	IPR004136	GO:0018580;GO:0055114;GO:0003824	NA	SSF51412	PF03060	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA
PNP45288.1	G3DSA:3.40.50.2000	IPR002213	GO:0016758	NA	SSF53756	PF00201	NA	NA	Reactome: R-HSA-156588	NA	cd03784	Coil	NA	NA	NA	NA	NA
PNP46357.1	NA	IPR020999	NA	NA	NA	PF12273	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42540.1	NA	IPR004130	NA	NA	SSF52540	PF03029	NA	mobidb-lite	NA	NA	cd17872	Coil	NA	NA	NA	NA	NA
PNP45702.1	G3DSA:1.25.40.10	IPR002885	GO:0005515	NA	SSF48452	PF01535	NA	mobidb-lite	NA	NA	NA	Coil	NA	TIGR00756	NA	NA	NA
PNP44517.1	G3DSA:3.60.10.10	IPR036691	NA	NA	SSF56219	PF10277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46779.1	NA	IPR013880	NA	NA	NA	PF08571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41607.1	G3DSA:1.10.8.770;G3DSA:3.40.50.10860;G3DSA:3.10.410.10;G3DSA:3.40.50.720	IPR020631	GO:0004488;GO:0005524;GO:0055114;GO:0004329;GO:0003824	NA	SSF53223;SSF52540;SSF51735	PF02882;PF01268;PF00763	NA	NA	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	PS00722;PS00767;PS00721;PS00766	cd01080;cd00477	NA	PR00085	NA	MF_01576;MF_01543	NA	NA
PNP47204.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42521.1	NA	IPR007941	NA	NA	SSF53474	PF05277	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39738.1	G3DSA:3.30.40.10;G3DSA:1.10.472.30	IPR013083	GO:0006351	PS51321	SSF46942;SSF57903	PF07744;PF00628;PF07500	SM00510;SM00249	mobidb-lite	NA	PS01359	NA	NA	NA	NA	NA	NA	NA
PNP39821.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39848.1	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR017441	GO:0005524;GO:0004672;GO:0006468	PS50011	SSF56112	PF00069	SM00220	mobidb-lite	NA	PS00107	cd14008	NA	NA	NA	NA	NA	NA
PNP42203.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	mobidb-lite	NA	PS00463	cd00067;cd15486	NA	NA	NA	NA	NA	NA
PNP47703.1	NA	IPR001748	GO:0005634	NA	NA	PF01125	NA	NA	Reactome: R-HSA-72163	PS00997	NA	NA	PR00322	NA	NA	NA	NA
PNP43809.1	G3DSA:3.30.360.10;G3DSA:3.40.50.720	IPR002587	GO:0004512;GO:0006021;GO:0008654	NA	SSF55347;SSF51735	PF07994;PF01658	NA	NA	KEGG: 00521+5.5.1.4|KEGG: 00562+5.5.1.4|MetaCyc: PWY-2301|MetaCyc: PWY-4661|MetaCyc: PWY-6372|MetaCyc: PWY-6580|MetaCyc: PWY-6664|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA	PIRSF015578	NA
PNP46649.1	G3DSA:3.30.420.150	IPR003695		NA	SSF53067	PF02541	NA	NA	KEGG: 00230+3.6.1.40	NA	NA	NA	NA	NA	NA	NA	NA
PNP47532.1	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	IPR026591	GO:0070403	PS50305	SSF52467	PF02146	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38253.1	G3DSA:1.25.10.10;G3DSA:1.25.40.150	IPR011989	GO:0000221;GO:1902600;GO:0046961	NA	SSF48371	PF11698;PF03224	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	PIRSF032184	NA
PNP47877.1	G3DSA:3.90.25.10;G3DSA:3.40.50.720	IPR008030		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	Coil	NA	NA	NA	NA	NA
PNP46352.1	G3DSA:1.20.930.10;G3DSA:2.20.25.10;G3DSA:1.10.472.30	IPR001222	GO:0003676;GO:0006351;GO:0008270;GO:0005634;GO:0006355	PS51319;PS51321;PS51133	SSF57783;SSF46942;SSF47676	PF01096;PF08711;PF07500	SM00510;SM00440;SM00509	mobidb-lite	NA	PS00466	cd13749	Coil	NA	TIGR01385	NA	PIRSF006704	NA
PNP47648.1	NA	IPR012445	GO:0006914	NA	NA	PF07855	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA
PNP37522.1	NA	IPR007512	GO:0005743;GO:0061617	NA	NA	PF04418	NA	NA	Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	NA	NA	NA
PNP41203.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43347.1	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	IPR027417	GO:0005524	PS51194;PS51192	SSF52540	PF00176;PF00271;PF14773	SM00487;SM00490	mobidb-lite	NA	NA	cd18793;cd18005	Coil	NA	NA	NA	NA	NA
PNP38453.1	NA	IPR001680	GO:0005515	PS50082;PS50294	SSF50978	PF00400	SM00320	mobidb-lite	NA	NA	cd00200	NA	NA	NA	NA	NA	NA
PNP40845.1	G3DSA:1.10.246.90;G3DSA:1.10.287.660;G3DSA:1.10.150.460	IPR002687		PS51358	SSF89124	PF01798;PF08156	SM00931	mobidb-lite	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41020.1	G3DSA:1.25.40.20	IPR002110	GO:0005515	PS50088;PS50297	SSF48403	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41291.1	G3DSA:3.90.1140.10;G3DSA:1.10.1410.10;G3DSA:3.30.460.10;G3DSA:3.60.10.10	IPR036691	GO:0004652;GO:0043631;GO:0003723;GO:0016779;GO:0031123	NA	SSF81301;SSF56219;SSF81631;SSF55144;SSF55003	PF03372;PF04457;PF04928;PF13563	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42688.1	NA	IPR013892	NA	NA	NA	PF08583	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44503.1	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	IPR000904	GO:0005086;GO:0032012	PS50190	SSF50729;SSF48425	PF01369;PF15410	SM00222	mobidb-lite	NA	NA	cd00171	Coil	NA	NA	NA	NA	NA
PNP46792.1	G3DSA:2.130.10.10	IPR019775	GO:0005515	PS50082;PS50294	SSF50998	PF00400	SM00320	NA	NA	PS00678	cd00200	NA	PR00320	NA	NA	NA	NA
PNP38245.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40836.1	G3DSA:3.30.450.20	IPR000014	NA	PS50112	SSF55785	PF13426	NA	NA	NA	NA	cd00130	NA	NA	NA	NA	NA	NA
PNP39704.1	G3DSA:3.60.20.30	IPR029055	GO:0016787	NA	SSF56235	PF01112	NA	mobidb-lite	NA	NA	cd04513	NA	NA	NA	NA	NA	NA
PNP43172.1	G3DSA:1.20.1390.10	IPR002483	GO:0006397	PS51025	SSF101233	PF01480	SM00311	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41331.1	G3DSA:1.10.30.10	IPR009071	NA	PS50118	SSF47095	PF00505	SM00398	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46565.1	G3DSA:1.10.630.10	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	PF00067	NA	NA	NA	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA	NA
PNP48861.1	G3DSA:1.20.1250.20	IPR024671	NA	NA	SSF103473	PF11700	NA	mobidb-lite	NA	NA	cd17483	NA	NA	NA	NA	NA	NA
PNP48464.1	NA	IPR018306	NA	NA	NA	PF10544	SM00974	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39510.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	NA	mobidb-lite	NA	PS00463	cd00067;cd12148	NA	NA	NA	NA	NA	NA
PNP41314.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP47379.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42817.1	G3DSA:1.20.1250.20	IPR036259	NA	NA	SSF103473	PF13347	NA	mobidb-lite	NA	NA	cd17313	NA	NA	NA	NA	NA	NA
PNP43258.1	NA	IPR006797	NA	PS50904	NA	PF04707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41028.1	NA	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41971.1	G3DSA:3.40.50.300	IPR019519	GO:0002098;GO:0033588	NA	NA	PF10483	NA	mobidb-lite	Reactome: R-HSA-3214847	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39722.1	G3DSA:3.40.50.720	IPR036291	GO:0003824;GO:0050662	NA	SSF51735	PF01370	NA	NA	NA	NA	cd08948	NA	NA	NA	NA	NA	NA
PNP43876.1	G3DSA:3.20.170.20	IPR009297	NA	NA	SSF56399	PF06108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38032.1	G3DSA:3.60.21.10	IPR029052	GO:0016787	NA	SSF56300	PF00149	NA	NA	NA	NA	cd07383	NA	NA	NA	NA	NA	NA
PNP40425.1	G3DSA:3.30.70.330	IPR000504	GO:0003676	PS50102	SSF54928	PF00076	SM00360	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40856.1	NA	IPR020301	NA	NA	NA	PF10906	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40400.1	NA	IPR006994	NA	NA	NA	PF04910	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48024.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP46304.1	NA	IPR013177		NA	NA	PF08213	SM01155	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	Coil	NA	NA	NA	NA	NA
PNP47463.1	NA	IPR018466	NA	NA	NA	PF10342	NA	mobidb-lite	NA	NA	cd14589	NA	NA	NA	NA	NA	NA
PNP39877.1	NA	IPR031359	NA	NA	NA	PF17100	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45583.1	NA	IPR012875	NA	NA	NA	PF07896	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40036.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45774.1	G3DSA:2.30.30.40	IPR001452	GO:0005515	NA	SSF50044	PF14604	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40336.1	G3DSA:3.40.1500.10	IPR001260	GO:0004109;GO:0006779;GO:0055114	NA	SSF102886	PF01218	NA	NA	KEGG: 00860+1.3.3.3|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	NA	PR00073	NA	NA	NA	NA
PNP42515.1	G3DSA:3.10.490.10	IPR006840	GO:0003839;GO:0006751	NA	NA	PF04752	NA	mobidb-lite	KEGG: 00480+4.3.2.7|MetaCyc: PWY-7942|Reactome: R-HSA-174403	NA	cd06661	NA	NA	NA	NA	NA	NA
PNP46526.1	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	IPR010720	GO:0046373;GO:0046556	NA	SSF51445	PF06964	SM00813	NA	KEGG: 00520+3.2.1.55	NA	NA	NA	NA	NA	NA	NA	NA
PNP41005.1	NA	IPR007949	NA	NA	NA	PF05285;PF08158	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41178.1	NA	IPR021514	NA	NA	NA	PF11374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41646.1	G3DSA:1.10.510.10	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	SSF56112	PF00069	SM00220	mobidb-lite	NA	PS00108	NA	NA	NA	NA	NA	NA	NA
PNP46632.1	G3DSA:3.30.70.330	IPR035979	GO:0003676	PS50102	SSF54928	PF00076	SM00360	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42799.1	G3DSA:1.10.510.10	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	SSF56112	PF00069	SM00220	mobidb-lite	NA	PS00108;PS00107	cd05117	Coil	NA	NA	NA	PIRSF000654	NA
PNP46702.1	NA	IPR010308	NA	NA	NA	PF06011;PF14558	SM01320	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40003.1	G3DSA:1.20.1250.20	IPR036259	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17327	NA	NA	NA	NA	NA	NA
PNP38414.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37673.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40850.1	G3DSA:1.10.630.10	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44037.1	G3DSA:3.20.20.70	IPR002220	GO:0016829;GO:0003824	NA	SSF51569	PF00701	SM01130	NA	NA	NA	cd00408	NA	PR00146	NA	NA	PIRSF001365	NA
PNP47536.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42188.1	NA	IPR005351	NA	NA	NA	PF03669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38667.1	G3DSA:1.20.120.1750	IPR002867	NA	PS51873	SSF57850	PF01485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43130.1	NA	IPR031352	NA	NA	NA	PF17107	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP43609.1	G3DSA:1.20.1250.20	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	PS00217;PS00216	cd17356	NA	PR00171	TIGR00879	NA	NA	NA
PNP40762.1	G3DSA:2.60.40.640	IPR011022	NA	NA	SSF81296	PF02752;PF00339	SM01017	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47873.1	NA	IPR025340	NA	NA	NA	PF14033	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41086.1	G3DSA:1.20.5.170	IPR021833	NA	NA	NA	PF11905	NA	mobidb-lite	NA	NA	cd14688	Coil	NA	NA	NA	NA	NA
PNP38473.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	SM00906	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP40127.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42206.1	G3DSA:3.30.40.10	IPR003137	NA	PS50089	SSF57850;SSF52025	PF02225;PF13639	SM00184	mobidb-lite	NA	NA	cd16454;cd04813	NA	NA	NA	NA	NA	NA
PNP43658.1	G3DSA:3.90.180.10;G3DSA:3.40.50.720	IPR036291	GO:0055114	NA	SSF51735;SSF50129	PF08240;PF00107	NA	NA	NA	NA	cd05188	NA	NA	NA	NA	NA	NA
PNP43295.1	G3DSA:1.20.5.210	IPR004205	GO:0008121	NA	SSF81508	PF02939	NA	NA	Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA	NA
PNP48144.1	G3DSA:3.40.140.10	IPR000555	GO:0005515	PS50249	SSF102712	PF01398;PF13012	SM00232	mobidb-lite	NA	NA	cd08069	NA	NA	NA	NA	NA	NA
PNP39621.1	G3DSA:2.60.260.20;G3DSA:1.10.287.110;G3DSA:2.10.230.10	IPR001623	GO:0031072;GO:0051082;GO:0006457	PS50076;PS51188	SSF49493;SSF46565;SSF57938	PF01556;PF00226;PF00684	SM00271	NA	NA	PS00636	cd10719;cd10747;cd06257	NA	PR00625	NA	NA	NA	NA
PNP44352.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46110.1	G3DSA:3.30.360.10;G3DSA:3.40.50.720	IPR000683	GO:0016491	NA	SSF51735;SSF55347	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39474.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41346.1	NA	IPR005556	NA	NA	SSF101447	PF03856	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41813.1	NA	IPR022385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR03696	NA	NA	NA
PNP38656.1	G3DSA:1.50.40.10	IPR023395	NA	PS50920	SSF103506	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43602.1	NA	IPR004843	GO:0016787	NA	SSF56300	PF00149	NA	NA	NA	NA	cd07383	NA	NA	NA	NA	NA	NA
PNP39283.1	G3DSA:3.90.120.10;G3DSA:3.40.50.150	IPR018117	GO:0008168	PS51679	SSF53335	PF00145	NA	mobidb-lite	KEGG: 00270+2.1.1.37|Reactome: R-HSA-212300|Reactome: R-HSA-4655427|Reactome: R-HSA-5334118	PS00094	NA	NA	NA	NA	NA	NA	NA
PNP39610.1	G3DSA:3.40.50.850	IPR000868	GO:0003824	NA	SSF52499	PF00857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
