Gene	MobiDBLite	interpro	GO	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	Coils	CDD	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	Hamap	PIRSF	SFLD
PKK43366.1	NA	IPR018951	GO:0006099;GO:0016829;GO:0004333;GO:0006106;GO:0045239;GO:0003824	G3DSA:1.10.40.30;G3DSA:1.20.200.10;G3DSA:1.10.275.10	SSF48557	NA	PF10415;PF00206	NA	NA	cd01362	PS00163	PR00149	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	TIGR00979	MF_00743	NA	NA
PKK44182.1	mobidb-lite	IPR006043	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	PF00860	NA	NA	NA	NA	NA	Reactome: R-HSA-196836	TIGR00801	NA	NA	NA
PKK51329.1	mobidb-lite	IPR000330	GO:0005524;GO:0016817	G3DSA:3.40.50.300;G3DSA:3.40.50.10810;G3DSA:1.20.120.850	SSF52540	PS51192;PS51194	PF00176;PF00271;PF08658	SM00490;SM00487	NA	cd18793;cd18067	NA	NA	NA	NA	NA	NA	NA
PKK45193.1	NA	IPR000845	GO:0003824;GO:0009116	NA	SSF53167	NA	PF01048	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
PKK54247.1	NA	IPR020846	GO:0055085	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PS50850	PF07690	NA	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
PKK52124.1	NA	IPR000165	GO:0004339;GO:0005976;GO:2001070;GO:0000272;GO:0030246;GO:0003824	G3DSA:1.50.10.10;G3DSA:2.60.40.10	SSF49452;SSF48208	PS51166	PF00686;PF00723	SM01065	NA	cd05811	PS00820	PR00736	KEGG: 00500+3.2.1.3|MetaCyc: PWY-5941	NA	NA	PIRSF001031	NA
PKK49000.1	NA	IPR036291	GO:0016491	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF55347;SSF51735	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49012.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48426.1	mobidb-lite	IPR001680	GO:0005515	NA	SSF50978	PS50082;PS50294	NA	SM00320	Coil	NA	PS00678	NA	NA	NA	NA	NA	NA
PKK47003.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	PS00086	PR00465	NA	NA	NA	NA	NA
PKK54626.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF04082	SM00066	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK49110.1	NA	IPR018108	NA	G3DSA:1.50.40.10	SSF103506	PS50920	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45927.1	NA	IPR020835	GO:0020037;GO:0055114	G3DSA:1.20.1280.120;G3DSA:2.40.180.20	SSF56634	NA	NA	NA	NA	cd08152	NA	NA	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	NA	NA	NA	NA
PKK47042.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50093.1	NA	IPR016391	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030126;GO:0030117	G3DSA:2.130.10.10;G3DSA:1.25.40.470	SSF50978;SSF50993	PS50082;PS50294	PF06957;PF00400;PF04053	SM00320	NA	cd00200	PS00678	PR00320	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	PIRSF003354	NA
PKK46650.1	NA	IPR005645	NA	NA	SSF53474	NA	PF03959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK41436.1	mobidb-lite	IPR001594	GO:0016409	NA	NA	PS50216	PF01529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46994.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52354.1	mobidb-lite	IPR009081	GO:0031177;GO:0003824	G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.30.300.30;G3DSA:3.40.50.150;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10	SSF52777;SSF56801;SSF53335;SSF47336	PS50075	PF00501;PF13193;PF00550;PF13489;PF00668	SM00823	Coil	cd05930;cd05918	PS00455;PS00012	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	TIGR01733	NA	NA	NA
PKK40802.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK49385.1	mobidb-lite	IPR019002	NA	NA	NA	NA	PF09420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44219.1	NA	IPR014710	NA	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43324.1	mobidb-lite	IPR000014	GO:0004672;GO:0005524;GO:0006468;GO:0000160;GO:0004674	G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:3.30.450.20;G3DSA:3.40.50.2300	SSF56112;SSF55785;SSF52172	PS51285;PS50110;PS50011;PS50112	PF00072;PF00069	SM00220;SM00448	Coil	cd05611;cd00156	PS00108	NA	NA	TIGR00229	NA	NA	NA
PKK42127.1	NA	IPR036812	GO:0016491;GO:0055114	G3DSA:3.20.20.100	SSF51430	NA	PF00248	NA	NA	cd06660	NA	PR00069	NA	NA	NA	NA	NA
PKK44329.1	mobidb-lite	IPR008010	NA	NA	NA	NA	PF05346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45401.1	mobidb-lite	IPR016688	GO:0005509;GO:0016020;GO:0055085	NA	SSF50182	PS50222	PF00924	SM00054	NA	NA	PS00018	NA	NA	NA	NA	PIRSF017209	NA
PKK41146.1	NA	IPR036400	NA	G3DSA:3.10.120.10	SSF55856	NA	PF00173	SM01117	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50456.1	mobidb-lite	IPR036322	GO:0005515	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK53425.1	NA	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF11951;PF00172	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK42584.1	NA	IPR016181	GO:0008080	G3DSA:3.40.630.30	SSF55729	PS51186	PF00583	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PKK52189.1	NA	IPR006175		G3DSA:3.30.1330.40	SSF55298	NA	PF01042	NA	NA	cd06152	NA	NA	Reactome: R-HSA-8849175	NA	NA	NA	NA
PKK45499.1	NA	IPR013766	GO:0045454	G3DSA:3.40.30.10	SSF52833	PS51352	PF00085	NA	NA	cd02947	NA	PR00421	NA	NA	NA	NA	NA
PKK42431.1	NA	IPR036296	GO:0006511	G3DSA:3.30.710.10	SSF81382;SSF54695	NA	PF03931;PF01466	SM00512	NA	cd18322	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1170546|Reactome: R-HSA-174113|Reactome: R-HSA-180534|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-2122947|Reactome: R-HSA-2565942|Reactome: R-HSA-2644606|Reactome: R-HSA-2644607|Reactome: R-HSA-2871837|Reactome: R-HSA-2894862|Reactome: R-HSA-400253|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5676590|Reactome: R-HSA-5684264|Reactome: R-HSA-68949|Reactome: R-HSA-69231|Reactome: R-HSA-8854050|Reactome: R-HSA-8939902|Reactome: R-HSA-8951664|Reactome: R-HSA-9020702|Reactome: R-HSA-917937|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	PIRSF028729	NA
PKK54030.1	NA	IPR016215	GO:0004497;GO:0016705;GO:0055114	G3DSA:3.20.20.30	SSF51679	NA	PF00296	NA	NA	NA	NA	NA	NA	TIGR03860	NA	PIRSF000337	NA
PKK49912.1	mobidb-lite	IPR036047	GO:0005515	NA	SSF81383	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52888.1	mobidb-lite	IPR001895	GO:0005085;GO:0007264	G3DSA:1.20.870.10;G3DSA:3.40.50.300;G3DSA:1.10.840.10	SSF52540;SSF48366	PS50212;PS50009	PF00617;PF00618	SM00147	NA	cd06224;cd00882	NA	NA	NA	NA	NA	NA	NA
PKK46096.1	mobidb-lite	IPR037457	GO:0016603	G3DSA:3.40.630.10	SSF53187	NA	PF04389	NA	NA	cd03880	NA	NA	MetaCyc: PWY-7942	NA	NA	NA	NA
PKK46955.1	mobidb-lite	IPR000164	GO:0000786;GO:0003677;GO:0046982	G3DSA:1.10.20.10	SSF47113	NA	PF00125	SM00428	NA	NA	PS00959	PR00622	NA	NA	NA	NA	NA
PKK47623.1	mobidb-lite	IPR020103	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	SSF55120	PS50889	PF00849	NA	NA	cd02557	PS01129	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR00005	NA	NA	NA
PKK52176.1	NA	IPR036291	GO:0016491;GO:0055114	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	NA	PF08240;PF00107	SM00829	NA	cd08276	NA	NA	NA	NA	NA	NA	NA
PKK51986.1	NA	IPR019095	GO:0003712;GO:0006357;GO:0016592	G3DSA:2.40.320.10	NA	NA	PF09637	NA	NA	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA
PKK55154.1	mobidb-lite	IPR018535	NA	NA	NA	NA	PF09362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52169.1	mobidb-lite	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004815;GO:0005737;GO:0006422	G3DSA:3.30.930.10;G3DSA:2.40.50.140	SSF50249;SSF55681	PS50862	PF00152	NA	Coil	cd00776;cd04320	NA	PR01042	Reactome: R-HSA-2408522|Reactome: R-HSA-379716	NA	MF_02075	NA	NA
PKK41906.1	NA	IPR020630	GO:0004488;GO:0055114	G3DSA:3.40.50.720;G3DSA:3.40.50.10860	SSF53223;SSF51735	NA	PF00763;PF02882	NA	NA	cd01079	NA	PR00085	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	NA	NA	NA	NA
PKK42342.1	mobidb-lite	IPR011598	GO:0046983	G3DSA:4.10.280.10	SSF47459	PS50888	PF00010	SM00353	Coil	cd00083	NA	NA	NA	NA	NA	NA	NA
PKK43564.1	mobidb-lite	IPR001202	GO:0005515	G3DSA:2.20.70.10	SSF51045	PS50020	PF00397	SM00456	NA	cd07389;cd00201	PS01159	NA	NA	NA	NA	NA	NA
PKK42014.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK45686.1	mobidb-lite	IPR029044	NA	NA	SSF53448	NA	PF03142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49122.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK54055.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA
PKK51059.1	NA	IPR013740	GO:0016491	G3DSA:3.40.30.10	SSF52833	NA	PF08534	NA	NA	cd03013	NA	NA	Reactome: R-HSA-3299685|Reactome: R-HSA-5628897	NA	NA	NA	NA
PKK51903.1	mobidb-lite	IPR023578	GO:0005085;GO:0007264;GO:0005515	G3DSA:1.10.840.10;G3DSA:2.30.30.40	SSF48366;SSF50044	PS50212;PS50002;PS50009	PF00617;PF00618	SM00229;SM00326;SM00147	Coil	cd06224;cd00155	NA	NA	NA	NA	NA	NA	NA
PKK55178.1	NA	IPR020846	GO:0055085	NA	SSF103473	PS50850	PF07690	NA	NA	cd06179	NA	PR01036	NA	NA	NA	NA	NA
PKK48350.1	mobidb-lite	IPR013087	GO:0003676	NA	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45306.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA
PKK45049.1	NA	IPR015940	GO:0005515	G3DSA:1.10.8.10;G3DSA:3.10.20.90	SSF54236;SSF46934	PS50030;PS50053	PF00627;PF00240	SM00165;SM00727;SM00213	NA	cd16106;cd14324	NA	NA	NA	NA	NA	NA	NA
PKK48019.1	NA	IPR002403	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	NA	NA	PS00086	PR00465;PR00385	NA	NA	NA	NA	NA
PKK43116.1	NA	IPR036195	GO:0046373;GO:0046556;GO:0031221	G3DSA:2.80.10.50;G3DSA:2.60.120.200	SSF110221;SSF49899	NA	PF09206;PF05270	NA	NA	NA	NA	NA	KEGG: 00520+3.2.1.55	NA	NA	NA	NA
PKK47771.1	mobidb-lite	IPR001357	NA	G3DSA:3.40.50.10190	SSF52113	PS50172	NA	NA	NA	cd00027	NA	NA	NA	NA	NA	NA	NA
PKK45142.1	mobidb-lite	IPR004353	GO:0006623	NA	NA	NA	PF03164	NA	NA	NA	NA	PR01546	Reactome: R-HSA-8876198	NA	NA	NA	NA
PKK51920.1	NA	IPR001680	GO:0005515	G3DSA:2.130.10.10;G3DSA:3.40.50.300	SSF50978;SSF52540	PS50082;PS50294;PS50837	PF05729;PF17100;PF00400	SM00320	Coil	cd00200	PS00678	PR00320	NA	NA	NA	NA	NA
PKK47810.1	NA	IPR019405	GO:0005515	G3DSA:2.130.10.10	SSF50974	NA	PF10282	NA	NA	NA	NA	NA	Reactome: R-HSA-114608	NA	NA	NA	NA
PKK53763.1	NA	IPR018170	GO:0016491;GO:0055114	G3DSA:3.20.20.100	SSF51430	NA	PF00248	NA	NA	cd06660	PS00798	PR00069	NA	NA	NA	PIRSF000097	NA
PKK45417.1	mobidb-lite	IPR004827	GO:0003700;GO:0006355	G3DSA:1.20.5.170	SSF57959	PS50217	PF00170	SM00338	Coil	cd14810	NA	NA	NA	NA	NA	NA	NA
PKK54648.1	mobidb-lite	IPR018744	NA	NA	NA	NA	PF10056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54399.1	mobidb-lite	IPR011701	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17352	NA	NA	NA	NA	NA	NA	NA
PKK51585.1	NA	IPR036188	GO:0071949	G3DSA:3.30.9.30;G3DSA:3.50.50.60	SSF51905;SSF54373	NA	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PKK52070.1	mobidb-lite	IPR007144	GO:0006364;GO:0032040	NA	NA	NA	PF03998	NA	Coil	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	PIRSF015952	NA
PKK47543.1	NA	IPR011057	NA	G3DSA:2.170.150.70	SSF51316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48732.1	NA	IPR006222	GO:0005515	G3DSA:3.30.1360.120	SSF103025	NA	PF01571	NA	NA	NA	NA	NA	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	TIGR03317	NA	PIRSF006487	NA
PKK50133.1	mobidb-lite	IPR000704	GO:0005956;GO:0019887;GO:0005515	G3DSA:2.130.10.10;G3DSA:2.20.25.20;G3DSA:1.10.1820.10	SSF50969;SSF50978;SSF57798	NA	PF07064;PF01214	SM01085	Coil	NA	PS01101	PR00472	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	NA	NA	NA	NA
PKK41671.1	NA	IPR015915	GO:0005515	G3DSA:2.120.10.80	SSF50965	NA	PF12768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50014.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK44777.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45559.1	mobidb-lite	IPR006856	GO:0005634;GO:0007531;GO:0008301;GO:0045895	NA	NA	PS51325	PF04769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48811.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49245.1	NA	IPR000054	GO:0003735;GO:0005840;GO:0006412	G3DSA:3.10.440.10	SSF54575	NA	PF01198	SM01380	NA	cd00463	PS01144	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
PKK43948.1	NA	IPR036603	GO:0006351;GO:0046983;GO:0003899;GO:0003677	G3DSA:2.170.120.12;G3DSA:3.30.1360.10	SSF55257;SSF56553	NA	PF01000;PF01193	SM00662	NA	cd07031	PS00446	NA	NA	NA	NA	NA	NA
PKK50515.1	NA	IPR033248	GO:0003824	G3DSA:3.40.50.920;G3DSA:3.40.50.970	SSF52922;SSF52518	NA	PF02780;PF02779	SM00861	NA	cd07036	NA	NA	NA	NA	NA	NA	NA
PKK45078.1	NA	IPR010829	NA	G3DSA:2.40.40.10	SSF50685	NA	PF07249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54763.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	cd12148	NA	NA	NA	NA	NA	NA	NA
PKK48311.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48486.1	NA	NA	NA	NA	NA	NA	PF08592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48964.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK47960.1	NA	IPR005474	GO:0004802;GO:0003824	G3DSA:3.40.50.920;G3DSA:3.40.50.970	SSF52922;SSF52518	NA	PF00456;PF02780;PF02779	SM00861	NA	cd02012;cd07033	PS00801;PS00802	NA	KEGG: 00730+2.2.1.7|KEGG: 00900+2.2.1.7|MetaCyc: PWY-6891|MetaCyc: PWY-6892|MetaCyc: PWY-7560	TIGR00232	NA	NA	NA
PKK54747.1	NA	IPR036291	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44166.1	mobidb-lite	IPR020846	GO:0022857;GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17323	NA	PR01035	NA	NA	NA	NA	NA
PKK47962.1	mobidb-lite	IPR002013	GO:0042578	NA	NA	PS50275;PS51791	PF02383;PF12456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48218.1	mobidb-lite	IPR024526	NA	NA	NA	NA	PF12720	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK51797.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK49388.1	NA	IPR016162	GO:0016491;GO:0055114;GO:0016620	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	PF00171	NA	NA	cd07106	PS00687;PS00070	NA	NA	NA	NA	NA	NA
PKK41238.1	NA	IPR036249	GO:0045454	G3DSA:3.40.30.10	SSF52833	PS51352	PF00085	NA	NA	cd02947	NA	PR00421	NA	NA	NA	NA	NA
PKK35565.1	mobidb-lite	IPR016181	NA	G3DSA:3.40.630.30	SSF55729	NA	PF13523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45218.1	NA	IPR020846	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17476	NA	NA	NA	NA	NA	NA	NA
PKK55219.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK42704.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45416.1	NA	IPR010730	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47157.1	mobidb-lite	IPR005198	GO:0003824	G3DSA:1.50.10.20	SSF48208	NA	PF03663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51958.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK54483.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50875.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK41443.1	NA	IPR007305	GO:0016192	NA	NA	NA	PF04178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK55161.1	NA	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	G3DSA:1.20.1250.20	SSF103473	PS50850	PF00083	NA	NA	cd17356	NA	PR00171	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
PKK47375.1	mobidb-lite	IPR006571	NA	NA	NA	NA	PF07534	SM00584	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49534.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK43171.1	NA	IPR001261	GO:0006508;GO:0008237;GO:0016805;GO:0016787	G3DSA:3.30.70.360;G3DSA:3.40.630.10	SSF53187	NA	PF01546;PF07687	NA	NA	cd05676	PS00759	NA	NA	NA	NA	PIRSF037242	NA
PKK49381.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00906;SM00066	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK47722.1	NA	IPR036852	GO:0004252;GO:0006508	G3DSA:3.40.50.200	SSF52743	NA	PF00082	NA	NA	cd07491	NA	PR00723	NA	NA	NA	NA	NA
PKK51779.1	NA	IPR013783	GO:0004553;GO:0005975	G3DSA:2.60.40.10;G3DSA:3.20.20.300;G3DSA:2.60.120.260;G3DSA:3.40.50.1700	SSF51445;SSF52279	PS51820	PF07691;PF01915;PF14310;PF00933	SM00758;SM01217	NA	NA	NA	PR00133	NA	NA	NA	NA	NA
PKK50336.1	NA	IPR029070	GO:0004553;GO:0005975;GO:0008061	G3DSA:3.10.50.10;G3DSA:3.20.20.80	SSF54556;SSF51445	NA	PF00704	SM00636	NA	cd06548	PS01095	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA
PKK45182.1	NA	IPR016584	GO:0008168	G3DSA:3.40.50.150	SSF53335	NA	PF08241	NA	NA	cd02440	NA	NA	NA	NA	NA	PIRSF011491	NA
PKK54482.1	mobidb-lite	IPR036915	NA	G3DSA:1.10.472.10	SSF47954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42346.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK43961.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54612.1	mobidb-lite	IPR021765	GO:0043386	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK40276.1	NA	IPR004853	NA	NA	NA	NA	PF03151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45518.1	mobidb-lite	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45853.1	mobidb-lite	IPR037525	NA	G3DSA:2.60.40.3960	NA	PS51821	PF11754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45791.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44836.1	NA	IPR027417	GO:0003824;GO:0009116	G3DSA:3.40.50.1580;G3DSA:3.40.50.300	SSF52540;SSF53167	PS50837	PF05729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46545.1	mobidb-lite	IPR015943	GO:0005515	G3DSA:2.130.10.10	SSF101908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44207.1	mobidb-lite	IPR036427	GO:0005515	G3DSA:1.20.920.10;G3DSA:1.20.1270.220	SSF47370	PS50014;PS51525	PF17035;PF00439	SM00297	Coil	cd04369	NA	PR00503	NA	NA	NA	NA	NA
PKK40835.1	NA	IPR029071	GO:0005515	G3DSA:3.10.20.90	SSF54236	PS50053	PF00240	SM00213	NA	cd01803	PS00299	PR00348	NA	NA	NA	NA	NA
PKK42366.1	mobidb-lite	IPR015943	GO:0005515	G3DSA:2.130.10.10	SSF50978	NA	NA	SM00320	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK44327.1	NA	IPR001841	NA	G3DSA:1.20.120.1750	SSF53300;SSF57850	PS50089;PS51873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
